Review_Date,Author,Rating,Review_Title,Review,Review_Url
26 June 2021,classicsoncall,6," ""Lucky likes your shampoo.""
","The issue I have with this film is that it reveals the identity of the Clovehitch Killer much too transparently and early enough to make the mystery a bit of a letdown. I saw the attempt by Don Burnside (Dylan McDermott) to shift blame to his invalid brother Rudy (Mark A. Nash) as a too convenient alibi and didn't hold it as credible for a minute. And for the detailed and careful madman that he was, the idea that Don misplaced a crumpled up bondage photo of a cheerleader in the cab of his trunk was way too much of a stretch. And if you think about it, the idea that emanated from that circumstance that Tyler (Charlie Plummer) was a 'perv' was never really reconciled with the facts by the end of the picture. Even if Tyler's Dad went missing, the 'perv' accusation would have still been out there with his high school associates. And what's the story with Don Burnside's final intended murder victim that was saved by Tyler and Kassi (Madisen Beaty)? She didn't die, but simply disappeared from the story as if she couldn't add a thing to authorities about the events that took place in her own home. All of this was just a little too sloppy for this viewer, although the clove hitch clues at 58:40 and 1:27:12 in the picture at least lent an air of acceptance to the movie's title.",/review/rw4467232/?ref_=tt_urv
18 November 2018,stevepat99,9," This film deserves a serial killer Merit Badge!
","We have all seen many 'is my neighbor a serial killer' films. This one brings the issue to the family forefront i.e. is my dad a serial killer. The cookie cutter, white bread, merit badge driven, church devoted father and son were way fun to watch. Does scout leader dad have a secret serial killer merit badge? The 'clue' fun starts very early on, its exact meaning unclear, and never lets up. Roles played to the 'T' by son Tyler/Charles Plummer a sweet innocent, church going scout, who meets perversion head. From there, things spiral in some beautiful non-predictable directions. Dad Don/ Dylan McDermott is a super savvy macho man, loving dad who might just a serial killer. Introduce the charming Madison Beaty playing Kassi who adds a needed level of mystery to the tale as she also spices up Tyler's life.",/review/rw4467232/?ref_=tt_urv
5 January 2021,kodiakblack,7," The ending sucks and makes no sense at all. Great build up to a disapointing end.
","So.. Really bad ending. Bo closure for anyone. No justice. The evil murderer gets to go down in history as an amazing man. Loved and missed by all. The son has to spend the rest of his life pretending he misses dear old dad so much.
Thats BESIDES the obvious criminal charges that the son would face. They would 10000% tie him to the murder of his dad after 1. Neighbors saw him in town with a gun on his back in broad daylight when he was supposed to be at camp. 2. The camp would confirm he never showed. 3. The father has blunt force trauma aside from his gunshot wound. 4. The fathers blood is in the womans home when he was struck repeatedly and bleeding. They would have checked her house over where 5. They would find the sons fingerprints in the basement on the window. He grabbed it. I checked. Ect ect.. But also when hes caught and he tells the truth.. Do they believe that? Therea literally NO proof now. So... Yeah. Suck ending.",/review/rw4467232/?ref_=tt_urv
25 May 2019,tonyhf,7," Closure for Whom?
","This movie would have been a solid 8, but what was up with the ending?",/review/rw4467232/?ref_=tt_urv
29 December 2020,danielmanson,7," Ending spoiled a great film
",Spoiler is written at end of review only! (When I start ranting about the ending),/review/rw4467232/?ref_=tt_urv
8 May 2021,Mehki_Girl,7," Banality of @vil
",This was a bit of a slow burn although they get to the point rather quickly in the story.,/review/rw4467232/?ref_=tt_urv
6 April 2019,W011y4m5,7," The neverending story...
","At times extremely effective, deeply disturbing & uncomfortable to watch, The Clovehitch Killer is a relatively satisfying & well made film that's worth a watch - but it's also a classic example of a movie that doesn't know when to end - dragging out the resolution until you're willing the credits to start rolling; every scene feels like it's setting up the conclusion until it's followed by yet another & you're left impatiently waiting for the crescendo, which is tedious, frustrating & disappointing.
However, the performances sell the entire film & there's palpable tension between characters in emotionally charged scenes so the conflict is incredibly well done & regardless of its faults, it's still a good film - despite being unnecessarily long & drawn out.",/review/rw4467232/?ref_=tt_urv
27 November 2018,SnoopyStyle,6," I prefer more ambiguity
",Tyler (Charlie Plummer) is a teen living in a quiet conservative town. His father Don (Dylan McDermott) is the leader of his boy scout troop. He has his stay at home mother Cindy (Samantha Mathis) and his younger sister Susie. The town is still traumatized by serial killer Clovehitch who for some reason stopped 10 years earlier. Tyler uncovers disturbing evidence suggesting his father as the serial killer. He befriends outsider Kassi (Madisen Beaty) who is obsessed with the killings.,/review/rw4467232/?ref_=tt_urv
12 May 2019,Simonbakewell,7," Not bad at all
",I quite liked this film...the two young leads seem like good actors.good story.only real criticism is the ending.....could have been better,/review/rw4467232/?ref_=tt_urv
21 May 2021,mls4182,7," Some surprises
","I started watching figuring I had it all figured out in the first half hour. It seemed painfully predictable. Well, it wasn't. I think most people will find it worth watching. Just be patient.",/review/rw4467232/?ref_=tt_urv
6 April 2020,Evighat,6," Liked it until....
","I have just finished watching this movie, and I must say that I would have loved it despite it not being an intense thriller or gore-filled horror. That's not what the makers were going for anyway. The movie is meant to be emotional, perhaps slightly brooding and dreamy, which makes for a different kind of attempt at telling a serial killer story. This will not suit everyone, and those viewers expecting something violent or frightening will be disappointed. I personally wasn't expecting anything at all and, because I immediately cared about the protagonists, enjoyed watching it almost from the outset. But why, oh why did they botch the ending like that???",/review/rw4467232/?ref_=tt_urv
28 February 2019,ricky_dry_county,9," A movie that leaves deep prints
","What's sad is that there must be hundreds of such psychos living in America under the guise of normalcy. It turned out to be a brilliant movie, I was skeptical since I don't particularly prefer serial killer films as they often choose to glorify the nurcase as some unique specimen. The pacing doesn't look forced and acting is spot on, especially the young actors. The cinematography is phenomenal and one will have no trouble suspending disbelief.",/review/rw4467232/?ref_=tt_urv
