Review_Date,Author,Rating,Review_Title,Review,Review_Url
23 November 2019,Vic_max,," Indirectly about Mr. Rogers
",The movie is loosely based on Tom Junod's life around 1998 when he wrote an article on Mr. Rogers for Esquire magazine.,/review/rw6051309/?ref_=tt_urv
1 February 2020,CriticalOfEverything,10," The first film I've seen in years that has deeply affected me.
","This may get a little personal, but I've been suffering from severe depression and have had a lot of issues dealing with anger, sadness and all for about five years now. For the past 8 years of my life, and earlier years of my childhood, I have loved Fred Rogers. He always told me and millions of children all over the world that he likes us just the way we are, and taught us the power of kindness, positive ways of thinking and dealing with our emotions, and while I'll always be a cynic by nature, I've always tried to take what he taught me and many others to heart. He was genuinely the kindest, most loving and compassionate human being to ever grace this Earth. But over the past year especially, I've stopped caring about my life with tragedy happening around me constantly, making me feel like my life was falling apart, as well as me having thoughts of suicide. I always put Mr Rogers on to give me some kind of motivation to keep going, but his messages that once resonated so deeply with me began to fade as I slipped further and further away from being ""fine"". I've gotten a lot better over the past few months though, not perfect but still, and when I heard that a movie starring Tom Hanks as Mr Rogers was being made I did all that I could to see it as fast as possible when it finally came out in the UK (which as of writing this, was yesterday).",/review/rw6051309/?ref_=tt_urv
8 May 2020,planktonrules,9," Very intelligently crafted....just make sure you have some Kleenex nearby!
","I should warn you about ""A Beautiful Day in the Neighborhood"", the film might be difficult for some viewers. This is because the story is about a troubled relationship between a man and his father...and it may trigger a lot of personal issues for you as well. Now I am NOT saying don't watch it....just be prepared that it might just be tough for you if you are struggling with these sorts of personal issues. And, you might want to have some Kleenex nearby...and perhaps a loved one as well.",/review/rw6051309/?ref_=tt_urv
17 June 2020,studioAT,8," A Beautiful Day in the Neighborhood
","This didn't get much of a theatrical run here in the UK, and possibly gets lost in translation, as we don't really know much about Mr Rogers, whereas in the US he is a massive icon from people's childhoods.",/review/rw6051309/?ref_=tt_urv
19 November 2019,jlthornb51,10," Stunning Tom Hanks Performance
","A Beautiful Day in the Neighborhood is a superb film and one of the most wonderful movie going experiences of my life. Mr. Tom Hanks gives what is nothing less than the performance of a lifetime. Simply incredible. Subtly and with artistry and sensitivity Mr. Hanks becomes Fred Rogers and it's as if the actor himself disappears. Beautifully written and wonderfully directed, this is a motion picture that will live in the hearts of audiences for generations to come. Tom Hanks will rip your heart out and return it to you filled with love and understanding. This is an historic acting accomplishment in a film that will become an instant classic.",/review/rw6051309/?ref_=tt_urv
22 November 2019,bellasings-47917,10," A Beautiful Film
","I'm going to be honest, I was skeptical of this movie from the start, but boy am I glad I was wrong. I have adored Mister Rogers since I was a young girl & I didn't like the idea of someone else playing him. But Tom Hanks truly embodied Fred's spirit & presence to the point where I almost forgot it wasn't Mister Rogers!",/review/rw6051309/?ref_=tt_urv
24 November 2019,Jakarejo,9," You'll Know It When It Happens
","The most powerful 60 seconds in cinematic history.
The deafening roar of silence.",/review/rw6051309/?ref_=tt_urv
19 November 2019,pawarankita,10," The movie that makes you want to be a better person
",This is the exact movie we all need to watch right now about forgiveness and compassion. I absolutely loved it. It was just so so good. Both Mathew and Tom both deserve Oscar recognition for their phenomenal performance. I truly recommend this movie for everyone. It makes you think about yourself.,/review/rw6051309/?ref_=tt_urv
27 November 2019,Jared_Andrews,8," A Wonderful Story of How Mr. Rogers Made the World a Better Place
",The Mr. Rogers movie isn't about Mr. Rogers.,/review/rw6051309/?ref_=tt_urv
24 November 2019,view_and_review,7," I'm Still Getting Advice From Mr. Rogers
","It was a movie about Mr. Rogers so how could I not go see it? From birth until about the age of ten Mr. Rogers and Sesame Street were my primary T.V. programs. Sure, they were supplemented at times by Reading Rainbow, Romper Room, and other PBS shows, but Mr. Rogers and Sesame Street were the staples.",/review/rw6051309/?ref_=tt_urv
