Review_Date,Author,Rating,Review_Title,Review,Review_Url
9 August 2018,Top_Dawg_Critic,6," The Meg was meh
","16 reviews, and half are all a fake high-rated single review of this film - makes me shake my head why the producers think their viewers are dumb and wont see thru the fakes. All it takes is one click to see the only single review from the poster. Don't get me started on the moronic review from halil-92019: ""Playing computer games makes kids smarter?""",/review/rw4281254/?ref_=tt_urv
12 August 2018,TheLittleSongbird,4," Mega mediocrity
","My main reasons for seeing 'The Meg' were that there are classic shark films out there (there is an obvious example that won't be named by means of fairness in the review but has been mentioned elsewhere) and that it was part of my many quests to see as many 2018 films as possible. It did look from the cover that it would be some kind of guilty pleasure fun, which was my ideal kind of film for the day.",/review/rw4281254/?ref_=tt_urv
18 May 2020,Ruskington,1," I hate this
","I hate this film. Like really hate it. Firstly, I hate Jason Statham, with his husky breathy voice and boringly perfect physique. I hate the trope dot com billionaire, for oh so many reasons. I hate the Asian woman with her perfect hair and make-up and criminally neglectful parenting. I hate her child, as much as this film wants me to love her cutesiness. I hate the token black guy who, obviously, is loud and dramatic at all times. I hate Statham's ex-wife, because of course she looks like that. I hate the Asian woman's dad with his soppy monologues and general pointlessness. And I particularly hate the punky goth woman or whatever the hell she is with her stupid Gen X hairdo, starter pack tattoos and unnecessary Botox.",/review/rw4281254/?ref_=tt_urv
10 August 2018,ripleyspussy,," Honest Thoughts On The Film By Jason Statham And Director Jon Turteltaub
","Although I've just watched this film, this is not a review in the traditional sense. I just wanted to make this clear, because I don't mean to mislead anybody. Rather than giving you my own two cents (well, I WILL give you those, but later), I would like to let the people directly involved in The Meg share their - refreshingly honest - thoughts on it, because they had some very interesting things to say that helped me better understand what I'd just seen. Let's start with Jason Statham's recent interview with Frosty Weintraub. You'll notice Jason tries to be diplomatic, but he has a very hard time concealing the fact that he's not too happy with the finished product:",/review/rw4281254/?ref_=tt_urv
12 August 2018,AverageJoesDriveInPodcast,7," A fun theater-going experience!
","I will be upfront with anyone who hasn't watched this yet. Mindset-wise if you go in thinking more along the lines of Deep Blue Sea rather than JAWS you'll probably have a good time. If you want serious, deep storylines and Oscar-caliber performances you probably should avoid it because this isn't it. Also on that note, why the hell would you go see this movie in the first place if you want that?",/review/rw4281254/?ref_=tt_urv
9 August 2018,austin-65005,5," It's everything you would guess
","Look, this movie wasn't bad... but it wasn't great either... Everything that comes with a shark movie was here. A cheesy storyline that bounced around a lot, and some great action sequences wth the shark. Jason Statham was the same as he usually is, stone faced and serious. Rainn Wilson did a great job with his part. But other than that, nothing really sticks out.",/review/rw4281254/?ref_=tt_urv
8 August 2018,moviexclusive,7," Jason Statham versus a 75-foot prehistoric shark - it's as simple, as cheesy, but as enjoyable as that
","The Meg' is basically short for 'Jason Statham versus a 75-foot prehistoric shark', and if that doesn't sound like your idea of an exciting late-summer movie, then this slab of B-movie cheese is clearly not for you. Oh yes, the science-fiction horror novel by Steve Alten on which this movie is based was precisely meant to be that sort of pulpy entertainment, and director Jon Turteltaub ensures that his adaptation is balanced squarely between self-awareness and self-seriousness, even though it does start off being more of the latter before tipping into more of the former.",/review/rw4281254/?ref_=tt_urv
13 November 2021,jhmoondance,7," MEGA JAWS
",This movie was similar to Jaws apart from the under-sea action. The megaladon was actually very realistic n the cgi was amazing.,/review/rw4281254/?ref_=tt_urv
13 August 2018,mhorg2018,1," Stupid enough to be on the SyFy Channel
","How did this not end up on the SyFy Channel? This is one hackneyed, stupid movie. Basically while exploring the Marianas Trench, a gigantic shark, the Megaldon or some such is released. Previously to this a deep rescue submersible encounters it and the main guy, Jason Stratham is ignored. He gets called back to rescue others which is when this stupid movie really gets rolling. The effects are so-so changing from scene to scene. The best thing is when the little Yorkie who goes for a swim survives. This movie is a great video for how not to remain safe on any type of boat. No one wears a life vest, or any other survival gear. The story is barely above the worthless garbage shown on the SyFy channel. This is really just one stupid movie. I'm sure it'll show up on tv in a matter of months, if not weeks.",/review/rw4281254/?ref_=tt_urv
16 August 2018,dpb0402,3," Worst Dialogue Ever.
","Honestly this film has not only the worst dialogue of any movie this summer/year. It is the worst dialogue I have ever heard in a bad movie ever. Deep Blue Sea, The Shallows, and Jaws 3 all had better dialogue than this cliche title.",/review/rw4281254/?ref_=tt_urv
15 October 2018,dahita-54585,1," Terrible movie
","Terrible movie, not worth your time. ",/review/rw4281254/?ref_=tt_urv
30 September 2018,pjpatio,1," I think my IQ went down just from watching this movie
","I know, it is a shark movie. It is supposed to be cheesy and ridiculous. But I cannot help to hate this movie. Maybe because I had high expectations? Maybe because Jason Statham is one of my favorite actor?",/review/rw4281254/?ref_=tt_urv
16 December 2018,Leofwine_draca,6," Moderately entertaining
","THE MEG is the latest movie in Hollywood's obsession with killer shark movies; this ranks beneath the likes of JAWS and even DEEP BLUE SEA, although it's moderately entertaining as a one-off watch. If you're looking for quality in the genre these days then I'd recommend going for the lower-budgeted likes of THE REEF or BAIT. THE MEG follows the fortunes of the crew of a scientific base in the middle of the ocean when they accidentally reawaken a megalodon from its prehistoric slumber; this massive shark proceeds to dominate and eat all and sundry. This is a co-production between Hollywood and China, so expect Chinese supporting actors and more than a little propaganda. Jason Statham does his action man routine with ease and is given able support from an up-for-it cast, while the action scenes are certainly larger-than-life, although with all the CGI they're hardly realistic. An undercurrent of humour makes some of the more ludicrous scenes easier to swallow. It's hardly great, but it does the job as a piece of switch-off-the-brain viewing.",/review/rw4281254/?ref_=tt_urv
13 August 2018,Michael_Elliott,," Some Flaws But Overall a Good Popcorn Movie
",The Meg (2018) ,/review/rw4281254/?ref_=tt_urv
27 August 2018,nogodnomasters,7," That living fossil ate my friend!
","Jason Statham vs a Megalodon is not a fair fight. They should have given Jason an artificial limb like Dwayne Johnson in ""Skyscraper"" to make the battle more even. A thermal layer keeps the megalodon at a depth lower than 11,000 feet. A private company violates that layer and releases Megalodon. ",/review/rw4281254/?ref_=tt_urv
8 November 2019,BA_Harrison,5," Not quite a megalodon't, but not the mega success I had hoped for.
","I first saw Jaws in 1975 at the tender age of seven; it scared the hell out of me then, and is an exhilarating ride to this day. The Meg, on the other hand, is a formulaic, big-budget B-movie that fails to get the pulse pounding, despite it's prehistoric shark being three times as big as Bruce, Spielberg's iconic great white.",/review/rw4281254/?ref_=tt_urv
10 August 2018,Silberfalke,8," That happens when studios interfere to much
","As someone who really loves the first ""MEG"" novels I could not wait to see the movie. It was clear to me, that it will be different, and that from the moment on the trailer hit the screens. And I was okay with it and lowered my expectations. ",/review/rw4281254/?ref_=tt_urv
12 August 2018,jjdausey,1," The most insultingly bad movie I've seen in ages
","From the complete artificiality of the environments and effects to the horrible acting (put Statham back in the pub he came from) to the broken language performances from the Asian cast members, this was a ratchet p.o.s. And shame on warner brothers for their false advertisements around LA, pretending this was in any way a movie about a shark attacking Americans. This was like a bad Sci-Fi Channel movie funded by the Chinese government.",/review/rw4281254/?ref_=tt_urv
11 August 2018,Alanjackd,1," Wet
",I knew exactly what I was letting myself in for when I sat down to see this.,/review/rw4281254/?ref_=tt_urv
13 August 2018,Jared_Andrews,5," Mostly a Mega-Disappointment
","There's a scene during The Meg when I expected a character to say, ""you're gonna need a bigger boat."" Sadly, no one does. So, in a story that's so clearly reminiscent of Jaws, an opportunity for a moment of self-aware fun is wasted. It's emblematic of the entire movie - all the pieces are in place for something entertaining to occur, but the payoff never comes. ",/review/rw4281254/?ref_=tt_urv
