Review_Date,Author,Rating,Review_Title,Review,Review_Url
22 December 2002,LebowskiT1000,9," Disturbing subject matter, yet a great film!
","I'll never forget first seeing this film in the theater.  When I heard that this film was written by the same writer as ""Seven"", I expected a truly sick and twisted film.  Now don't get me wrong, this most certainly is a sick and twisted film, but it wasn't nearly as graphic as I expected.  Maybe that is due to this film having a different director, but nonetheless the film wasn't as graphic as I'd expected.  With that said, and having watched this film a number of times, I still wouldn't recommend this film to everyone. If you like thrillers and can handle the subject of pornography and ""snuff"" films, then you should definitely give this film a chance.",/review/rw1216874/?ref_=tt_urv
1 November 2007,Smells_Like_Cheese,8," Very gritty and dark
","When I watched 8 MM, I didn't know what to expect, but I noticed that Joel Schumacher directed it and I am a fan of his. Also it stars two other terrific actors like Nicholas Cage and Joaquin Phoenix, so usually that equals a great film. 8 MM turned out to be a terrific dark drama that I'm not so sure that I understand it's low rating. I was actually expecting it to be in the 7.0 range when I went to check it out on IMDb, but it's in the low 6.0's. I understand that it's an extremely dark movie that not too many people would wanna take a look at, but for what it was, I thought it was great. It took us into the deep dark world of porn and what some sick people get off on. It's not just about that, but also it takes us into a detective type of drama that makes it into a scary type of thriller.",/review/rw1216874/?ref_=tt_urv
12 September 2008,jzappa,8," An Voyeuristic Thriller About Human's Capacity For Evil
","There is a lot to be said about skill. Joel Schumacher is responsible for Batman & Robin, one of the most horrendously made movies in the past 15 years. One could have said upon leaving the theater in 1997 that Joel Schumacher is one of the worst directors working today. Two years later, Schumacher creates something, albeit with commercial sensibilities, that succeeds on many levels. 8mm is a murky, scuzzy passage through the miserable, dystopian criminal world of snuff films, taken on by a private investigator who is dismayed and scarred by what he unearths. It probes the resources of violent exploitation films, but not as a violent exploitation film. It would more accurately turn your stomach than amuse. Andrew Kevin Walker, who wrote Seven, and again establishes a protagonist who confronts evil and nearly loses his sanity in an effort to understand its reasons. The answer comes almost at the end of the film, from its most vicious character, but his rationale wittingly refrains from going as deep as the psychological world of his deeds. Joel Schumacher has an attraction to sinister, perhaps Gothic environments, even if his previous films that follow that pattern aren't so great, like The Lost Boys. Here, with Mychael Danna's sorrowful score and the great Robert Elswit's guilty, peeping camera, he fashions an impression of apprehension even in the few scenes where the story takes solace in Cage's home life. One director would not be wrong to shock us with a comparison to the unsuspecting atmosphere of Cage's residential street or the opening airport shot, but Schumacher perceives the looming subterranean goings-on beneath the unsuspecting.",/review/rw1216874/?ref_=tt_urv
4 February 2012,BA_Harrison,9," Hard to believe this came from the director of Batman and Robin.
","Despite a lack of concrete evidence to support its existence, the snuff movie has endured for decades as an urban legend simply because the idea is so perversely intriguing and downright plausible; surely someone, somewhere has been murdered on film purely for the purpose of entertainment. This is the central theme of Joel Schumacher's 8MM, a thrilling descent into the grimy world of extreme pornography which sees Nicolas Cage as private detective Tom Welles, who is hired by a wealthy widow to find out whether a reel of film found in her late husband's safe is really what it appears to be—a snuff movie!",/review/rw1216874/?ref_=tt_urv
25 October 2000,mwpressley,8," Disturbing, effective film
","8MM is a very dark, disturbing film that isn't for everyone. Nicolas Cage puts in an excellent performance as a private detective named Tom Welles who is hired to investigate whether a snuff film is real or acted.  His journey takes him farther and farther into the realm of pornography. Every minute of this film is suspenseful and riveting.  I also found Joaquin Phoenix's performance to be outstanding as well.  This movie does a wonderful job of creating a dark mood and exploring the motives and drives behind its characters.  One of Cage's best, and a severely under-rated film.",/review/rw1216874/?ref_=tt_urv
3 May 2006,ccthemovieman-1,6," Beware Of Brutal Topic
","Wow, this is a tough subject but not as sordid a film as I figured it would be, although be warned the last 30 minutes are really rough in spots. Speaking of spots, this is a bloody movie in spots, too and very profane after the first 40 minutes. Yet, despite the unpleasant nature of the story (making a ""snuff film"" - filming the killing of people) it's a riveting one, well-acted and doesn't overdo the violence. The characters in here are some of the most despicable you could find - killer and porn kings.",/review/rw1216874/?ref_=tt_urv
13 October 2006,MarieGabrielle,8," A similar formula....
","used about five to seven years ago; this film may remind you of ""Se7en"" in that it exposes ways of life some would rather not see, admit to or acknowledge. Also the movie ""The Cell"" used exactly the same soundtrack when we see the Vincent D'Onofrio character as an abused child.",/review/rw1216874/?ref_=tt_urv
3 February 2002,DJ Inferno,7," A solid thriller!
","Some sensitive-minded people may surely be disturbed by the dark revenge and self-justice in this film, but ""Se7en""-author Andrew Kevin Walker has done another fine work with his script! Although the storyline is obviously taken from Paul Schrader´s ""Hardcore"" (1974,?) the film is suspense-packed, violent and endowed with good performances of its actors, especially Peter Stormare did a brilliant job with playing the weird bondage-porn director Dino Velvet! I also was truly surprised how good director Joel Schumacher had created a morbid atmosphere, just in unhappy memory of his disastrous ""Batman & Robin""-flick..! Another pleasant fact is, that ""8MM"" doesn´t deal with the Hollywood-typical stereotypes and clichés, so finally we´ve got something we could really call a dirty mainstream production - or at least a nice try of it!",/review/rw1216874/?ref_=tt_urv
29 June 2009,moviesleuth2,7," Not for the faint of heart
","When it came out, ""8mm"" became notorious for its dark and perverted subject matter. Any and all warnings that are given in association with this film are warranted: this is a dark, dark, thriller, and one that revels in a lot of sordid subject matter. How this was never threatened with an NC-17 is beyond me.",/review/rw1216874/?ref_=tt_urv
20 July 2009,Matt_Layden,7," One Of Schumacher's Better Efforts.
","Every time I think of Joel Schumacher I cringe. Is Batman & Robin really so bad that it makes me want to disregard the rest of his films? He's not a bad director, hell I enjoy some of his work, yet I still cringe when I hear his name. Let's take a look at 8MM, something that is the polar opposite of B&R.",/review/rw1216874/?ref_=tt_urv
