Review_Date,Author,Rating,Review_Title,Review,Review_Url
6 May 2015,anaconda-40658,1," Lightning Didn't Strike Here.
","Percy Jackson and the Olympians: The Lightning Thief (2010): Dir: Chris Columbus / Cast: Logan Lerman, Brandon T. Jackson, Alexandra Daddario, Jake Abel, Sean Bean: Pathetic juvenile showcase about teenage Percy who learns that he is the son of the Ocean god Poseidon. When Zeus's lightning bolt is stolen, it is up to Percy to retrieve it before Hades captures it. Perhaps he should check the lost and found first. Director Chris Colubus had success with the first two Harry Potter films but this is a terrible joke and perhaps the worst contraption he ever stuck his name on. Logan Lerman as Percy does his best but falters with the rest of the cast due to stupid situations. Brandon T. Jackson plays Grover, his half goat protector. Yes, I too was half expecting the furry blue monster from Sesame Street since that is the mentality of the material but we are left with this half wit instead. Alexandra Daddario plays the feisty female warrior who ends up in a lame romantic tease in the conclusion. She will dislike Percy at first but before the conclusion of the third act it will be hinted that she will likely bang him in time. Jake Abel plays Hades son whose motives are obvious. It is pretty bad when the children of these powerful beings cannot get along, as if this was some sort of hand-me-down family business proposition. There are numerous celebrity cameos by actors who will not likely wish to maintain association with this junk. Sean Bean plays Zeus but he is never as fitting as Laurence Olivier was in Clash of the Titans. Despite its inventive special effects, this film should be struck by lightning. Score: 1 / 10",/review/rw6722244/?ref_=tt_urv
1 June 2020,logeesp,5," Entertaining, but doesn't stick to the source material
","The Percy Jackson books were some of my favorite books growing up, and when a movie came out, I couldn't wait to see it. However, the film stays as far away from the source material as possible, which makes me wonder why the heck this movie was made.",/review/rw6722244/?ref_=tt_urv
22 July 2010,TheLittleSongbird,8," Am I the only person that actually liked this film?
","I have to admit it, I haven't read the book, but regardless of whether it was faithful or not, this rarely ruins a movie or TV adaptation for me. That said, I can understand the disappointment of those who loved the book. However, I really enjoyed this film, it is hardly the best movie I have ever seen, but I personally consider it one of the better movies of 2010 that I've seen so far, and that is saying a lot considering how disappointing some of the movies have been.",/review/rw6722244/?ref_=tt_urv
15 February 2010,ssallazzar,1," Most ridiculous script ever...
",It rarely happens that i go at the cinema and see a movie that i hoped to be good and entertaining and leave not only with disappointment but actually furious that i was tricked by this movie's trailer to waste my money on the ticket and 2 hours of my time.,/review/rw6722244/?ref_=tt_urv
12 February 2010,griffolyon12,4," It Numbed My Mind Raw
","I've never been a big fan of Greek mythology, so based upon that criteria I've never been a big fan of movies about the subject. Though I have grown to be pretty fond of the book series, Percy Jackson and the Olympians. I was astounded at how well Greek mythology was interwoven into the modern day culture as author Rick Riordan told a rip-roaring adventure tale, filled with humor, mystery, and tons of action. Like all things successful, Hollywood likes to get in the game, so it's no surprise that a film has been made of the first of the Percy Jackson books, The Lightning Thief. The film, Percy Jackson and the Olympians - The Lightning Thief, seems to have lost something in the translation, winding up as a film that really only shares the name of the book and nothing else.",/review/rw6722244/?ref_=tt_urv
12 February 2010,buckeysooz,1," Chris Columbus should be ashamed!!!!
","When this movie first arrived in trailers, I like so many adults, who have become fans through our children was excited. We could overlook Pierce Brosnan playing Chiron which gets both the age and nature of the character wrong. We could overlook the character of Percy obviously being older than the books stated age of twelve, however almost everything else was so far removed from the books that have become so popular including storyline, that this movie should not even be allowed to carry the ""based on the books"" tag. The characters were completely miscast, the storyline was a weak abominational blend of books one and two..... kind of..!",/review/rw6722244/?ref_=tt_urv
14 February 2010,emiele4,1," Did they even read the book? Worst Movie of the YEAR! If not Ever!
","The first question I must ask myself is if Chris Columbus can even read... Because obviously he never read the books. Well maybe he read the back cover summary, its the only reference to the book in the movie. ",/review/rw6722244/?ref_=tt_urv
13 February 2010,laurieclooney,2," Nothing like the book!!
","Last night I took my 2 daughters and a friends to see the movie. All of the girls had read all the books in the series (including me) and had been anticipating the release of the movie for over a year. The book is fabulous!! I taught 4th grade for 4 years and read it to all my Language Arts classes every year. I never had a student not like the book. It contains humor, action, friendship themes, and characters that contain quite a bit of depth and growth throughout the 5 books in the series.",/review/rw6722244/?ref_=tt_urv
19 April 2022,Laura_Ratings,6," Good movie but not true to the books
","If you don't think too much about how it's not true to the books, the movie is actually quite entertaining. Logan Lerman is a great actor and a great Percy, but he was definitely too old for the character.",/review/rw6722244/?ref_=tt_urv
19 February 2010,teddies_are_cute,4," Oh Zeus, Poisidon, Hades, Hermes... Help us all...
",Christ... ,/review/rw6722244/?ref_=tt_urv
8 February 2010,DICK STEEL,7," A Nutshell Review: Percy Jackson and the Lightning Thief
","I guess you know the drill already. With the Lord of the Rings making Hollywood studios go into a frenzy in adapting the many fantasy books out there, not everything Tinseltown touched turned to box office gold, and more often than not, save for that famous boy wizard, what could have been pilots of franchises, became no more than false starts. I suppose it goes to show that a solid story is still fundamental, other than making yet another special effects extravaganza to try and wow a growingly jaded audience.",/review/rw6722244/?ref_=tt_urv
8 July 2010,ProScrybed,4," Good Idea, Rashly Executed
","The premise of this movie - that Greek gods were real and have offspring in the modern world - is interesting. But the execution of this idea felt very rushed in this movie. I haven't read the book, so can't judge where the blame lies for this.",/review/rw6722244/?ref_=tt_urv
