Review_Date,Author,Rating,Review_Title,Review,Review_Url
14 January 2002,K-Slicer,," Funnier than I ever anticipated
",I once hated this show but I decided to give it a chance.  I love it because of how much deep thought Danny Antonucci and his cohorts had to put into this.  This is a satirical commentary on the lives of kids who are between the ages of 10 and 13.  At least one area in every big city has to have kids like this.  Every kid in America has at one point has tried to scam money out of someone.  Every kid in America has at one point been a bully to the weak or been bullied themselves by the weak.  Every kid in America has shown hypocritical to their personality.,/review/rw7241658/?ref_=tt_urv
18 July 2001,marshall89,," This show rules man!
",Question: Why does everyone hate this show? Answer: I don't know. This has got to be one of the greatest shows known to man. The animation is far more unique than any other style of animation I've ever seen. And you've just got to love these characters!,/review/rw7241658/?ref_=tt_urv
3 February 2003,griffin84,," Don't they remind you of someone?
","My favorite part of Ed, Edd, and Eddy is that no matter how old you are or where you grew up, the characters of this hilarious show remind us all of those we grew up with.  Look at it this way:",/review/rw7241658/?ref_=tt_urv
13 June 2000,plok253,9," What's not to like?
","Ed Edd n Eddy is one of Cartoon Network's most popular cartoons, despite all of the critics out there who may not think too highly of it.  I find a very entertaining cartoon that, like many other cartoons, illustrates what it's like not being ""cool"" or ""popular.""  Ed is always happy, and tries to help (although he makes mistakes a lot.)  Edd is very smart and is also aware of the consequences of their actions ahead of time (unlike Ed and Eddy.)  Eddy is the one who tries to do what's popular, yet it always backfires on him.  As if that wasn't enough, there are many other colorful characters as well.  There's Sara, the annoying sister of Ed, Jimmy, the crybaby kid who's always afraid, Johnny, the loner who's best friend is a piece of wood, Kevin, who's motto is probably ""it's my way or the highway,"" Rolf, the foreign boy who finds many of the Ed's actions unusual, Nazz, the pretty one who's Kevin's girlfriend, and the Kankar Sisters, the annoying girls who are in love with the Eds.  It's a very funny show, because of the colorful characters, inspired settings and problems, and because of the things in the show that make absolutely no sense.  For example, when Ed is spinning around a telephone post, it makes a busy signal sound.  Another example is how it makes the noise of a car driving by when Ed is slipping through some lard (I think it was lard, I haven't seen that episode until a while.)  Overall, I recommend everyone give this show a try.  You may not like it right away, just give it some time.",/review/rw7241658/?ref_=tt_urv
13 February 2005,policy134,," hilarious spoof of adolescence but also cheap jokes in between
","Ed, Edd 'n' Eddy has made me laugh time and time again. There is also something appealing about the universe which the characters inhabit with no adult supervision, at least not visible to the audience. If I was a parent to these kids I would send them to a nut house (that goes for all the characters.",/review/rw7241658/?ref_=tt_urv
13 May 2020,slyofwar,10," A perfect cartoon
","This is definitely one of the greatest cartoons of all time it perfectly captures the fun of childhood in its own way
Every Eddisode is great check it out",/review/rw7241658/?ref_=tt_urv
19 August 2017,randyfromscream,10," Way better then those new CN shows
",I have a bunch of nostalgia about this show. Like this is the best Cartoon Network show of all time. I hate Teen Titain Go like that show is a major letdown compared to the original one. This a great show like I'd love to watch this a lot as a kid like I'm a big fan of it and it's still my favorite show to date. Screw TTG this stand the best.,/review/rw7241658/?ref_=tt_urv
12 May 2010,TheLittleSongbird,8," Easy to like
","Even if it did lose its way later on, this show is hilarious and very endearing.",/review/rw7241658/?ref_=tt_urv
10 February 2020,Bhomiq,8," Nostalgic much?
",Literally most of my childhood right here. Recently watched this from start to finish again and I remember why I used to love it so much. Its funny and goofy all at the same time! It's kinda sad how quick the years go by but I can feel like a kid again when watching this silly but impeccable show. I love it to bits and always will! Double D will always be my love lol.,/review/rw7241658/?ref_=tt_urv
14 July 2010,jake-law123,9," Best show of all time!!!!
","This is no doubt my favorite show ever. Ever since I was a child, I always loved a good episode of this show. I watched this all day on some days. I'm always in the mood to watch this show, and it can always put me in a good mood, and make me happy no matter what.",/review/rw7241658/?ref_=tt_urv
