Review_Date,Author,Rating,Review_Title,Review,Review_Url
25 June 2012,karlericsson,10," this is a review of the whole series
",I expected that Lewis would still be good but not that it would surpass Morse and this has happened and it's because the wonderful team of Lewis and Hathaway.,/review/rw7450114/?ref_=tt_urv
23 April 2014,robert-temple-1,10," Even better than Inspector Morse
","This is a review of Series One to Seven of LEWIS (also known as INSPECTOR LEWIS). I never imagined that a sequel series could surpass the original (INSPECTOR MORSE), but this is what has happened. The stories, writing and direction remain of the same excellent quality, but it is the performances which really put the series over the top. John Thaw as Inspector Morse often overdid the querulousness and could be a bit irritating sometimes, which was meant to be part of his character. But now that he has the top job, Kevin Whateley as Lewis has really come into his own as a heavyweight actor of true stature. He has made Lewis into such a rounded and convincing character that he is more compelling than Morse ever was. (Perhaps this solidity of character is due to Whateley being a direct descendant of one of the three notorious Thompson Brothers, all of them Parliamentary colonels, of the 1640s and 1650s.) But even Whateley's superb acting cannot match the eerie and uncanny brilliance of Laurence Fox's performances as Detective Sergeant Hathaway. Rarely in a TV series has any actor created such massive complexity of character with such understatement and minimalism. Fox's work is sheer genius. One is tempted to compare Fox with John Hamm in MAD MEN (see my review), where we hang on Hamm's every silence, expecting him to speak, but when he does not, we accept the profundity of his silence as part of his secretive character and sympathise with him. This is very much the case with Fox, whose brooding internal life makes us concerned for him. The strong performances of Clare Holman as the pathologist and Rebecca Front as the Chief Superintendent are equally important in giving the essential fibre to the series to ensure its success. Holman's perpetual cheeriness is rather infectious, and all the more fascinating in that she shows it when inspecting corpses. This series (which will have a Season 8 before long) is a magnificent success in every respect. Dom Perignon all round! However, one does have a certain sympathy with the population of Oxford, which has been diminished by so many murders after all of these years that one wonders that there is anyone left alive in either town or gown. I noticed that there appear to be heavy filming restrictions in place, for in none of the episodes do we see the commercial district or the roads with the most traffic. I only recall seeing Oxford Market used once. We never see the High Street except for the small area at the end by Magdalen Bridge. Oxford comes across all glamorous and antique, and you would never suspect there were other parts of the town which are glum rather than glam. The Sheldonian appears to be everywhere, and every angle of that has been covered many times. Some of the colleges appear to have said no. I have never seen the quaint battlements of New College in an episode, for instance. We never see Magdalen's deer park, we never see the endless walks along the river, which are inaccessible to filming vans. In a sense, a mythical Oxford provides the backdrop for this series. But then, that strangely adds to the effect, for by creating the illusion of an Oxford that goes on forever but is really often the same locations shot from new angles, the illusion of endless murders seems only a natural part of the equation D = ME, where D is drama, M is murder, and E is episodes. It is clear according to this equation that the drama can increase linearly if either the murders increase, the episodes increase, or both increase together. No analysis has yet been made formulating an equation expressing the rates of increase, whether two murders per episode cause an acceleration of the heartbeat, and whether nonlinear phenomena occur, such as particularly shocking murders leading to quantum jumps, i.e. hearts skipping beats. I go to Oxford so rarely these days, but on one visit what did my wife and I see but Kevin Whateley getting in and out of his police car near Merton College as the cameras rolled, on the same side of the street as Anthony a Wood's house. Long may he go on doing so. And let us hope that some future edition of Athenae Oxoniensis includes John Thaw, Kevin Whateley, and Laurence Fox as worthies, which they clearly deserve.",/review/rw7450114/?ref_=tt_urv
31 May 2016,tomsview,10," Perfect ingredients
","Of all the crime/mystery series that have been on television, I enjoyed ""Lewis"" the most. At first I didn't think it was possible for it to supersede my love for ""Morse"" but it happened quickly.",/review/rw7450114/?ref_=tt_urv
28 February 2010,Rupert17,9," Lewis steps out of Morse's shadow.
","Lewis hits the spot for me. Great location shots of Oxford, typically unbelievably complicated plots where the destination seems less important than journey, and Kevin Whately's now rather world-weary Inspector Lewis trawling his way through police procedure to arrive at the right solution.",/review/rw7450114/?ref_=tt_urv
4 November 2016,safenoe,10," Lewis is the tops
","Ironically I never was drawn to Inspector Morse, but I immediately became a big fan of Lewis. Having visited Oxford awhile ago, it was fascinating to see the Oxford University colleges being a backdrop to a series that's expertly scripted and with outstanding performances.",/review/rw7450114/?ref_=tt_urv
10 September 2012,BeneCumb,9," Great series - with fine-looking Oxford as a supporting actor :)
","British crime series are always worth watching - even if they are longer than usual, having the length of a real separate film. Vivid, but still realistic characters, picturesque landscapes-townships and short (or sometimes even not visible) evil deeds form a quality standard and widening the audience not keen on constant explosions-fights-killings. I used to watch ""Inspector Morse"" - and I liked it - and ""Lewis"" has the same high level, with one exception: now the supporting character (Hathaway, played by Laurence Fox) is more interesting to me than the main one. It is not the question of acting, but the lines imputed to the persons involved.",/review/rw7450114/?ref_=tt_urv
23 June 2011,batmancox,10," Could become a classic
","I was sceptical when I first heard of ""LEWIS"". Morse had been such an incredible series that I felt sure Lewis would simply cash in on it and be a poor follow on. How wrong I was! Whilst I'm not saying that it has met the incredibly high standard of Morse it is a truly great series in its own right.",/review/rw7450114/?ref_=tt_urv
24 January 2016,TheLittleSongbird,9," A more than worthy successor to Inspector Morse and stands very well on its own two feet
","Hearing about Lewis for the first time when it first started, there was a big touch of excitement seeing as Inspector Morse was and still is one of my favourites but also a little intrepidation, wondering whether the series would be as good.",/review/rw7450114/?ref_=tt_urv
15 February 2012,DreamOfDreamsForgotten,9," Classic Mystery Reliably Rendered With Class and Style
","Call me an Anglophile, I don't care--it's probably true. This is a program for dedicated Anglophiles and those aspiring to be one. (LOL) The continuing adventures of Detective Inspector Lewis and his trusted sidekick Detective Sergeant Hathaway stand out for the strength of production values, acting, writing, and direction that are credits to the Masterpiece: Mystery! series tradition here in the States and television anywhere. Unlike most reviewers, I've never seen the Inspector Morse series which gave this one its genesis, but be assured I will be checking those discs out on Netflix shortly. Just know that this series stands completely on its own and is without peer, at least in my experience. The principals all acquit themselves with increasing wit and flair as the series progresses, creating a palpable matrix of living relationships which provide the sort of ongoing back story that insists you return, like that finish at the end of a wee dram of single malt, for more. ",/review/rw7450114/?ref_=tt_urv
14 July 2022,Blumanowar,9," Oh wow, how great is this series!
","I've been enamored with British mysteries since I was in college (eons ago) and of course I've seen Inspector Morse and then Endeavour. I didn't find these until later in life and was absolutely taken by them. Addicted is a better word. As I finished Endeavour (I've not seen series 8 yet) I was sad that I figured I'd never see a mystery series that good again. But found this spin off and after two seasons I have to say it's far better than those two. I love this show. It's the writing in this series and less the acting. The actings great but Endeavours characters were better but the mysteries and the plot are much better here. I can't say enough good things about the show except to say if you've not seen it and are a fan of these types of shows this one is a MUST WATCH! And the acting is too notch I just thought Endeavours young Morse was exceptional. Enjoy !! I think I'm going to have to get Britbix to continue watching all the great shows of the BBC etc. They just don't do it like this in the US, that's for sure. I wouldn't trade an episode of this for any US movie I've seen in the last 5 years!",/review/rw7450114/?ref_=tt_urv
