Review_Date,Author,Rating,Review_Title,Review,Review_Url
9 March 2016,Prismark10,3," Well padded
","The Hunger Games: Mockingjay - Part 2 is a film without any artistic integrity. It was purely made to grab as much cash from its audience as possible. You can sense this in the film which does not have much of a plot, scenes that are purely filler and the story just crawls because the book that it is based on has been split into two which means more padding than a model wearing a Wonderbra.",/review/rw3358106/?ref_=tt_urv
19 November 2017,dierregi,1," Key events taking place off screen make for an awfully boring, bloated story
","I watched the first two installments of HG during a long flight. They were OK as light entertainment even for somebody like me, outside the target audience. Obviously I did not read the novel (nor have I any interest in reading it) but I just wanted to see how the story ends.",/review/rw3358106/?ref_=tt_urv
2 December 2016,BA_Harrison,5," Ends with a whimper rather than a bang.
","Reluctant symbol of the revolution, Katniss Everdeen (Jennifer Lawrence) leads a small group of freedom fighters into Panem to try and assassinate the wicked President Snow (Donald Sutherland).",/review/rw3358106/?ref_=tt_urv
19 November 2015,TBJCSKCNRRQTreviews,8," The temperature shifts many times, not always appropriately
","A commando unit is sent into the Capitol, now under siege, partially evacuated, overrun by refugees and entirely empty of glory and every bit splendor having faded to shades of grey. Their mission is to put an end to the tyranny. To assassinate President Snow(Sutherland, deliciously evil).",/review/rw3358106/?ref_=tt_urv
23 November 2015,Hellmant,10," I let more than a few tears go!
",'THE HUNGER GAMES: MOCKINGJAY - PART 2': Five Stars (Out of Five),/review/rw3358106/?ref_=tt_urv
20 November 2015,dave-mcclain,9," Not quite a game-changer, but it will more than satisfy your hunger for the franchise's final film.
","It's tough to say goodbye, especially when doing so carries many different meanings at the same time – and has implications both on and off screen. ""The Hunger Games – Mockingjay, Part 2"" (PG-13, 2:17) is the final film from Suzanne Collins' blockbuster ""The Hunger Games"" YA book trilogy. So, we're saying goodbye (""possibly"" – more on that later) to this story and these characters in regards to our movie screens, and producers are saying goodbye to a film franchise that has become one of the top 20 in cinema history and whose films set box office records in 2012, 2013 and 2014. Within the action of this fourth film, the main characters have to say goodbye to others who survived the first three films, but don't make it through this one, while in real life, Movie Fans are saying final goodbyes to the late, great Philip Seymour Hoffman who died in early 2014 while filming this movie, making this his final film appearance. With so many real-life and character-related goodbyes involved with the ending of this series of movies, having a strong final film to enjoy would likely soften the blow. So, did we get it? Well The story quickly gets to the action and rarely lets up. Katniss Everdeen (Jennifer Lawrence), the Hunger Games victor turned reluctant warrior has given way to a darker and more worldly (and world-weary) young woman who is anxious for an end to Panem's civil war – and obsessed with getting her revenge on the man whom she blames for it all – President Coriolanus Snow (Donald Sutherland). As determined as she is to accomplish her goals, Katniss must contend with Alma Coin (Julianne Moore), the leader of the rebellion, who doesn't always have Katniss' best interests at heart, Katniss' love interest, Peeta (Josh Hutcherson), who has been brainwashed by Snow's henchmen to want to kill her, and her best friend, Gale (Liam Hemsworth), who's jealous of what Katniss and Peeta have or once had, or may have, or (If Katniss had Facebook, her relationship status would almost certainly be ""it's complicated"".) Katniss can be surly and isn't above going rogue, but she loves and feels deeply and has well-meaning supporters. Gale is there for her (as is Peeta, in his gradually increasing moments of clarity), and so is her sister Prim (Willow Shields), whom Katniss has always protected – at great personal risk (and whom Katniss could blame for the mess that has become her life, if you really think about it). Hunger Games mentor, Haymitch Abernathy (Woody Harrelson), friend and stylist, Effie Trinket (Elizabeth Banks), fellow Hunger Games veterans, Johanna Mason (Jena Malone) and Finnick Odair (Sam Claflin), Alma Coin's assistant, Plutarch Havensby (Philip Seymour Hoffman), and tough military commander, Boggs (Mahershala Ali), all try to help Katniss, but there's only so much that they can do. She has decided that she needs to kill President Snow – up close – regardless of whatever propaganda role she's being given or what potentially deadly obstacles (as in, sadistic booby traps) stand in her way. Ending the civil war is very personal to Katniss and she alone is uniquely able to do just that – if she can stay alive long enough.",/review/rw3358106/?ref_=tt_urv
9 March 2016,panayiotisblack,4," Yes,they managed to do it.Worse than part 1.
","OK,it's not that part 1 was good,you actually knew it would suck,but the 2nd really grinds my gears. ",/review/rw3358106/?ref_=tt_urv
14 March 2016,KineticSeoul,3," Mundane, tedious and pretentious conclusion
","I never got what all the hype was about starting from the first ""The Hunger Games"" movie. The whole experience felt hollow and lacked depth although it was trying very hard to have depth to it. Now some may say there is depth to this franchise, but I personally can't see it. The whole experience felt pretentious to me and it even tries to make fun of itself for it about 20 minutes in. Claiming the whole scenario to be a tacky romance drama, probably to beat some viewers to the punch for it. Sometimes it seemed like this movie was trying to pass itself as a covert fascist regime with a powerful message but fails at it. Because it's so difficult to take seriously because of how everything is set up. I personally didn't care or felt connected with any of the characters and felt more detached from them as the movie went on. Strange, but it happened because none of them was memorable. It was slightly sad they died fighting for independence but that was about it. Sure, ""Mockingjay - Part 1"" was pointless. So it's quite obvious their main objective was to cash in. Because this film really does drag on and on and on, it really does get tedious fairly quickly. Sure, the whole teen angst, teen romance where two guys are after one girl and rebelling against authority might come off cool to some youngsters. But this movie is just so darn bland and boring to sit through despite it having explosions and fighting. Watching this movie was like watching a melodramatic cesspool with annoying characters that act very pretentious to try to bring out emotions from the audiences. I really can't see any audience member genuinely getting emotional about this movie, maybe a sympathy pat but that is about it. I give this movie a 3/10 because I have seen worse.",/review/rw3358106/?ref_=tt_urv
20 November 2015,neil-476,9," The series finishes strongly
","As the resistance grows, Katniss is driven to exact personal retribution from President Snow. But Snow still has some tricks up his sleeve, all is not as it seems, and Peta still bears the scars of his brainwashing.",/review/rw3358106/?ref_=tt_urv
18 November 2015,mistoppi,8," Amazing ending to The Hunger Games.
","I love The Hunger Games trilogy mostly because it is so dark and brutal, and even if Katniss does what she has to do, she still suffers from everything that has happened. In a badly written version of the novels Katniss would behave like nothing ever bothered her, which would make her just seem violent and rash. When we know everything has gotten to her, we know what she is sensitive, we know that everything has actually touched her. ",/review/rw3358106/?ref_=tt_urv
