Review_Date,Author,Rating,Review_Title,Review,Review_Url
9 July 2012,classicsoncall,8," ""Why the sudden interest in cold blood?""
","There was no way I was going to miss this film, but after reading a number of reviews by fans here I began to have some reservations. Most of that had to do with the retelling of the origin, and fundamentally I agree that this probably wasn't necessary after only ten years since the Tobey McGuire version. But now that I've seen it, I can say my second thoughts were unwarranted because this film provides an adrenaline rush with every spider web fired.",/review/rw3749914/?ref_=tt_urv
15 July 2012,AmbushBug26,8," The Spider-man Film That The Comic Fans Will Love But Sam Raimi Fans Will Hate
","Being a Spider-man comic book fan I can say that a lot of the stuff that happens in this story is true to the comic book Spider-man. Spider-man has web shooters, Spider-man likes to joke a lot, Gwen Stacy was Spider-man's first love, etc. So Anyone who is a fan of the comics will respect this movie on that merit, the merit that it was faithful to the source material while bringing in new stuff without losing what made Spider-man who he is.",/review/rw3749914/?ref_=tt_urv
10 November 2012,TheNorwegianGuy,9," I really don't get all the hate!
","I admit that I too didn't exactly get that excited when I heard that this was in the making. The Sam Raimi trilogy was a fun ride, and the idea of making another Spider-Man movie with a completely new cast seemed strange and unnecessary. When the cast was announced, I got a little bit curious, but nothing more.",/review/rw3749914/?ref_=tt_urv
6 July 2012,Hellmant,10," The 'BATMAN BEGINS' of Spider-Man films, I'd go as far as to say it's amazing!
",'THE AMAZING SPIDER-MAN': Five Stars (Out of Five),/review/rw3749914/?ref_=tt_urv
4 July 2012,thesar-2,3," The Amazing Spider-Man Movie Has Already Been Made
","I don't have an argument that Spider-Man's origin story didn't need to be remade for I've seen plenty of very decent to mediocre reboots before. But, what makes this a worthless remake was that it backtracked on all that was good before it.",/review/rw3749914/?ref_=tt_urv
3 May 2014,Robert_duder,8," Completely unnecessary but still entertaining enough
","Going back a few years when Sam Raimi's Spiderman released it was jaw dropping. It was sort of the spring board for the current excess of superhero films we see now. Most of us were definitively disappointed in Spiderman 3 but disappointed enough that we thought it should end the franchise and encourage a reboot only TWO years later? Fortunately for them the reboot isn't so bad and actually very entertaining and spidey fans won't be disappointed. I don't think its nearly as good as the original Raimi's Spiderman but then at that time it was new and fresh and captivating to see a live action, non-campy superhero on screen. The Amazing Spiderman does manage to make itself different enough to make you not feel like you're watching something you've seen a dozen times over. Its a different spin on the Spiderman story while still keeping key elements firmly in place (maybe Marc Webb should give Zack Snyder a few tips.) They also establish enough back story to make this a lucrative franchise for at least three films if they don't screw it up some way and get it scrapped like they did the first time around. At the same time of being different enough it isn't really that far fetched from Raimi's trilogy. It still has the same feel and intensity and solid special effects. As someone who despises CGI I didn't find it silly or overused (though its clearly used a lot) its done very well including The Lizard who is complete CGI.",/review/rw3749914/?ref_=tt_urv
28 January 2014,g-bodyl,8," Exciting, Action-Packed Reboot,,,,,But Is It Worth It?
","Only five years after the universally-hated Spider-Man 3(not me, though), Columbia Pictures have decided to give Peter Parker and his alter ego, Spider-man a fresh start. This film is essentially quite similar to 2002's film, but also features a few differences mainly a personality change in Peter. I don't know if I like this film any better than the original trilogy. This film is action-packed, has a great cast, and a rather fun villain in ""The Lizard,"" but this film doesn't live up to the trilogy that gave Spider-Man a name for himself.",/review/rw3749914/?ref_=tt_urv
17 July 2012,Ben_Horror,5," The Amazingly Unnecessary Spider-man
","With the success of the first X-Men movie in 2000, Bryan Singer pretty much paved the way for all the comic book movies we see today. That included a certain super hero movie made by Sami Rami in 2002 where a nerdy guy (Tobey Maguire) gets bitten by a radioactive spider and inherits superhuman powers. If Singer had paved the way, then Rami provided the icing on the cake: a faithful, smart, well-acted super hero flick that had as much heart and sincerity packed in as it had all those set pieces. It also lead to a superior sequel and the much maligned, though underrated, third episode.",/review/rw3749914/?ref_=tt_urv
3 July 2012,cultfilmfreaksdotcom,1," Spiderbland
","In one scene, right after a spider in the Oscorp Laboratories bites Peter Parker: he falls asleep in a subway only to be awakened by a random loser who (for some strange reason) places a beer bottle on Parker's head. A drop of water from the bottle rolls down onto Peter's face, causing him to fling to the top of the car and stick to the ceiling – like a spider.",/review/rw3749914/?ref_=tt_urv
19 November 2012,thinker1691,8," "" Your abilities are not only a power, they are a responsibility ""
","This movie "" The Amazing Spiderman, "" has been way over-due. Ever since it's initial creation by Stan Lee (who makes his usual Cameo appearance), audiences have been hungrily awaiting this new addition. This time, Peter Parker (Andrew Garfield) confronts a new and incredibly powerful super villain called, 'The Lizard'. Self created by a one armed scientist, named ( Rhys Ifans ) or Dr. Curt Connors, Spiderman unknowingly gives the fantastic formula to a desperate man who has been trying to invent a way for a human to re-generate a missing limb, without realizing the unfortunate side effects. From the beginning, the film has a dark, foreboding and sinister aspect, which pervades through the entire story. Indeed, this sequel returns to it's early history in that the audience is introduced to Parker's lost parents, as well as his present guardians superbly played by Martin Sheen (Who adds a bit of Panache to the movie and Sally Field. Furthermore, Parker is given a new girlfriend called Gwen Stacy and her father seriously played by Denis Leary. The movie itself is incredible, what with all new high flying action sequences, aerial effects and numerous exciting scenes. Although a bit heavy in using mostly nighttime exteriors, it does lend credence to Parker's equally somber state of mind. Over all, the film is grimly superior to earlier chapters and is therefore easily crafted to enthrall us. As a result, the cast and crew, have intentionally created a Classic in the process. Easily recommended to all. ****",/review/rw3749914/?ref_=tt_urv
1 May 2013,hnt_dnl,10," Now this is more like it!
","Hardcore fans of Sam Raimi's Spiderman can rail all they want to. THIS version of the Marvel Comics superhero, Marc Webb's THE AMAZING SPIDERMAN (2012) is BETTER! While I really did like Raimi's 2002 initial Spidey flick, I absolutely loathed the incredibly overpraised 2004 sequel. Thankfully, there is a bit more debate about which film is actually better, because I've always been in the small camp that believes Spiderman 1 is better than Spiderman 2. Part 2 regressed all the good will that Raimi built up in 1. And there is pretty much universal agreement that 3 isn't very good. But I still contend that 2 SUCKS. The huge difference that I already see in this 2012 reboot that is better than anything from the 2000s trilogy is that while the Raimi flicks TRIED and FAILED to have emotion and depth in telling the story of Peter Parker/Spiderman, Webb's reboot actually SUCCEEDS! TAS stars the pretty ""amazing"" newcomer Andrew Garfield (who was superb in The Social Network) as the well-known iconic character of Peter Parker/Spiderman. Peter is a bullied nerd whose parents mysteriously left him with his Uncle Ben and Aunt May (superbly played by acting legends Martin Sheen and two-time Oscar winner Sally Field) as a child.",/review/rw3749914/?ref_=tt_urv
19 September 2012,mm-39,9," The Surprise hit of the summer!
","The surprise hit of the summer! Everyone was looking forward to the new Batman movie this 2012 summer! Batman turnout being a bust and Spider-Man is the surprise hit Batman was not! I am tired of comic book movies. The comic book movie has become the seen it done it before with the same old C G I effects. However, I went to see the Amazing Spider-Man because people keep saying Mike you got to see this film. After avoiding Spider-man over the summer I finally saw it. What a great film. Spider-Man is a great film because the movie is excellently direct were the old story is excellent told with new twists. The actors blend the character development into the story perfectly. Martin Sheen played a perfect Uncle Ben. The 3 D effect added to the C G I and give a new excitement to the usual special effects. The same old story told in a better way. I give The Amazing Spider-Man a nine out of ten.",/review/rw3749914/?ref_=tt_urv
11 July 2013,freemantle_uk,8," The Retold Story
","In a cinematic scene of superhero films and reboots one of the most controversial was The Amazing Spider-Man, the reboot of a series that was critically and commercially popular. The Amazing Spider-Man is divisive, with opinions ranging from it being the best Spider-Man film so far to being a waste of space.",/review/rw3749914/?ref_=tt_urv
6 August 2012,TheSquiss,8," Why a Spider-Man reboot so soon? Here's why
","I have to admit I had low expectations for The Amazing Spider-Man. Yes, I enjoyed the first of Tobey Maguire's outings as Spidey back in 2002 but the quality diminished with each sequel to the point that I didn't care if a fourth installment came to fruition or not. More than anything, it was the feeling I had a mere five years after the last installment, and I'm sure I'm not alone in this, of 'Why another Spider-Man so soon?' However, the decision to return to the timeline of the source comics and introduce Gwen Stacy as Peter Parker's girlfriend (instead of the more familiar Mary Jane Watson) increased the interest. Maybe this would be a new approach. Then the casting of Andrew Garfield intrigued. His superb turns in Never Let Me Go and in the more widely seen The Social Network certainly suggested he may have something new to bring to the part. The trailer clinched it for me, hinting at a Spider-Man Begins leaning. If Christopher Nolan could obliterate the camp, tarnished Adam West Batman with a completely reinvented trilogy, what could director Marc Webb (500 Days of Summer) create with The Amazing Spider-Man? It's not Batman Begins, let's get that straight immediately. Nolan's trilogy stands head and shoulders above all other superhero films at the moment and is unlikely to be dethroned any time soon. But The Amazing Spider-Man is a huge success and an extremely enjoyable first foray into Spidey world by all involved and this is down to some fine writing by James Vanderbilt (who has just penned next year's RoboCop reboot) and the courage of Webb not to rush into the action and villain chasing too soon.",/review/rw3749914/?ref_=tt_urv
