Review_Date,Author,Rating,Review_Title,Review,Review_Url
14 March 2010,lastliberal,7," But some of my best friends are Lebanese!
","The absolutely gorgeous Indian actress Lisa Ray (Vancouver critics named her Best Actress for Water) plays Tala, an upper class Jordanian of Palestinian origin, whose family lives in London, and who is about to get married.",/review/rw7859706/?ref_=tt_urv
26 October 2008,DeciusCaius,9," A lighthearted movie with real substance
","I recently saw this movie screened at USC. Since I was going for extra credit in a gender studies class, I expected it to be awful. I have to say I was very pleasantly surprised. The only issue I had with it was an awkward transition from Tala's engagement party to the first scene with Leyla. Overall, the movie was very entertaining, with well developed characters and plot, while at the same time dealing with the issues lesbians face in different cultures in a very effective manner. I strongly recommend this movie to anyone with an open mind and a sense of humor.",/review/rw7859706/?ref_=tt_urv
21 November 2008,opencad2,10," A happy romance . . .
","This is an interesting film from a variety of perspectives. It addresses sexuality as well as issues of middle eastern faith and culture. Light hearted though it is, it shows several cultures few have seen from the inside out. Modern Britain plays host to many cultures of middle eastern descent. And the stereotype of ""angry fathers"" and ""downtrodden women"" is a commonly repeated meme. This film shows strong women, compassionate men and loving families. Filmed in Britain, with very few imported actors, one sees a cross section of cultures working together to produce a good project. This is a great film to take almost anyone to.",/review/rw7859706/?ref_=tt_urv
27 May 2009,little_miss_dolphin8,10," Awesome film!
","Amazing. I loved it so much. The two main actresses were fantastic, very talented young women. The chemistry between the two of them was phenomenal. The suspense they created just held you right there, watching the film and unable to turn away. Moving from Jordan to England, the settings created a background to an incredibly unique film not only about coming out but also about religion, family and culture. It was pretty much just a wonderfully unique film, that gave an entirely new perspective on things and that should be applauded over and over again. The characters were hilarious- all of them. From the maid, to sisters to boyfriends and parents, all the characters complemented each other perfectly and the entire film had me laughing and crying the entire time. Absolutely fantastic!!",/review/rw7859706/?ref_=tt_urv
11 November 2008,kieranwy,9," A good representation of lesbianism in culture.
","I enjoyed 'I Can't Think Straight' (which i think is a very clever title indeed given the content of the film). It raises the issue of lesbianism but in the context of Indian culture. Arranged marriages and a mother who is wanting to marry you off to the most suitable husband. Usually the man who comes from the most prestigious family, who is very successful, tall, very hansom, etc. All because the mother of the family wanting to marry off their daughter wants to gain some financial security and prestige for the family. (Or at least this is how it has been portrayed to me in the film). But what about if the daughter is gay? Much harder to imagine I feel, and 'I Can't Think Straight' portrays this matter very well. The movie is full of alluring cinematography and well constructed dialogue. Particularly I found, when the characters of Lisa Ray and Sheetal Sheth go for their ramble in the park. This is an especially elegant scene but the whole film screams decoration and harmony. The acting from the main characters is spot on and they must have received clear direction from Shamim Sarif. Some of the minor character's acting is quite poor and does not do justice to the script. but on the whole, it makes little difference to the story.",/review/rw7859706/?ref_=tt_urv
29 March 2009,indyscio,8," Keep it in context
","This movie, if you have watched ""The Making Of I Can't Think Straight,"" is autobiographical.",/review/rw7859706/?ref_=tt_urv
19 August 2011,benbree,," Are these women acting?
","Wow! This is a great movie. I felt the actors were actually having this relationship. They dealt with conflict, misunderstanding, and love as if it was something they actually shared. While the premise was a lesbian relationship, this could happen to anyone.",/review/rw7859706/?ref_=tt_urv
12 May 2012,ninamarcelino,9," Gorgeous, funny and sexy.
","I have always thought this movie would be funny and quirky, and it is. I loved the way they put comedic scenes in certain parts without being inappropriate. I loved it even more because in so many ways, I also find it extremely sexy (unlike the many other lesbian films that needed to show pure nudity). Although it might be one of the many I'm-gonna-marry-but-I- fell-in-love-with-another story, it hit off just right. 'Cause it did not just focus about that, but having to come up to your parents. It is about standing for who you are and for the one you love.",/review/rw7859706/?ref_=tt_urv
31 July 2009,digitalbabeusa,10," Love this movie & book-funny, sweet & sexy chemistry!
",Director (Shamim Sarif Discussion Group-http://movies.groups.yahoo.com/group/shamim_sarif_fans/).,/review/rw7859706/?ref_=tt_urv
28 September 2012,christianhh,10," Highly Enjoyable Love Story
","If this were simply a story about your average, every day, star crossed lovers, one might describe it as a ""chick flick"". It is a romance with some comedic elements, but I doubt it can honestly be called a ""romantic comedy"". Instead, it is a rather simple love story that, toward the end, threatens to leave the viewer hanging. The characterizations by the two lead actresses is stunning and highly believable. They do not play their roles over the top, but in a somewhat subdued manner that is consistent with the behavior of women from their respective cultures. Even so, Tala (played by Lisa Ray) is something of a maverick in her opinions, outlook and something of a problem for her family even before she meets Layla. I fell in love with both the characters early in the film and they took me on an enjoyable ride.",/review/rw7859706/?ref_=tt_urv
22 November 2009,bob the moo,," ""Nice"" but the potential isn't really realised due to a clunky script and some wooden performances
","While I'm sure that the vast majority of male viewers of this film will have come to it because of how easy on the eye the two lead actresses are, but for me I came to it because I had heard that it was a quite charming little film about culture clashes and coming out. From the outset there is certainly a degree of charm that comes with the rather glossy sheen on the total production and certainly the performances are mostly geared towards ""light"" material rather than anything too complex. It also, having an autobiographical content, comes over as warmly sympathetic to the two protagonists – a feeling that it easily allows the viewer to share. However, none of this is enough to make it as good as it could have been, mainly because of the problems with the material.",/review/rw7859706/?ref_=tt_urv
8 July 2014,elisa-matteoni,7," Love story
","Unbelievable how a love story can intrigue so much. A tale about love, cheaters, envy and different cultures that give director Shamim Sharif's competitors a hard time. By the musics, costumes and make-up it is possible to go through the way of life of two young Middle Eastern women who decided to follow their real feeling in contempt of the consequencies of their actions and decisions. At the same time we can appreciate the unexpected open-minded behaviour of the characters in the movie. Both young and old people accept the condition of things and try to understand the passion that tie Tala and Leyla. A women love story.",/review/rw7859706/?ref_=tt_urv
