Review_Date,Author,Rating,Review_Title,Review,Review_Url
5 September 2008,fred-kolb,10," Experiencing the early 1900s with Indiana Jones!
","First of all, I want to take this opportunity to congratulate and thank George Lucas. He has been bashed quite often, recently for the Star Wars prequels and the new Clone Wars movie, but ""The Young Indiana Jones Chronicles"" is one of his greatest works ever, and even though it was never as popular as he had hoped for, he tried everything to keep the series going for as long as possible. Thank you for that! Now, don't expect something like the Indiana Jones movies when buying or renting this, because in that case, you will be disappointed. Archaeology is only featured in 2-3 episodes and there is a lot less action. But, if you are interested in seeing an exceptional TV Series, that invites you to be entertained and educated at the same time and you want enjoy a wonderful journey through the first two decades of the past century, this might be what you've been looking for.",/review/rw1832628/?ref_=tt_urv
17 May 2009,Adrian Sweeney,10," The best thing on TV in its day
",In fact one of the best things on television ever. The production values! The world locations! The casts! The action sequences! The star directors involved! Did George Lucas personally spend half his vast fortune providing the budgets? ,/review/rw1832628/?ref_=tt_urv
8 April 2003,goldfinger2a-2,," Very good
","I cannot agree with Krumski from Cincinnati, Young Indianna Jones is fresh, production values are better than many films made at the present.",/review/rw1832628/?ref_=tt_urv
6 October 2005,sbieg-1,," A truly great TV series; should have lasted longer.....
","We are surrounded by garbage. Look at what the TV industry tries to pass off as entertainment and I think you will agree. For every quality TV show produced there are several not worth watching. One of the gems was the ""Young Indiana Jones"" series. It was funny, somewhat educational, showed historical incidents from an interesting prospective, if not always accurate  one a younger viewer would enjoy enough to watch. It was very well written and touched on the facts laid out in the movies showing Indy as a middle aged Nazi fighter. In a one-hour show we were taken on a trip from today, to a time about 90 years ago, and back to today. It showed how an incident from this long ago as meaning in today's world. A life touched during WWI can make a huge difference in what happens today. A vacation taken with Teddy Roosevelt in 1906 can be tied t things happening today in a very interesting way. I would recommend this show for anyone  all ages will enjoy this show. For a TV show the production value was very good. The world shown was as correct as possible given today's limitations. The cars were right, the clothes were correct, and the locations were beautifully filmed. For a T show this is great entertainment.",/review/rw1832628/?ref_=tt_urv
9 February 2016,roystephen-81252,10," Education as it should be - George Lucas's greatest achievement
","George Lucas created the greatest modern fairy tale with Star Wars, and with the Young Indy Chronicles he created the best education program ever. An unparallelled achievement.",/review/rw1832628/?ref_=tt_urv
1 October 2002,Indyfan82,," Indiana Jones ROCKS!!!!
","This was one of my favorite tv series and... oh wait, it STILL is!!! Indiana Jones, whether in the movies, or on TV, ROCKS!!! The tv show had Indiana Jones meeting real life history makers and was actually quite educational, which I enjoyed.  Of course, episodes like The Treasure of the Peacock's Eye show Indy starting to get into what will become his future career - archeaology.  The episodes showing him fighting in The Great War - later known as World War I, are really cool too and really paint an accurate as possible picture of what it really was like.  It showed different events in Indy's life that shaped his values and ideas and made  him into what he is now.  Sean Patrick Flanery did a great job as Indiana Jones.  The show rules!",/review/rw1832628/?ref_=tt_urv
24 June 2006,mkbeck-1,10," Vote to Get Young Indiana Jones Released on DVD
","I loved the Young Indiana Jones Chronicles. They were great stories full of adventure and always related around historical events. If you are reading this and you loved it also, I have something you can do. The Young Indiana Jones Chronicles is not currently released on DVD. But there is something you can do about it. If you go to Amazon and search for the Chronicles on DVD, It will say that it is not released and has no date set. It will allow you to vote by putting in your email to receive a notice when it is released. Then see if you can get your friends to do the same. I would love to see the Adventures again, but it won't happen unless we speak up. :-)",/review/rw1832628/?ref_=tt_urv
5 September 2014,Vincentiu,," I love it
","a war and the roots of a hero. that could be all. but the stories, the humor, the adventure spirit, the memories about Indiana in Spielberg versions does it a rare memorable series. not exactly for details but for the state of spirit, for the inspired manner to present a grow - up, for the small pieces and, sure, for the performance of Sean Patrick Flanery. he does an admirable job and that fact is the axis of the series charm. vulnerable, courageous, naive, wise, the ideal good guy and the discoveries about himself in a delicate manner. I admit, it is one of my favorite series. it is not easy for explain but could be useful the fact than, after two decades , the memories about it remains at high level.",/review/rw1832628/?ref_=tt_urv
19 March 1999,eye3,," This should be on video
",It was a ratings flop but that wasn't George Lucas' fault:  network t.v. is too small a format for the life of Indiana Jones (even if he is fictional!),/review/rw1832628/?ref_=tt_urv
12 March 1999,Breaker-4,," An excellent series
","Definitely one of the best series ever put out on TV.  The historical intrigue was always interesting.  Young Jones meeting Lawrence of Arabia, Picasso, and (my favorite) a very notable young Vietnamese revolutionary always kept your interest up.  Plot lines, although sometimes a little trite,  were usually well-done and faithful to history.  Definitely a good successor to the movies with just enough action to boot.",/review/rw1832628/?ref_=tt_urv
