Review_Date,Author,Rating,Review_Title,Review,Review_Url
5 December 2005,dee.reid,," This is good, though many have already missed the point, which isn't surprising
","With his basketball-sized afro and genius I.Q., you'd never guess that 10-year-old Huey Freeman is WAY beyond his years. His 8-year-old brother Riley isn't of equal intelligence but what he lacks in that area he makes up for in attitude. Both young boys, the revolutionary-in-training Huey and the hip-hop-loving, hustler-in-training Riley, are moved from the big city to the 'burbs to live with their grandfather, and chaos ensues.",/review/rw1815936/?ref_=tt_urv
5 December 2005,HyperPup,," Afrocentric satire par none
","Having read and watched both the print and televised versions of the Boondocks I can honestly say, to me it was a diamond in the rough...until now. The antics and sometime semantics of the lead characters Huey, Riley and Grandpa are enough to keep ones funny bone in stitches while at the same time sending a message to the viewer loud and clear. The message is that no matter what color, no matter what creed or race....everyone is F'ed UP! I know the brothas and sistas will be jammin on how Huey is sticking it to the white man and so on, but that is only one side of the equation for the story often shows the illogic and humor of how African Americans view life. A stinging indictment on how the gov't seeks to obstruct and keep down the black man gives way to portrayals of black men stereotyping one another with colorful and racial epithets. The mocking vision of white males acting like black gansta rappers melts into the savage humor of hoes and pimps and black men and gun play. Its the long stretch and cleansing breath of the soul the racial landscape of America has needed for a long time. No one is perfect and this show is unafraid to show that no matter what color or ideology , that you have a bullseye on your back when Huey and Riley come around!",/review/rw1815936/?ref_=tt_urv
9 July 2006,Agent10,10," A biting, Leftist commentary on society
","Aaron McGruder is an admitted militant liberal, and his comic strip has provided quite an insight into his world view on politics and the lack of political tactfulness. But the television show has effectively upped up the ante, making even starker commentary on society and the racist ills that have fallen on it.",/review/rw1815936/?ref_=tt_urv
13 February 2006,Tenchi64589,," Just what we all need
","This show is just what we people that aren't afraid to speak our minds need, and what all those PC wussies asked for! ",/review/rw1815936/?ref_=tt_urv
3 February 2015,bmoore07,8," The Last African-American Cartoon Classic
","The title of this show is an interesting one because the show's setting isn't exactly in 'the boondocks' of American society. The Boondocks is about two children named Huey and Riley Freeman who move from the ghettos of Chicago to the fictional, peaceful (and very white) neighborhood of Woodcrest, where they embark on hilarious misadventures with their grandfather Robert Freeman as they adjust to their new environment.",/review/rw1815936/?ref_=tt_urv
9 November 2005,Adolphe_Menjou,," great comedy which will leave you laughing with gasps!!
","the boondocks comic strip, which appeared in April of '99 was a thought inspiring strip, which more times than once, was pulled for it's raunchy messages.",/review/rw1815936/?ref_=tt_urv
15 May 2006,cchamber,9," Not for all viewers
","This show is ""black"" comedy in multiple senses of the term. Here is a memorable example. Grandad opens a restaurant featuring a menu high in fat, pork, sugar, and serving sizes. Huey comments that the food is ""destructive"" to those that eat it. Grandad asks him, ""What's wrong with you boy, this is your culture."" To which Huey responds, ""well then the culture's destructive!"" Now that's a point worthy of consideration coming out of the mouth of a small child in a cartoon. Personally, I think its worth watching several hours of this show just for the reward of being challenged to think about that one line, but others will not agree. My wife hates the show because, in her opinion ""its simply not funny."" I must agree, that the writing is bit uneven. Uncle Ruckus's trip to ""white heaven"" and King's speech at his political rally are absolutely priceless, while the entire episode ""Let's Nab Ophrah"" was a complete waste of time when Samuel L. Jackson's character wasn't talking. I strongly expect the reviews of this show to be highly polarized - you either love it or hate it. Watch a few episodes and make up your own mind.",/review/rw1815936/?ref_=tt_urv
16 January 2006,gitarooman01,," The most outstanding animated series of this day.
","In a day, of all we can hope for is reruns of beloved classics, and some of the dumbest crap-anime to brainwash young children, there is one that truly gets it right : The Boondocks.",/review/rw1815936/?ref_=tt_urv
17 July 2015,corazontvc,8," How exactly did they get away with this?
","That's the question I keep asking myself. My favorite character is Uncle Ruckus. How in the hell did this get onto relatively mainstream television is completely beyond me. Today, this would have howls of twitter protests and nervous nancies screaming at the top of their lungs. Thank God there was a time when artists were allowed to take risks.",/review/rw1815936/?ref_=tt_urv
9 May 2006,kenny5637,10," The best show for society
","This is Adult Swim's most socially conscious and possibly most clever show. It's loaded with parallels to real world events. (A convenience store robbery works as a perfect metaphor for the early stages of Iraqi Freedom.) There are also heavy doses of Eastern influences, with references to Japanese cinema (Zatoichi, specifically) and action scenes comparable to what you'd normally only see in anime. The heavy dosage of quality hip hop is also refreshing. Aaron McGruder is man with good tastes, and they help to make his material so brilliant.",/review/rw1815936/?ref_=tt_urv
2 August 2012,Rectangular_businessman,9," Excellent series
","In my opinion, ""The Boondocks""( along with ""Avatar: The Last Airbender"" and ""The Legend of Korra"") is one of the best anime-influenced cartoon, which is able to take the best elements of Japanese and American animation in order to create something different and well made. Instead of only using the most characteristic anime elements big water drops in a shallow way, this series uses the anime aesthetic in a original and different way, with very interesting and stylish results. There is huge improvement in the animation quality in the second season, but it is the surprisingly good writing what makes this series to be so great.",/review/rw1815936/?ref_=tt_urv
25 June 2022,JWick23,," Its deeper than you think...
","S1: Funny, wacky, underneath all the silliness lies a bigger pic, a bit far at times, quite consistent for the most part.",/review/rw1815936/?ref_=tt_urv
14 July 2021,cherold,9," great series until the tacked-on fourth season
","The Boondocks was a brilliant, wildly funny show I saw years ago. Then one day it was just gone. And then, weirdly, years later it came back.",/review/rw1815936/?ref_=tt_urv
7 October 2018,victormayi,8," I need Season 5
","I heard y'all were banned. 
But this show is widely loved. Please bring it back in Season 5.",/review/rw1815936/?ref_=tt_urv
