Review_Date,Author,Rating,Review_Title,Review,Review_Url
19 May 2009,littlemartinarocena,9," Anthony Minghella's Heart and Mind
","It is a strangely powerful and moving experience to see ""The English Patient"" again after Anthony Minghella's death. Most of his body of work is dedicated to one shattering point. The endless moral struggle of those who, consciously, walk a very thin line. In ""The Talented Mr Ripley"" Minghella moves away from Patricia Highsmith's amoral Tom Ripley to give the murderer a conscience. In ""Breaking And Entering"" Minghella gives Jude Law's character the need to confess and the rewards are chillingly moving. Here, in ""The English Patient"", the characters in love are never too far away from their corroding feeling of guilt. Ralph Finnes and Kristin Scott Thomas are extraordinary. They strip their characters from every pretense in a compelling complicity with us, the audience. Juliette Binoche is, quite simply, spectacular and her scenes with the wonderful Naveen Andrews are filled with a ""Minghellian"" sensual innocence. Anthony Minghella gave us films that were,one way or another, that elusive mix of art and commerce. He was true to himself but thought about his audience. He knew how to push our buttons without betraying his own. There is something clear, honest and startling about Minghella's opus. I miss him already but I'm grateful for the reflection of his soul he left behind.",/review/rw0995300/?ref_=tt_urv
29 July 2002,jhclues,10," A Magnificent Motion Picture
","In a style reminiscent of the best of David Lean, this romantic love story sweeps across the screen with epic proportions equal to the vast desert regions against which it is set.  It's a film which purports that one does not choose love, but rather that it's love that does the choosing, regardless of who, where or when; and furthermore, that it's a matter of the heart often contingent upon prevailing conditions and circumstances.  And thus is the situation in `The English Patient,' directed by Anthony Minghella, the story of two people who discover passion and true love in the most inopportune of places and times, proving that when it is predestined, love will find a way.",/review/rw0995300/?ref_=tt_urv
28 May 2001,Nazi_Fighter_David,9," A masterpiece of intimate moment and spectacular largesse...
","'The English Patient' is a love story set in Europe as World War II ends... It is a wartime romance mystery epic, like 'Hiroshima, Mon Amour,' 'The Sweet Hereafter,' and 'After Life.' Anthony Minghella weaves extravagant beauty around a central character whose condition is grotesque, and puts emotional barriers between the characters and the audience...",/review/rw0995300/?ref_=tt_urv
2 July 2007,ackstasis,9," ""Every night I cut out my heart. But in the morning it was full again""
","Anthony Minghella's 'The English Patient' is a film that takes us back to the golden years of Hollywood. It is grand and impressive in scale, and yet so heartbreakingly intimate in its portrayal of human love and suffering. At the 1997 Academy Awards, the film owned the night, taking home nine awards from twelve nominations, the most decisive cleansweep since Bernardo Bertolucci's 'The Last Emperor' in 1988. Based on Canadian author Michael Ondaatje's 1992 Booker Prize-winning novel of the same name, 'The English Patient' is a touching meditation on life, love and loss, tracing the history of a critically-burnt man in the aftermath of World War Two.",/review/rw0995300/?ref_=tt_urv
7 March 2007,inkblot11,10," One of the greatest achievements in all of cinema, peerlessly beautiful
","Count Laszlo (Ralph Fiennes) has just been transferred to a hospital in Italy during World War II. He is horrifically burned from an ambush. His nurse Hana (Juliette Binoche) tends to him, body and mind, for she fears, quite rightly, that he may be a very troubled soul. In the course of his care, the Count starts to tell Hana of his recent past. It seems he worked in a government capacity in Africa, where he met a beautiful married lady named Katherine (Kristin Scott Thomas). Although they tried to avoid each other, they fell in love. After a brief affair, Katherine called it quits, leaving the Count desolate. Even so, the two would meet again, under heart-wrenching circumstances. Meanwhile, Hana herself falls for a Sihk man in the British bomb squad. Yet, the war is raging relentlessly. Can love exist when the world is in turmoil? This is a tremendous film, based on an equally fine but complex novel. The plot has many story lines that are woven together beautifully, each of them poignant beyond description. The script itself is elegant and contains many memorable lines. Fiennes is magnificent, both as the burn victim and as the man who thought love was a myth. Scott Thomas is also quite fine as the woman who fights against her passions. As for Binoche, she richly deserved the Oscar that she was presented, as her nurse is a shining example of hope in a hopeless situation. The scenery is utterly gorgeous, as are the costumes, the direction, and the production. If you have missed out on viewing this film, rectify that soon, very soon. The English Patient will remain one of the greatest achievements in film for centuries to come.",/review/rw0995300/?ref_=tt_urv
26 February 2002,bob the moo,," Epic story that mixes lust with a mystery story  worthy stuff but a touch too slow
","Tuscany WW2.  Traumatised by the loss of anyone she cared for or loved, Canadian nurse Hana stays behind her unit with a dying patient, Count Laszlo de Almásy.  de Almásy is burnt all over and has lost his memory.  When a vengeful, mysterious thief arrives at their abandoned monastery with a past that seems to include de Almásy , and as Hana reads from his book, memories return regarding his past.  He relives his story of lust and love and the destructive force that forbidden passion unleashed upon his life.",/review/rw0995300/?ref_=tt_urv
12 April 2011,TheLittleSongbird,9," Intensely moving and beautifully shot
","I personally have never understood the backlash The English Patient gets. I can understand why it might try someone's patience, as the pace is very slow and perhaps purposefully so and the film is very long at over two-and-a-half hours, but I do think it is unfair that there are those who consider one of the worst Best Picture winners(I personally think Crash, Cimarron, Braveheart and The Hurt Locker are worse, I have never understood the hate for Shakespeare in Love either as in my opinion that's better than the movie-Saving Private Ryan- that almost everyone says should have beat it). Fargo is a great film as well, whichever film won made no difference to me, as long as they are great movies which they are.",/review/rw0995300/?ref_=tt_urv
1 December 2011,orionschwert,10," In my top 100 and will stay there forever
","Sometimes I just don't get it with the ratings of the IMDb. I'm writing this review because I'm shocked to see this film at a 7.3 rating. This is so ridiculous. It is really hard to point out a film which is better told, better crafted, having a more deeply love-story and such a overall fascinating aura. I do understand that everything is a question of taste but this masterpiece is so full of beauty and drama that you simply can not rate it under 8. If you do not like it so much = 8 , if you like it = 9 and if you love it's pure beauty = 10 And now go and watch this movie. You wont regret it if you like romance and love story's and beautifully crafted films.",/review/rw0995300/?ref_=tt_urv
19 March 2004,mattymatt30,9," An epic tale of doomed love
","'The English Patient' can rightly be compared to the films of David Lean, whose sweeping epics such as 'Lawrence of Arabia' and 'Bridge on the River Kwai' must have inspired the director Anthony Minghella. The film is beautifully photographed, and like 'Lawrence', is set in Northern Africa, but during the second world war.  The story is complex, but it boils down to a forbidden love between an opinionated and often difficult archeologist played by Ralph Fiennes and a married woman played by Kristin Scott Thomas.",/review/rw0995300/?ref_=tt_urv
26 May 2009,TheUnknown837-1,8," despite a few flaws, ""The English Patient"" proves itself as an enthralling modern-day epic with that same sweeping sense that made movies like ""Lawrence of Arabia""
","One of the most charming and, for me at least, the most powerful elements of Anthony Minghella's enthralling Best Picture-winner ""The English Patient"" is that, in the mid 90s, when Hollywood was in the initial stage of having lost its nerve for grand new projects, a film was created that brought back traces—very powerful traces—of the sweeping, wonderful majesty that crafted movies such as ""Lawrence of Arabia"" (1962) and ""The Ten Commandments"" (1956). ""The English Patient"" contains very much of what made those films so powerful. It has that glorious feeling, a stretched running time that hardly seems long at all, and fascinating characters with pasts and stories.",/review/rw0995300/?ref_=tt_urv
