Review_Date,Author,Rating,Review_Title,Review,Review_Url
2 March 2016,mapika,10," Season 1: as real, complex, dark and deep as it gets
",Usually I don't write reviews. But this series deserves definitely more appreciation! ,/review/rw3206270/?ref_=tt_urv
2 May 2015,janoffpeter,9," An underrated series to say the least
","I am not to get long winded here but i will get right to the point in saying this is hands down one of the boldest productions made in a long time.It's message script delivery and plot development are so astoundingly well executed (no pun intended) that I give it a whole whopping niner.Yes nine. I wasn't sure at the gate but once this series got running I was addicted to the amazing performances delivered by some of the finest actors and actresses in the business.Welcome back I say to old favorites such as Timothy Hutton and Felicity Huffman. Great supporting form Benito Martinez as well.But there are also fresh new actors such as Richard Cabral,Elvis Nolasco and Caitlin Gerard all delivering top notch rolls worthy of special mention here.All in all a series touching on a vast array of tough social issues at a bruising pace.It's so realistic yet existential at the very same time.Don't miss it.I rate it higher than most.For some reason it has touched a nerve.I find the message here perhaps lies not in how the unique model of American racial diversity is infected or doomed to self-destruct but by how that very same diversity is re-routed towards or unified by the same challenges and confrontations brought about by drug and weapons abuse and by a penal system targeted at young black men.See it and come to your own conclusions.But see it!",/review/rw3206270/?ref_=tt_urv
15 March 2015,metromm,8," Art imitating life
","Life doesn't happen in neat chapters where one part of the story wraps up neatly and then moves on to another. Life doesn't present its main characters always with perfectly coiffed hair and Hollywood-style makeup. And that's exactly why I'm really liking American Crime. It's a slice of life - a very sad and often confusing slice of life. American Crime festers in the dark side. It brings out the worst in humanity ... so far. I imagine as the series gets further along, there will be changes that come with plot revelations and character development. I'm enjoying the well-thought out plot so expertly put into words, the richness of the acting that brings that script to life and the occasionally brilliant and always good cinematography. The score by Mark Isham contributes just he right tension without becoming overbearing or, like so many other productions, just too loud. I can't think of a thing missing. This is the formula for a very, very good TV crime series. I hope each episode is as good as the first two that I so much enjoyed.",/review/rw3206270/?ref_=tt_urv
13 September 2016,nicholasruddick,10," Not a Pretty Picture, but Great Television
","It's said we're in a golden age of TV drama, and here's more evidence. One astonishing fact about this series is that it was made by ABC, one of the supposedly fossilized networks, rather than by one of the newer niche cable channels. And now it's available on Netflix (at least here in Canada) so you don't have to dodge commercials.",/review/rw3206270/?ref_=tt_urv
18 April 2017,mg75535,7," The problem with American Crime is that I want answers
","American Crime focuses on the people surrounding a criminal case and the difficulties that they go through rather than the actual crime or criminal investigation itself. While I understand the merits of this and appreciate it the point they're trying to make, the fact of the matter is that I want to know the outcome. I want to know what happened. The acting is great and the series is well written (probably too good for network television though) but it's a let down getting to the end of the season having no idea what actually happened. The series doesn't need to focus on the investigation or be a police procedural to give the viewer a but more payoff at the end. We can struggle with the families of crime victims and ultimately learn the truth/see how things turn out without losing the main message of the show.",/review/rw3206270/?ref_=tt_urv
22 March 2015,mdefilip-01822,8," Excellent series but not for a network audience
","I watch a lot of foreign movies and TV series because I find most domestic products to be formulistic, highly predictable, shallow or simplistic (many fine exceptions exist - as examples True Detectives, Breaking Bad, Justified etc.). This holds particularly true for anything offered by the big 4 networks. As an example watch both versions of the series "" Secrets and Lies"" and you will clearly see the difference between an off shore and a domestic take on the same story. For me there is no comparison, the original Aussi version is much more to my liking. ",/review/rw3206270/?ref_=tt_urv
10 April 2015,piekarskia,7," the show you'll love to HATE. no spoilers, just a precautionary warning on what you're about to get into.....
","Part of me wishes I could just trash this show, but it IS actually quite well done. Very nice camera work, and pretty decent acting. At least, I pray this is acting and none of these people actually act like this in the real world. The unfortunate and tragic part is it just how accurately it portrays the potential depravity of the human race. Every single main character is AWFUL, each in their own wretched way. In fact, no, awful is far too good of a word. You've got your heartless gang bangers, you've got your drug dealers disgracing their military uniform, and back stabbing cheaters, degenerate life destroying gamblers, you've got your murderers, and your thieving prostituting junkies that'll do any and everything for their next fix. You've got not one, not two, but essentially half the people in the show are racists, and not just your run of the mill confederate flag waving scumbag, but racists on such a horrifying level it will chill you to the bone at the sheer depravity of it all. Your jaw just might hit the floor while your blood runs cold from the things that come out of these people's mouths. The only two you'll notice right away AREN'T racists are murdering thieving pimping/prostituting smack junkies. Go figure. The police ... well they aren't any better. And every parental figure on this show has contributed in full to the complete and utter rock bottom of each of these destroyed lives. I can't wait until each of these terrible human beings gets what's coming to them. I just can't wait. Because I hate them ALL. Each and every single one of them.",/review/rw3206270/?ref_=tt_urv
26 March 2015,CoolKid23,10," A fresh look at race in America without offending anyone
","Lets face it, race has pretty much always been the number one talked about subject in America. For better or for worse it seems that no one will ever stop talking about it. Fast forward to America Crime which is a brand new crime drama centered on a few characters who are all connected through a murder and a rape. Did not think I would be interested in this drama but after the first episode I was hooked. The acting seems to be top notch and realistic from everyone. The artistic view of race relations in this show is amazing. It's slow paced yet the conversations are meaningful and deep. I believe race can be addressed without offending anyone and this show does it. I don't think it's so much that people are racist but it's more that people make assumptions based on what people look like, the music they listen too or the tattoos they have. This show will make you think about how you view the next person. It proves that no matter what race you are everyone has their own problems and usually the same problems of everyone else. Gave this a ten because most shows that come out don't live up to the hype of what the show is about. This show gives you everything it promised no more no less.",/review/rw3206270/?ref_=tt_urv
1 April 2015,cybolt-51431,8," Premium Cable Quality on Network TV
","If one adheres to the belief that art reveals some critical aspect of being human, then American Crime is one of the best pieces of art I've ever seen in a network television series. The title may mislead viewers into expectations of a high-octane cop procedural; those anticipating such will be disappointed. Just like Breaking Bad (without the violence) American Crime operates on a much deeper, psychologically-taut, gut-wrenching level. It burrows into the souls of its characters, depicting each as they react to and evolve from a single murder committed in Modesto, California.",/review/rw3206270/?ref_=tt_urv
6 June 2015,runamokprods,10," Surprisingly strong and complicated for network TV
","Writer-creator John Ridley's yearly 10 part dramatic exploration of the ripple effects of a horrific crime (or crimes) across several families of different races and classes in America (examining both victims, and possible perpetrators) is surprisingly strong and political for a network show.",/review/rw3206270/?ref_=tt_urv
