Review_Date,Author,Rating,Review_Title,Review,Review_Url
18 November 2013,blanche-2,10," Beautiful, hilarious, poignant film
","Alexander Payne is one director who marches to the beat of his own drummer - films in Nebraska, uses black and white, and casts some parts locally to get the correct flavor. He doesn't miss a note.",/review/rw3599254/?ref_=tt_urv
1 December 2013,StevePulaski,10," Keep on the sunny side of the desolate landscape
","Director Alexander Payne is currently one of the best dramatists in cinema right now simply because he makes films about realistic people in realistic situations. Payne seems to see no value in fantasy elements, far-fetched circumstances, or overly-comedic nonsense. His accomplished filmography includes the uproariously funny and poignant Sideways, The Descendants, which I went on to name my favorite film of 2012, the bold satire Election, the humble and depressing About Schmidt, and the daring abortion comedy-drama Citizen Ruth.",/review/rw3599254/?ref_=tt_urv
26 February 2014,sherineyousery,8," Unbelievable
",""" Nebraska "" is :",/review/rw3599254/?ref_=tt_urv
24 December 2013,barkingechoacrosswaves,8," Very difficult and worthwhile
","""Nebraska"" offers viewers an unstinting view of some very unpleasant things: extreme decrepitude, boundless stupidity, greed and ignorance. There is also very deep, and very painful, love on display in this portrait of an embittered working class eking out a meaningless existence in a dysfunctional and remote place. ""Nebraska"" oscillates between cynicism and schmaltz, pulling off a wondrous kind of emotional alchemy that few films aspire to, let alone attain.",/review/rw3599254/?ref_=tt_urv
15 November 2013,nesfilmreviews,8," A heartfelt slice of Americana
","Director Alexander Payne ""Sideways"" (2004) and ""About Schmidt"" (2002) deftly handles the road-movie plot structure once again with dark humor and satirical depictions of contemporary American society, yielding fantastic results yet again, as a heartfelt journey to examine his frail and flawed characters. Payne himself is a Nebraska native who felt strongly that the movie be filmed black and white to capture the mood of the old American heartland, and in order for the film to receive funding from Paramount, he had to settle for a smaller budget. As a result, Payne films and casts the movie in local communities with actual residents which provides a realistic texture to the family bonding tale. ""Nebraska"" is a humorous and heart-rendering story of family, but it also sheds a light onto the people of America's heartland, and our countries economic, moral, and cultural decline.",/review/rw3599254/?ref_=tt_urv
16 March 2014,planktonrules,9," Very slow, very dry yet very rewarding.
","""Nebraska"" was nominated for a ton of Oscars, though it received none. This isn't surprising, since the film is exceptionally well made but is also NOT the sort of film the average viewer would enjoy or even pick in the first place. As for me and my lovely wife, we both had a very nice time watching this strange slice of life film.",/review/rw3599254/?ref_=tt_urv
7 April 2014,claudio_carvalho,7," Father and Son Journey
","In Billings, Montana, the old mechanic Woody Grant (Bruce Dern) has dementia and believes that he has won a million-dollar prize, but it is actually the marketing advertisement of a magazine. Woody does not drive anymore and he tries to walk to Lincoln, Nebraska, to collect the prize. His wife Kate (June Squibb) and his older son Ross (Bob Odenkirk) want to send him to a nursing home, but his estranged younger son David (Will Forte) decides to satisfy his fantasy and travels with him to Lincoln to claim his prize. During their journey, they stop in Hawthorne to visit their dysfunctional family and friends and David learns the past and dreams of his father. In the end, David makes his father's dreams come true.",/review/rw3599254/?ref_=tt_urv
17 February 2014,851222,10," ""Nebraska"" is the reason why I love movies
",Greetings from Lithuania.,/review/rw3599254/?ref_=tt_urv
11 November 2013,lpatterson83,7," Bruce Dern Oscar worthy performance
","Bruce Dern gives the performance of his life. He is wonderful. He maintains the quality of tuning in and out of reality throughout the film. Typical of someone with dementia, you are never really sure if he's there or not. There is a moment in the film when he drives and you can just see him glow and come alive.",/review/rw3599254/?ref_=tt_urv
8 October 2013,ClaytonDavis,9," Payne's best film ever...June Squibb steals the show!
","NEW YORK FILM FESTIVAL: There is a magical and profound power that is exuded from Alexander Payne's film ""Nebraska."" I loved just about every second of it. Written by Bob Nelson, the black-and-white dramedy takes us through the beautiful and rural Midwest showcasing opulent and lavish cinematography by Phedon Papamichael. And let's not forget the trio of stunning performances from Oscar-nominee Bruce Dern, Will Forte, and June Squibb. The film tells the story of an aging and ailing Woody (Dern) and his son David (Forte) as they venture off from Montana to Nebraska to collect a million dollar prize that Woody believes he has won.",/review/rw3599254/?ref_=tt_urv
