Review_Date,Author,Rating,Review_Title,Review,Review_Url
30 September 2017,jtindahouse,8," Made with infinite class
","I've only read a handful of Stephen King novels, but 'Gerald's Game' just so happens to be one of them. I liked the novel without overly loving it. It had a memorable ending, but the story was a little bland for my liking. I've heard people say it's one of their favourite King novels and also heard people say it's one of their least favourite, so it's clearly quite a polarising novel. I was excited when I heard it was going to be made into a movie though. I almost always enjoy King movie adaptions and was very interesting to see how they went about the ending I spoke of earlier. It is very rare that I enjoy a movie more than the book version (almost to the point that I can't think of a single example before now), but this is almost certainly a case of that.",/review/rw5018553/?ref_=tt_urv
10 July 2018,sddavis63,7," Superb Stephen King Adaptation, But An Ending I Found Silly Detracted From It
","I will confess that I have never read the Stephen King novel on which this movie is based. Maybe the end is a bit clearer in the novel, but the ending of the movie really kind of left me a bit empty. I was really enjoying this movie up to that last ten minutes or so. I can't say that I had been particularly familiar with Carla Gugino, who played Jessie in this, but I thought her performance was fabulous. The story begins with Jessie and her husband Gerald (Bruce Greenwood) taking a vacation in a remote place in the hopes of resparking their marriage, which had gone dry romantically and sexually. To do that, Gerald had brought handcuffs and handcuffed Jessie to the bed. To that point this really had something of a ""dark comedy"" feel to it; it was humourous in a warped sort of way. But it doesn't stay that way for very long. Jessie wasn't enthusiastic about Gerald's handcuff game, or the rape scenario that he wanted to play out with them, and she eventually objected, leading to a fight between them - during which Gerald dropped dead of a heart attack with Jessie still chained to the bed. Alone, with no one to help her, no food, a hungry dog that had found its way into the house and was feeding on Gerald's body and only a single glass of water, she has to find a way to survive. The movie eventually becomes a journey of self-discovery for Jessie as she finds herself exploring the demons in her own past back to her childhood and her relationship with her father and how they connect with the present.",/review/rw5018553/?ref_=tt_urv
26 November 2017,classicsoncall,7," "" 'cause everybody's got a little corner in there somewhere.""
","Having recently read ""Gerald's Game"" I still have a pretty good recollection of the book and found this screen adaptation to be very close to the original source. A couple minor points that don't jive would be Gerald's physical health; in the novel he's slightly overweight and not in very good shape, thereby making him a better candidate for a heart attack than a guy like Bruce Greenwood in the role. The other thing had to do with the location of the story. In the book, the house was more like a summer cabin secluded in the woods, whereas this looked like more of a neighborhood type setting. At least that's my recollection, probably more nit-picks than any problem with the screenplay.",/review/rw5018553/?ref_=tt_urv
5 November 2017,Fella_shibby,7," Gugino's acting was terrific. The creepiness of isolation and immobilization perfectly captured.
","Saw this recently on a DVD. Having enjoyed Flanagans Occulus n Hush, (yet to c the sequel of Ouija) i was excited to see this. The film which is based on Kings novel is about a couple trying to save their marriage by spending time at a remote house. Thru trailer itself, v come to know that after handcuffing the wife on the bed, the husband suffers a heart attack leaving the wife tied up with no help near at all. 127 hours scenario? To make matters worse, there is a hungry dog on the prowl. The wife later starts hallucinating n she goes thru the mental trauma remembering her dark past.The film succeeded in capturing the creepiness of isolation and immobilization n the growing dread. The good thing about Flanagan is that he can manage to build up tension n suspense in spite of minimum characters n action. Hush was the best example. This movie is more of a psychological survival drama with elements of horror.",/review/rw5018553/?ref_=tt_urv
30 September 2017,cjs6547,7," Successfully captures the feel of a Stephen King
","Stephen King is at times a brilliant writer, and most of his novels give a home-bred 70's vibe. There's the presence of raw indecency and rotten attachments right beside the gore, and this movie is very good at portraying that.",/review/rw5018553/?ref_=tt_urv
7 October 2017,zkonedog,10," Tremendously Captures Exactly What The Book Intended To Convey
","There are very few works of art (film, music, literature, etc.) that truly scare me or leave me feeling unsettled. Reading Stephen King's novel ""Gerald's Game"" was one of those rare experiences. This adaptation, directed by Mike Flanagan, expertly captures the essence of that creepy novel and puts it on the small screen. Earlier this fall, I proclaimed ""It"" to be perhaps the best book-to-film adaptation I have ever seen. With respect to that wonderful film in its own way, this one is perhaps even better.",/review/rw5018553/?ref_=tt_urv
1 October 2017,Patient444,8," Beautiful film!
",This is a step up from your usual horror NetFlix productions and especially from other Stephen King translations. I mean it was a bomb! And in the good way.,/review/rw5018553/?ref_=tt_urv
8 July 2018,Gordon-11,," Unnerves and unsettles
","This film tells the story of a woman who must break free from her shackles in order to stay alive, after her husband dies unexpectedly.",/review/rw5018553/?ref_=tt_urv
17 October 2018,Sleepin_Dragon,5," Imaginative, but a bit too slow.
","I really fancied this having watches a trailer, but as is so often the case, the best bits were shown in the trailer, and the film itself was ultimately a disappointment. The writing is clever, the story is best, but as the story is literally handcuffed (no pun intended) it does limit the scope. It's well acted, it's certainly different, I just found it too hard to get into. 5/10",/review/rw5018553/?ref_=tt_urv
23 January 2020,dar0417,2," Am I the only one?
",For some reason I might be the only person that did not get this one.,/review/rw5018553/?ref_=tt_urv
