Review_Date,Author,Rating,Review_Title,Review,Review_Url
24 March 2015,Terryfan,7," Stays In Vegas
",Despite some bad rap this film is not really bad it just needs to be watch to understand.,/review/rw3139675/?ref_=tt_urv
7 January 2010,Enchorde,7," Good comedy indeed!
","Recap: Both Joy and Jack has seen better days. Joy just got dumped by her fiancée, in front of all their friends, and Jack just got fired, by his father. They both go to Vegas to forget their miseries and after a drunken night out end up married, by mistake. But a 3 million dollar lottery prize complicates matter. But instead of giving them an annulment the judge orders them to stay married for six months, in order to get a part of the money. Now a bitter feud start where they try to sabotage for each other in order to get all the money for themselves.",/review/rw3139675/?ref_=tt_urv
11 May 2008,Smells_Like_Cheese,5," Typical, but still funny
","When I first saw the trailer to What Happens in Vegas..., I thought it did look so predictable, but it had some really funny moments in the trailer, so I still wanted to see it. The only sad part, we have Cameron Diaz(who looks like a really good looking aging woman) and Ashton Kutcher(who still looks and acts like he's 12 years old), so we have two obnoxious actors that could have made a very disastrous film. But I saw What Happens in Vegas... yesterday and even though it was very predictable and stupid, it still had some very funny moments. I mean, Cameron and Ashton play two of the most unlikeable characters in movie history, who just bicker back and forth. The characters who win you over in the film are Rob Corddry and Lake Bell, who's fighting is actually very funny. But Aston and Cameron had some really good moments too.",/review/rw3139675/?ref_=tt_urv
11 June 2011,georgia_cushion,8," Fun.
",I got given this film by a friend for a birthday present and she said it was really good so I had quite high expectations for it. I thought that Diaz and Kutcher's performances were funny and witty. It had a good story-line and it was very well thought out. I thought the fact that you got to see the wedding later on in the credits was a clever idea. Some of the scenes made me laugh out loud but other parts of the film were a little cheesy and very predictable. It was funny how similar reasons brought them to the same place. Overall I would say What Happens In Vegas is a funny feel-good film. I would give it a 7/10 and say that it is suitable for anyone 10+.,/review/rw3139675/?ref_=tt_urv
14 June 2008,Nazi_Fighter_David,7," Get ready for real fun
","Following a wild night of too many drinks in Las Vegas, Cameron Diaz and Ashton Kutcher, wake up to discover that they are married in this funny and colorful romantic comedy ",/review/rw3139675/?ref_=tt_urv
21 October 2013,namashi_1,7," A Decent Entertainer!
","Tom Vaughan's Box-Office Hit 'What Happens in Vegas' is A Decent Entertainer, that offers good laughs & sweet moments in the goings-on. Its funny & romantic.",/review/rw3139675/?ref_=tt_urv
31 August 2008,AnnaShade,," Diaz and Kutcher are Entertaining and Cute Together
","Despite the surly comments of others, this movie is not a waste of time. When I first saw the preview, I was completely doubtful as to the quality of this movie. I mean, accidental marriage in Vegas? Ashton Kutcher AND Cameron Diaz? Like, together? It was a bit scary.",/review/rw3139675/?ref_=tt_urv
25 October 2008,Dragoneyed363,7," Just a fun time
","Alright, before you watch this movie, you know it is not going to be some deep, poetic Best Picture nominee. I was not all that excited about seeing it in the first place myself if I am going to be honest, but I only got it because there was nothing better to get I guess, and in the end, I had a fun time with it. Ashton Kutcher and Cameron Diaz have good chemistry on set, not exactly Gone with the Wind type of romance, but enough to make it feel somewhat believable and make these characters interact well with the plot.",/review/rw3139675/?ref_=tt_urv
22 July 2014,richieandsam,6," not bad but not great.
",WHAT HAPPENS IN VEGAS,/review/rw3139675/?ref_=tt_urv
22 August 2008,claudio_carvalho,8," Delightful Silliness
","The clumsy and reckless Jack Fuller (Ashton Kutcher) is fired by his boss and father (Treat Williams) and together with his friend and unsuccessful lawyer Hater (Rob Corddry), they decide to go to Las Vegas to have a good time. Meanwhile the fiancé of the workaholic stock broker Joy McNally (Cameron Diaz) breaks up their engagement because of her lack of attitude. Her friend and bartender Tipper (Lake Bell) convinces Joy to spend a couple of days also in Las Vegas. Due to a hotel management mistake, they are lodged in the same room and later they hang around together. During the night, they get completely wasted and on the next morning, Jack and Joy find that they got married. While discussing to briefly end their wedding, Jack borrows a coin from Joy to gamble in the jackpot machine and wins three million dollars. They question in court the ownership of the money and the conservative Judge R. D. Whopper (Dennis Miller) freezes the money and sentence them to live together with Joy moving to Jack's house for six months and attending regular counseling sessions. Each one decides to make the life of the other hell on Earth to force to get out of the marriage.",/review/rw3139675/?ref_=tt_urv
9 May 2008,quirke_j,6," Enjoyable comedy without the usual Hollywood overkill
",I was in fear of going to see this movie.The reviews were appalling. At the last minute I relented and went expecting the worst. I was pleasantly surprised after 10 minutes my fears were dispelled and I actually started to enjoy the film. The basis of the film was predictable but the way the 2 central characters draw you in surprised me. They worked very well together and played off each other very well. Yes there are 1 or 2 silly scenes but it was still funny.,/review/rw3139675/?ref_=tt_urv
30 May 2008,Chris Knipp,7," You have to care and not care
","A lazy young man who's just been fired by his own father and an uptight financial sector striver just dumped by her boyfriend go to Las Vegas with pals to forget and, meeting, get married in a night of drunken carousing and diminished rationality. Then he wins $3 million on a slot machine with her quarter and they wind up in court fighting over an annulment and the right to the three million. The judge dislikes them both equally and sentences them to remain married and cohabit for six months and prove they're working to get along. A series of domestic plots and battles follows as each tries to outsmart the other to win in court and get all the money. They end up liking each other. ",/review/rw3139675/?ref_=tt_urv
11 July 2012,retty132-1,6," Won't be winning any Oscars but it might give you a few laughs
",This film is just your typical Rom Com. An easy watch with a couple of punchlines to get you laughing. There's no effort to this film but one to chuck on when you don't feel like putting much thought into a film.,/review/rw3139675/?ref_=tt_urv
30 November 2013,lesleyharris30,4," Character's are Unlikeable and Just Not Funny,
","What Happens In Vegas is a below average movie with a very cliché romantic comedy storyline that is made even worse with a cast that don't deliver any heart to their unlikeable characters,made even worse with one bad joke after another,the majority of them being offensive to both genders.I love Cameron Diaz and it is very rare when she lets me down,but this is a very big exception,Ashton Kutcher is alright but his movies are very hit or miss and this is definitely a big miss.While the story may seem like a fun and original set up for a romantic comedy, it really is the exact opposite,I would recommend What Happens in Vegas to absolutely no one.",/review/rw3139675/?ref_=tt_urv
8 May 2008,mario_c,6," For an average Hollywood comedy, it's not bad
","This romantic comedy starts with a good premise: two strangers meet in Las Vegas and after an evening of wildness and many drinks they get married and win a prize of 3,000,000 dollars on a slot machine. They agree to divorce and split the money, but the Judge doesn't concede it to them, and force them to live together for 6 months, in order to make them try to succeed their marriage. It's the beginning of a living hell to them, because they can't stand each other ",/review/rw3139675/?ref_=tt_urv
