Review_Date,Author,Rating,Review_Title,Review,Review_Url
24 June 2018,shannen-l-c,5," Doesn't deserve all the bad reviews
","Below Her Mouth isn't the best movie ever written, it's not original or well-thought out, but it has a lot of good points. ",/review/rw5125194/?ref_=tt_urv
11 August 2019,wingram-98658,8," Very explicit, however not unnecessarily...
","I have read a lot of the reviews, and although I agree, somewhat, I still liked this movie very much. In my opinion, the acting was raw, but it fit the storyline perfectly. Erika was making her first movie, so she wasn't Meryl Streep, but that was what I liked so much. It felt like you were watching the real deal. Sometimes nervous, sometimes imperfect, a little awkward, not always saying the right things in the ""perfect tone"". But, the chemistry and the emotion all seemed so believable and real. Both actresses conveyed their emotions wonderfully. I was completely mesmerized by how well they were together. Yes, the sex scenes were explicit, but they were not just thrown in there to sell the movie. The scenes were realistic, emotional, and necessary to show the incredible connection they were building. No spoilers...the only complaint I have is the same as others...the ending could have been explored a little more. I would watch a sequel to find out more!",/review/rw5125194/?ref_=tt_urv
4 August 2017,valinvancouver,9," Better on the second viewing
","I first saw and reviewed this movie in 2017, then this past week the title popped up while I was surfing the internet. I remember it had made an impression on me, so being curious as to how it would stand up I've just watched it a second time.",/review/rw5125194/?ref_=tt_urv
28 August 2017,Platypuschow,4," Below Her Mouth: Still don't know why it's called that
",This piece of LGBT cinema was flawed from the outset for a number of reasons and that is a damn shame.,/review/rw5125194/?ref_=tt_urv
11 July 2021,SameirAli,5," Sexy and Erotic.
","Erotic, sexy and and a lot of nudity. Almost all female cast and crew did a good job, but, the film not something to remember. I have seen people comparing with Blue is the Warmest Color, but, they somehow forgot Bound (1996). But, couldn't reach up to the standards of these films.",/review/rw5125194/?ref_=tt_urv
4 April 2017,emolosesgirl,3," Plot less soft-core tawdry attempt at Canadian Blue is the Warmest Colour
",Pretty obvious spoilers.,/review/rw5125194/?ref_=tt_urv
11 April 2020,neosoul1500,5," The film did its job
",The love scenes were great. Who watches these for the plot?,/review/rw5125194/?ref_=tt_urv
14 February 2019,lcrosby-95310,9," Beautiful
","I really enjoyed this film for the way it made me feel. I know this storyline could easily be cliche (as others have said) but I didn't find it so. I liked the way that Dallas pursued Jasmine and jasmine was initially cold. I believed her reactions to the strong advances. I found them realistic. The sex scenes I also thought seemed realistic. It did feel very intimate and genuine...even the way they looked at each other. There was some clumsiness to some of the scenes but that made them seem spontaneous and real to me. Like when Jasmine playfully punched Dallas, it was slightly cringey for me, as was the moment when jasmine ""predictably' asked for Dallas' coming out story. I wanted to know it even though it's likely considered cliche these days. I did feel some mild discomfort over the infidelity issue but they were both beautiful, clever people and the gorgeous hubby would defo have no problem finding a new partner! I liked the way jasmine commented on 'loving her house' it WAS a cool house and like most couples, there's an excitement of finally getting your own place that you'd be fearful of losing so I could understand that. I was also Glad I was able to watch this alone!",/review/rw5125194/?ref_=tt_urv
7 February 2019,shevaunhodge,10," Good sex scenes
","Ok so reading the reviews I started to question myself, but I Actually really liked this film. Yes,as stated below the main character Dallas is probably ""Shane"" from the L word and to be honest I didn't get why she would be able to get all these straight hot women like jasmine to sleep with her. I did find it weird that she wore a strap on a lot. I have never met Lesbian that does this. The script isn't the best, but I thought the sex scenes were really hot and the story line did intrigue me, but I'm easily pleased some would say . Maybe I don't know enough about films to write a ""proper review""but I liked it.",/review/rw5125194/?ref_=tt_urv
9 August 2018,GomezAddams666,1," A complete disaster
",This is probably one of the most unrealistic romantic films I have ever seen and hat says a lot.,/review/rw5125194/?ref_=tt_urv
13 August 2017,Moviegoer19,6," Raised Questions
","As a straight woman I've wondered what the appeal is in a woman who acts like a man? The answer would seem to be that hopefully the more positive qualities that women often have, e.g., sensitivity, awareness of another's feelings, willingness to talk and discuss, would still be there despite the more masculine appearance and personality. In this film, I questioned what was it that attracted Jasmine to Dallas and the answer kept being that Dallas treated her like a princess. Jasmine appeared to ""love"" Dallas because of Dallas's seeming worship of her. That, and perhaps the greater knowledge of how to treat a woman sexually that lesbians tend to have. So ultimately this was a film about two self-centered characters getting off on each other's ability to feed their respective egos. ",/review/rw5125194/?ref_=tt_urv
