Review_Date,Author,Rating,Review_Title,Review,Review_Url
7 November 2010,claudio_carvalho,7," A Tense and Realistic Combination of ""Open Water"" and ""Jaws""
","Luke (Damian Walshe-Howling) welcomes his friend Matt (Gyton Grantley) and his girlfriend Suzie ( Adrienne Pickering) that come from London and Matt's sister and Luke's former girlfriend Kate (Zoe Naylor) that comes from Sydney to sail with him and the sailor Warren (Kieran Darcy-Smith) in a sailboat. However, the vessel hits an underwater rock and capsizes with an opening on her bottom. Luke advises that they should swim in the north direction to reach the Turtle Island, in Queensland, Australia, while they have strength since there is a current moving the stranded boat in the opposite direction of land but Warren prefers to stay on the hull waiting for help since there are sharks in the water. The quartet swims, but they are hunted by a great white shark. ",/review/rw2994474/?ref_=tt_urv
6 April 2019,lita-ann88,6," FINALLY! SHARKS BEHAVING LIKE REAL SHARKS!
",It is so refreshing to watch a shark film in which the sharks ACTUALLY behave like sharks.,/review/rw2994474/?ref_=tt_urv
1 January 2011,vamplad79,8," Better than Open Water....
",Has similar premise as Open Water but is done a lot better. The characters are a lot better (no endless bickering for 3/4 of the movie) and the shark is both a real threat and clearly seen throughout the movie. This was the movie i was hoping Open Water would be.,/review/rw2994474/?ref_=tt_urv
19 November 2010,mokumgrrl,7," Solid acting and tense
","Alright, so this is never going to win any Oscars, yet it was very entertaining.",/review/rw2994474/?ref_=tt_urv
21 November 2010,paul_haakonsen,6," The waters will run red...
","Following in the wake of the popular ""Jaws"" movies, there have been a recent wave of these shark survival/lost at sea movies around. And ""The Reef"" is actually one of the better movies in the genre.",/review/rw2994474/?ref_=tt_urv
25 August 2010,capoazzurro,8," ""Jaws"" in ""Open Water""
","When I saw, I could be the first one to write a review for this movie, I thought to myself, that's a chance not to let go! And here I go... If you're familiar with horror flicks in general and animal terror-flicks in detail you'll find yourself reminded of the notorious ""Jaws"" (well, of course since it's the godfather of Shark-films), ""Open Water"" and, if you know who the director is, also of his latest film ""Black Water"". To be honest, ""The Reef"" hasn't many similarities to ""Jaws"". It has though many similarities to ""Open Water"", and if you liked that last named, you'll definitely like ""The Reef"". The style of direction here uses perspectives from the point of view of the protagonists and therefor also a lot of shaky-cam. Although this is no revolution in directing anymore, it surely succeeds in adding realism to this movie and giving the audience the feeling of being one of the group. The characters are all very authentic, without the typical stereotypes in the Hollywood-made animal horror-flicks, so it gets very easy to feel sympathy for and identify with the characters (like in ""Black Water""). Because the director probably didn't have the biggest budget to spent for his movie he made clever choices in what to show and what to leave to the imagination of the viewer. It's always better to show effects only if they're worth to show, and so does Traucki in this movie. For example Traucki doesn't show how the yacht capsizes or delivers an exact explanation why it overturns, but not in the way that he's cheating the audience by keeping back important information. He just puts you in the situation of the individuals and doesn't give you the chance of seeing from a bird's perspective what has happened to the yacht. But what he shows to us is very well made. The shark looks, moves and behaves like a shark, like the animal that is the most dangerous predator in the seas, and not like an exaggerated monster from outer space. Unfortunately it's pretty easy to estimate what's happening next in the movie, but that's due to the simple setting in the sea, with water and almost nothing but water. What the film manages very well is getting never boring and holding the audience's attention during the whole duration of the movie. You can say that the movie shouldn't have lasted longer though, the duration is perfect. And now... go and see the movie yourself...or just take a swim!",/review/rw2994474/?ref_=tt_urv
21 October 2020,Sergiodave,8," Good Movie
","Watched this on Netflix. Really good low budget Shark movie that sits above all other shark flicks except Jaws (1975). The direction and pace of this film is superb with lots of suspense and the acting from all the cast is great, I actually cared for the characters, not something I often feel! Big thumbs up.",/review/rw2994474/?ref_=tt_urv
19 July 2019,Calicodreamin,4," These people are complete idiots
","I can't in good conscience give this movie a good rating based solely on the complete idiocy of the characters. Their sole purpose is to swim 10 miles to an island after their boat sinks, so tell me why they spend the majority of the time treading water?! Keep moving! Then as soon as they see the shark they huddle up and thrash about, which about only thing literally everyone knows about sharks is that they're attracted to movements! Then at the climactic moment of the movie, Katie cant get her act together to get Luke on the island, with minutes to work with. Then proceeds to scream wildly into the air - you could have saved him! I cannot with these idiots, ruined the movie.",/review/rw2994474/?ref_=tt_urv
29 September 2019,caelum-natura,8," Heavy movie
","Reef is good shark movie. It feels real, raw... It is scary but also sad movie knowing it is based on real events. Group of people wanted to have fun, but mother nature sent a hunter.",/review/rw2994474/?ref_=tt_urv
25 January 2011,Jaymb72,9," It scared me something rotten
","Yes, The Reef is similar to Open Water but ramps up the scare factor by giving us the mother of all sharks, the Great White. The way in which the movie puts you amongst the actors is really well done. You feel like you are there with them. When the camera dips under the surface of the water with the bobbing motion of the waves you get little glimpses of what lies beneath. The tension is unbearable at times and I felt sick with fear. It's the anticipation of the oncoming attack that had me wriggling in my seat. Believe me, when the first attack comes you will bang your head off the ceiling in fright.",/review/rw2994474/?ref_=tt_urv
