Review_Date,Author,Rating,Review_Title,Review,Review_Url
2 August 2016,KissEnglishPasto,8," Take a WALK to a Different ""Country""!
","From PASTO, COLOMBIA-Via: L. A. CA; CALI, COLOMBIA+ORLANDO, FL",/review/rw2497200/?ref_=tt_urv
22 November 2005,Snoopymichele,10," And The Oscar Goes To......
","Wow, what a film. I had been waiting to see this movie since I read that Joaquin Phoenix and Reese Witherspoon were cast in the lead roles. I was not sure what to expect when I heard they were going to do their own singing, but was I ever impressed. Their performances in this movie were brilliant, and I had chills down my spine. It was truly amazing how much Phoenix sounded like Johnny Cash-this was a role he was born to play, and he was mesmerizing. Totally sizzling. Witherspoon was positively radiant as June Carter, and talk about chemistry between the two actors. Talk about lightning striking! I only hope they are rewarded for their efforts come Oscar time. This was a truly amazing movie, filled with great music, a top-notch supporting cast and a terrific script which was wonderfully directed.",/review/rw2497200/?ref_=tt_urv
19 November 2005,hollingsworth76,8," worthy of its subject matter, truthful
","Whenever I see so much ""Oscar worthy"" tags/blurbs in an ad campaign I get nervous, see Cinderella Man. Usually you look closely at the fine print and see that the esteemed critic lauding the film is Joe Schmoe from the One Stop Light Bugle Press in Buttcreek, Illinois or a low level flunky who just happens to work for the media conglomerate that is distributing the film. So my heart sank a little when a film I have been eagerly awaiting was swaddled with such praise when the ads hit the air.",/review/rw2497200/?ref_=tt_urv
18 November 2005,radioriot,9," Great film
","Considering the formula junk coming out of Hollywood these days, I was blown away by how good this movie was. The direction was perfect. Using close ups to get us in under the skin of Johnny Cash. And since it was a period piece, he could have bored us with lots of cgi of Memphis and L.A. to take us back in time. Instead he used the actors and the music to take us there. Biopics naturally have a formula to them, but the director and screenwriter did not take us down the track of overly sentimental scenes. These were real and done with a bit of well placed humor. Just like real life. Afterall you still have to follow the real lives of Johnny and June. You can't make it up, just to be original! The movie was also a movie you can take most of the family to. No nudity and sex to SHOW how in love they are, just real dialog...it's nice to hear REAL dialog and not just another chase scene, or four letter word. Yes, some movies need that to tell the story, this one doesn't. This movie goes onto my short list of great biopics, with ""Ray"". Not much else comes close to Ray or Walk the Line. The true test of any biopics is: can you still understand the plot even if you never heard of the people the movie is about. This movie is a great love story even if you never heard of Johnny and June Cash. Oscars all around I say! Plus I loved the Rockabilly music through out the movie.",/review/rw2497200/?ref_=tt_urv
4 September 2005,hemphill-1,10," the best film of 2005
","I've long thought that James Mangold was one of the most underrated American directors; while other acclaimed auteurs like Wes Anderson and David Gordon Green have made names for themselves by essentially repeating themselves with each film, Mangold has attracted considerably less attention for actually having the gall to show some range. Like the great directors of the Hollywood studio system, Mangold shows visual and narrative skill across a wide array of genres: character-driven crime (COPLAND); horror (IDENTITY); issue-oriented drama (GIRL INTERRUPTED), etc. What each of these films shares in common is a stunningly elegant and expressive visual style, an attention to character reminiscent of Renoir, and an economy of storytelling that would make Howard Hawks envious.",/review/rw2497200/?ref_=tt_urv
19 September 2005,samseescinema,8," Walk the Line is everything Ray was not
",Walk the Line ,/review/rw2497200/?ref_=tt_urv
19 November 2005,robinanng,10," Just saw W.T.L.
","I absolutely loved it. More my dad's music than mine (I was born in 1960-am a rock-n-roller), but tapped my feet the whole way thru. It is funny, I grew up with certain songs of Johnny Cash, and heard about the legend of the ""man in black"" for as long as I remember, but this movie adds a whole new dimension to the man, his music. I think it's great maybe a whole new generation might come to enjoy his contributions too.",/review/rw2497200/?ref_=tt_urv
10 November 2005,lgran81,9," Joaquin Phoenix is brutally hot as Johnny Cash!!
","Forget North Country, Walk the Line directed by James Mangold (Girl Interrupted) and written by Mangold and Gill Dennis is the better 2005 Oscar contender.",/review/rw2497200/?ref_=tt_urv
12 October 2006,PizzicatoFishCrouch,8," Toe-tappingly good fun.
","Before watching this film, I had my doubts. Johnny Cash is one of my favourite country singers, nay, singers of all time, and I was unsure as whether, as with other mediocre biopics, namely the flashy Ray, could do him enough justice. As it turned out, Johnny gets the film he deserves, and, what's more, Walk the Line got me extremely interested in the work of his wife, June Carter Cash.",/review/rw2497200/?ref_=tt_urv
2 November 2020,Xstal,6," Great Performances, Tedious Story...
","Some truly great acting, especially from Joaquin Phoenix but it's a tedious and repetitive account of a pill popping alcoholic with serious psychological issues. If you're a fan of the man and his music it may mean a bit more but I just got fed up of watching the same sub-plot continually repeating carousel - hard work, difficult to like and challenging, just like the protagonist.",/review/rw2497200/?ref_=tt_urv
18 November 2005,lreilert,10," Excellent
","Walk the Line is a great movie. When you watch it, you feel as though you are watching Johny Cash in person. Juaqin Pheonix is amazing as Cash, a man with so many regrets and self doubts. Reese Witherspoon gives an Oscar performance as the love of his life June Carter. The film is long, but worth every minute. But what is great is that T Bone Burnett chose the right songs to play. When I saw it today people in the theater were singing along with the movie. And what is great, is that Pheonix and Witherspoon sand the songs themselves. This movie should win several Oscars this year. Go see it. It is an amazing film, and it perfectly protrays an amazing man.",/review/rw2497200/?ref_=tt_urv
9 June 2011,TheLittleSongbird,10," Superb
","I do like biopics a lot, I find them interesting, and not only was Walk the Line interesting, it was also truthful and compelling. The cinematography and editing are top notch, and the costumes/clothes and location work are nigh on perfect with a real sense of elegance about them. The songs and music are absolutely wonderful, the script is of exceptional quality, the story is well paced and easy to get into and the direction is excellent. And to top it all, the characters are portrayed in a truthful and sincere manner, while Joaquin Pheonix and Reese Witherspoon for my mind give career-best performances. In conclusion, a superb film and out of the movies of 2005 only Brokeback Mountain beats it. 10/10 Bethany Cox",/review/rw2497200/?ref_=tt_urv
27 November 2005,tedg,," Performances
","At one level, this is the same old thing: success, booze, redemption, comeback. Nothing new at all here and the history changed to fit the formula. ",/review/rw2497200/?ref_=tt_urv
