Review_Date,Author,Rating,Review_Title,Review,Review_Url
20 July 2012,macadam122,10," Superb production.
","When I was at school, Shakespeare was as dry as the pages it was written on. To watch it, performed by actors who really know and understand Shakespeare, and can convey that in their work, is to enter a world of majesty, of subtle innuendo, of humour and of total understanding of the work of the Shakespeare who used his gift to allow 'the common man' to discuss and understand the goings-on and political machinations of his age. There are no 'spoilers' when it comes to Shakespeare - the work is out there in a myriad of forms and interpretations, waiting to be read. This production is one of the best available. Watch it, then read the plays. Savour the words. Go back and watch the scene performed. Truly appreciate the nuance and the masterful language of the master at work. I cannot recommend this production highly enough. From the haughty, almost effete King Richard (Ben Wishaw) through Jeremy Iron's haunted Henry IV to the masterpiece of development that is Tom Hiddleston's Prince Hal, this production brings the humanity and the grandeur of the role of King and all that conveys. Get it. Watch it. Love it.",/review/rw2879292/?ref_=tt_urv
9 October 2012,kaaber-2,10," A Conquest for a prince to boast of
","""The Hollow Crown"" is BBC's magnificent filming of the Shakespeare's second Henriad (Richard II with Henry IV's rise to power, Henry IV, parts I and II, and Henry V). I believe the first three of these have only been filmed in the old 1970s BBC series of Shakespeare's complete works, and although the old series was at its best with its version of Henry IV, ""The Hollow Crown"" is far above it. Simon Russell Beale is the ideal choice for Falstaff, even with Orson Welles hard on his heels in the Falstaff compilation ""Chimes at Midnight"", Tom Hiddleston is a great Prince Hal, and Jeremy Irons, never known to err, shines as the guilt-ridden King Henry IV.",/review/rw2879292/?ref_=tt_urv
14 August 2014,fdbjr,6," Missing the Point of Henry IV (I)
","There's no question of the production values here, and Hiddleston is excellent. But my lord! What a dour, dismal concept! This play is one of the most playful Shakespeare ever wrote. The playfulness lies not only in the relationship between Prince Hal and Falstaff, but also Hotspur and his wife, and even some of his political speeches. (His fury in the initial confrontation with Henry IV is so exaggerated that it can be played comically).",/review/rw2879292/?ref_=tt_urv
6 September 2019,TheLittleSongbird,8," Far from hollow
","'The Hollow Crown' consisted of seven adaptations and two seasons. Season 1 (the Henriad tetralogy) featuring 'Richard II', both parts of 'Henry IV' and 'Henry V', and Season 2 (War of the Roses) 'Henry VI' parts 1 and 2 and 'Richard III'. Both seasons are well worth seeing, the former actually being a must-watch, and the series is fascinating for seeing filmed productions of Shakespeare's historical plays and on the most part very high quality ones too.",/review/rw2879292/?ref_=tt_urv
30 March 2016,slydon13,10," Can Shakespeare get any better?
","If my father was alive I think he would be giddy to see this because he enjoyed Shakespeare and WW2 movies almost equally. Few household include Shakespeare plays as everyday topics, Marc Anthony's speech when drying dishes and we were fortunate. When Shakespeare questions are asked on 'University Challenge' I find myself screaming at the confused teenagers who were not so lucky.",/review/rw2879292/?ref_=tt_urv
15 October 2020,rzemph,9," The flower of British acting
","Arguably one of the very best screen adaptations of Shakespeare ever produced. They have pulled off what many have tried and failed to do: make good cinema out of the plays. The necessary realism is there, without detracting in any way from the source material. And the acting is for the most part really superb. Hats off especially for Jeremy Irons, David Dawson, Tom Hiddleston and Ben Whishaw. The latter's Richard II far surpasses any portrayal I have seen, both onstage and onscreen.",/review/rw2879292/?ref_=tt_urv
25 July 2012,miranda-johnson-413-826748,10," Utterly sublime Shakespeare
",What makes this selection of History plays so sublime? The glorious Ben Wishaw as Richard II. The equally glorious Tom Hiddlestone as Henry V. The - again - equally glorious Jeremy Irons as Henry IV. The fantastic supporting cast - especially Simon Russell Beale and Julie Walters and Rory Kinnear....,/review/rw2879292/?ref_=tt_urv
21 July 2012,Bottlebrush,10," Absolutely wonderful
","Unfortunately, I didn't manage to watch all three parts of this trilogy, mainly because one was postponed due to a Wimbledon match being played in its stead! Anyway, this is a marvellous production, brilliantly acted, particularly by Tom Hiddleston as King Henry. There's tragedy and humour, both wonderfully portrayed by a string of brilliant actors who know what they are doing.",/review/rw2879292/?ref_=tt_urv
11 August 2017,Jack Doyle,6," First series is great the second series is weaker
",Over all the BBC shows that it can outmatch the production value of Game of Thrones on a much smaller budget particularly its impressive battles. GoT has learned from this in recent years and no longer does a battle need to take up a whole episode.,/review/rw2879292/?ref_=tt_urv
2 August 2012,malcolm-439-217584,9," clarity is the watchword
","What distinguishes these hollow crown productions from their predecessors is the crystal clarity of the text as delivered by the cast – well done everyone! It is so easy to fall into the trap of believing that the text is to be delivered as verse. Twaddle! Ideas like that permeate school English classrooms where failed actors teach gullible pupils that iambic pentameters rule. No, they do not! Furthermore, good presentation of Shakespeare is so often ruined by over enthusiasm on the part of the performers. Without wishing to name names, I saw one version of ""Much Ado About Nothing"" where the comedy in the text was entirely lost because the director and his cast insisted on inventing and adding their own comedy instead. It is a brave man who would want to out-do Shakespeare! The ability of these Hollow Crown productions to tell the story which leads ultimately to the ""Wars of the Roses"" was admirable. There was so much to say – even before the ""Wars"" had begun. I should probably watch them all over again.! And I think I will!",/review/rw2879292/?ref_=tt_urv
12 November 2013,stevequaltrough,8," Good translation to screen
","I saw the Michael Bogdanov directed versions of these plays at the Old Vic some time ago and loved them! But they didn't translate that experience onto the videos sold. This was a fine effort to film the unfilmable with Richard ii and Henry IV Part one coming out of the mix very well. The latter's opening pub scenes are incomprehensible to me and the Bogdanov version solved this by having Pistol burst in wearing a Buffalo Bill costume and firing off his pistols. By the time the audience had recovered from this, the rather difficult scene was over. Get past the opening hurdle and this play becomes one of Shakespeare's wittiest and wisest. This was an excellent production.I was less enamoured of Part two but mainly because it has weaker material in it (the army recruitment scene was tedious.) However this was forgotten when in the second half of the play, Jeremy Irons gave a towering performance as Bolingbroke. Tom Hiddleston was great as Hal/Henry V and you could chart his progress from tearaway youth to hero soldier with fascinated admiration. Surely he is wasted in Marvel films, good as he is in them. Having seen Jeremy's performance as Richard ii in Stratford ,it was brilliant to see him play the man who caused the downfall of that king (Richard II). And all from the comfort of my armchair! Great casting of Ben Wishaw and Rory Kinnear as modern incarnations of Richard/ Bolingbroke in this feud. The BBC have acquitted themselves well.I only wish there was a series 2 featuring the Henry 6th trilogy and Richard iii that completes this cycle of plays .Steve Qualtrough",/review/rw2879292/?ref_=tt_urv
22 November 2012,YohjiArmstrong,," Tremendously disappointing
","Hugely acclaimed on their release, I have only just got around to watching this tetralogy of films based on the plays by William Shakespeare - and they're rubbish. The biggest problem is the casting: Ben Whishaw plays Richard II as a laughably fey figure, whilst Tom Hiddleston as (the future) Henry V is too introverted and skinny to convince as either a daredevil wastrel (Henry IV Parts 1 & 2) or a mighty warrior king (Henry V). These central failures destroy much of the fine work done by the other actors (Patrick Stewart, Simon Russell-Beale etcetera). This is compounded by the lousy direction, which is flat and lifeless. The locations are wasted and used largely as mere backgrounds (barring the near-blasphemous linking of the dead Richard II and Jesus Christ through a slow shot of a life-size wooden crucifix). Whilst I don't mind the prose delivery of Shakespeare's verse, the way in which it is done is terrible; the actors are left to speechify to an unmoving camera, without any of the movement or visual flow necessary to successfully adapt from the stage to screen. The choice of setting is also odd, with the production trying for a pseudo-historical look but getting the costumes all wrong (rubber fantasy armour, Darth Vader helmets, and turbans!) and persisting with the official policy of colour-blind casting (which is sure to mislead some people) despite its ludicrous incongruity in this context. Much of the budget appears to have been wasted on sub-""Saving Private Ryan"" battles, leaving Tom Hiddleston to give (his rather weedy version of) the Crispin's Day Speech to about five people, all of whom are aristocrats (thereby undermining the whole point of the speech). Symptomatic of the whole farrago is that Larry Olivier's 70-year old version of ""Henry V"" is better acted, more historically accurate, more inventively staged and better directed - so you're better off watching that instead!",/review/rw2879292/?ref_=tt_urv
28 November 2013,adam-scrivner,8," Reminded me why this is taught at school
","At school we were force fed Macbeth (*yawn*). I loathed it. At the time I thought that Shakespeare (*yawn*) was a load of boring old rubbish, not a patch on the Terry Pratchett books that I enjoyed reading at home. It genuinely puzzled me that my teacher (I am thinking of you, Mrs Canning!) seemed to get so much out of studying the text with us.",/review/rw2879292/?ref_=tt_urv
22 July 2012,sarastro7,6," A visual spectacle, but no poetic grandeur
","As I watched these Hollow Crown episodes, there was something about the delivery of the dialogue that seemed off to me. It was strangely flat and naturalistic, spoken like ordinary dialogue in historical fiction. Then it hit me: the verse is spoken in prose. This is a huge problem. We have amazing production values; sumptuous settings; virtuoso directing; good actors and visual splendor enough to knock anyone's socks off - and we also have Shakespeare's story and words. Tragically, however, without the verse delivery of the lines, we have none of the grandeur of the language; no poetry in the performance. The artfulness of Shakespeare's work has been excised.",/review/rw2879292/?ref_=tt_urv
15 January 2018,Emberweave,1," What a waste of talented actors. What a waste of viewers' time.
","With such a stellar group of British actors, it's amazing how they have managed to ruin Shakespeare. I've seen so many excellent productions, both on stage and on film, but this series stunned me with its awfulness. I watched Richard II, which was boring and grey. The heavy-handed Christ metaphor is not supported by the text and is so obviously shoe-horned in by the director that one wonders why he didn't choose a different story altogether that might have matched his narrow-focus interpretation. Richard is played as such an ethereal, dreamy idiot I'm surprised there wasn't sitar underscoring, along with lava lamps in the castle. It doesn't work with the text. Neither did the St. Sebastian silliness. I certainly enjoy seeing cute gay men, but was this a Shakespeare play or a Herb Ritts photo-shoot documentary? I hung in there for Henry IV parts one and two and they were also dreadful. Where was Henry IV? A better title would have been ""The Overly-Extended Drunken Antics of Falstaff"". By Part Two I was fast-forwarding through huge swathes of Falstaff nonsense hoping for some sense of interesting story. Instead, people rant and rail with no genuine purpose. I felt nothing for the characters at all and great contempt for the directors. I assume the final shots of Falstaff are supposed to be poignant, but I could not have cared less what happened to that character. This series was such a huge disappointment. I couldn't be bothered to watch the rest of the series. Really, don't waste your time.",/review/rw2879292/?ref_=tt_urv
22 September 2013,shoolaroon,5," Mediocre at Best - Watch Orson Welle's Falstaff - Chimes at Midnight instead
","Maybe it is unfair of me to write a review as I've only seen the first entry, Richard II, but from the previews it seems to set the standard. While I appreciate the effort to mount such a Shakespearean production, and there are fine actors here such as Jeremy Irons, and Patrick Stewart, etc., the overall effect is very flat and disappointing. In the attempt to seem ""natural"" the creators have forgotten that this is...THEATER in solid caps, and was never meant to seem ""natural"". Perhaps I am not critiquing the actors as much as the production - the only productions of these plays I have seen that really work as theatrical and philosophical pieces are Orson Welle's Falstaff and Olivier's Richard III. The styles are very different but they both, artistically, transport one to a completely different era, in all ways. Welles especially knew how to handle Shakespeare in a way that he, Welles, is in charge of the plays - not they in charge of him. By all means, watch this BBC production, but if you want to see how it really should be done - see the two films I recommend. The BBC versions will seem like stale beer besides them.",/review/rw2879292/?ref_=tt_urv
3 July 2016,lemon_magic,8," Quite liked it!
","I'm not that deeply into Shakespeare, but I will watch the Bard's historical plays and tragedies once in a while if I'm in the mood. (The comedies don't do much for me). I'm the kind of fan who goes to ""Shakespeare In The Park"" events. ",/review/rw2879292/?ref_=tt_urv
16 January 2017,ChristyLeskovar,10," Season 2 is Phenomenal!!!!!
","All you need to know is that Benedict Cumberbatch plays Richard III. I saw that, and I knew I wanted to watch it. He is superb, I dare say even the Bard himself could not come up with words to say how incredibly he captured this role. Season 2 is about the War of the Roses, using Shakespeare's Henry VI Parts 1 and 2 and Richard III for dialogue. It is different from other film versions of Shakespeare's plays that I've seen which are movie versions of the plays. This is essentially a series of three movies using Shakespeare's dialogue, so when action can replace dialogue, that is what happens. I don't think I've ever heard Shakespeare delivered so realistically and effectively. Though Benedict Cumberbatch plays the meatiest role, everyone in it is outstanding. After each episode, I looked up the real people to find out how much was real and how much fictional. Another powerful role is Henry's wife, Margaret, played by Sophie Okonedo. One of the most dramatic parts, I figured was fictional, was factual. In some parts, I wondered, did Shakespeare actually write it that way? I looked it up. Yes, he did. The dream sequence at the end is really something. It's still in my head. The battle scenes and murders are very gory, at least they sounded gory, I hid my eyes at those parts. I was disappointed that it ended, the story not the gore. I wanted it to go on. Then I found out there is a Season 1! I can't wait to watch it.",/review/rw2879292/?ref_=tt_urv
1 April 2013,cdsaldivar,10," review for the Hollow Crown
","May contain spoilers. This undertaking of Shakespeare's the Henriad is so well done and so well acted. I have studied these plays and seen many productions in film and on stage and the Hollow Crown among the best that I have seen. Richard is played so well and has a wonderful fragility to his characterization and that is key portraying Richard. Jeremy Irons portrayal of Henry IV is a visceral depiction of a man being destroyed by the kingship that he so craved. Tom Hiddleston's Prince Hal/ Henry V is one of the best if not the best that I have ever seen. I have seen Laurence Oliver, Alan Howard, Kenneth Branagh and Iain Glen and Michael Sheen portray Henry and Hiddleston bring such humanity to the role. He is not a rousing cipher as Henry is often played but a real man trying to find his way through the cut and thrust of the story being told while trying to shield his humanity and not be destroyed by the crown as his father was. He sheds new light on Hal and Henry with his interpretation of the role. Simon Russell Beale's Falstaff is a joy to behold. For once he is not just a lovable rogue there is both human fragility and human venality is his characterization. He is flawed and that is plain to see but at his core there is genuine love for Hal even as he also tries to steals Hal's victory over Hotspur and misrepresent that he himself killed Hotspur though it is patently untrue. And yet you feel for this Falstaff flawed though he is. These are just a few thoughts on the highlights of the Hollow Crown and I cannot recommend this series of productions more highly.",/review/rw2879292/?ref_=tt_urv
19 January 2017,rebecca_l_johnson,8," Historical Accuracy in Costuming
",I have enjoyed watching the first series and I am about to begin the second set with Henry VI and Edward III.,/review/rw2879292/?ref_=tt_urv
3 September 2019,pegasus-67050,3," Boring.
",Foulstuff cracks me up as does prince Hal. Most of the cast are ugly and 90% of this show is so BORING! I skipped most of the scenes just to get to the Tom & Benedict bits.,/review/rw2879292/?ref_=tt_urv
27 April 2017,jcorelis-24336,9," As good as it gets
",Shakespeare's rather rarely performed history plays about late medieval English history.,/review/rw2879292/?ref_=tt_urv
16 January 2023,angelorwez,3," not a good adaptation to television
",I was really excited to see this...and how disappointed i was...,/review/rw2879292/?ref_=tt_urv
9 December 2016,idmueller,1," garbage
","If you base a movie/TV series on a play don't make this. Entertaining maybe, not even close to Shakespeare unless you watch WB or have a deadline. You can't skip the important dialogue for sweeping sequences. It is a stage play which can end in 2 hours. Sorry to consumers, this ain't Shakespeare. If you are stealing work, steal it all. I am pretty sure it is out of copyright. more lines... if you never read a book in your life you will recognize themes, they are from Shakespeare whether he actually wrote it or not. do I have enough lines yet not yet now?... quick list of better things: Richard III ian mckellan, romeo and Juliet leo, henry v brannagh, best ever titus bigelows with Hopkins... way more out there",/review/rw2879292/?ref_=tt_urv
