Review_Date,Author,Rating,Review_Title,Review,Review_Url
7 January 2019,Prismark10,6," Nature fights back
","After the hype created by Bird Box, it is worth revisiting The Happening which was critically mauled upon its release.",/review/rw1891576/?ref_=tt_urv
13 June 2008,ametaphysicalshark,," This is a joke, right?
","Allow me to provide some background information on my relationship with the films of M. Night Shyamalan: I adored ""The Sixth Sense"" and still think of it as one of the best films of 1999 and one of the best supernatural thrillers in ages. ""Unbreakable"" was a fascinating take on the superhero genre. I loved parts of ""Signs"" to bits and consider the sequence in the basement towards the end of the film one of the finest examples of suspenseful build-up in recent film history. I even liked ""The Village"" and could easily dismiss ""Lady in the Water"" as a mere misfire. I was greatly anticipating ""The Happening"", especially as it seemed to be echoing one of my favorite guilty pleasures- the paranoid 70's sci-fi thriller.",/review/rw1891576/?ref_=tt_urv
30 January 2009,hall895,4," It's not happening
","Who keeps giving M. Night Shyamalan money to make these movies? Seriously, what studio executive read this script and thought that making this movie would be a good idea? After the disaster that was Lady in the Water Shyamalan comes back with a movie which unbelievably, almost impossibly, may actually be worse. Lousy acting, laughably bad dialogue and a story which is just downright stupid combine to make one terrible movie.",/review/rw1891576/?ref_=tt_urv
7 November 2020,royhectorkabanlit,6," Good enough to watch
","It's not as bad as the Professional Critics say it is, but I can understand why they hated it. The Characterization of basically everyone in the Movie is pretty poor, although Zoey Deschanel, Mark Wahlberg and John Leguizamo does work hard with Material they have and sort of work to a certain degree.",/review/rw1891576/?ref_=tt_urv
3 April 2017,TMoneyDogVIP,9," Don't understand the hate
","I have watched this movie probably 15 times since it was released. I know I'm probably one of only few dozen people that enjoy this movie, but I don't understand all the hate that it receives. I truly thought that it had a good storyline (something different at least). I can agree with some people where the acting is kinda bad throughout the movie but I still found it enjoyable. If you haven't seen this movie before, I would recommend it. Its worth a shot, and I believe that the movie is actually pretty fast-paced. I'm one of those people that still hope someday they make ""The Happening 2"".",/review/rw1891576/?ref_=tt_urv
15 August 2016,TheMovieDoctorful,8," A Solid, Albeit Imperfect, Tribute To 50s Sci Fi B Movies
","""The Happening"" is arguably one of the most critically slammed blockbusters of the past 10 years. Beloved as ""so bad, it's good"" cinema at best and regarded as an abysmal failure at worst, it's regarded by many as the film that began M. Night Shyamalan's descent from beloved visionary to embarrassment of the industry. However, when one looks at the movie from the perspective Shyamalan intended (As a cheesy tribute to 50s Sci-Fi a la ""The Day The Earth Stood Still"") it's not half bad. Don't get me wrong, ""The Happening"" isn't a film like ""The Wolfman"" or ""Attack of the Clones"" where I genuinely can't understand why people think it's terrible; it has problems. BIG ones. But for what it was trying to do, the film succeeds more often than it fails. ",/review/rw1891576/?ref_=tt_urv
13 June 2008,cosmic_quest,6," Not brilliant but it is worth a look
","When I first saw the trailer for 'The Happening', I was quite excited at the prospect of another film by M. Night Shyamalan. After all, I enjoyed all his previous films, save 'Lady in the Lake', and was sure he would deliver another breath-taking blockbuster. Sadly, I was wrong and while the film was not a turkey, it was not of the excellence I had expected.",/review/rw1891576/?ref_=tt_urv
12 June 2008,shariqq,4," It might be cliché, but it has to be said: The Happening is not happening.
","Shyamalan has proved to us earlier that he can be as good as the best with masterpieces of cinema with The Sixth Sense and Unbreakable. Yet, since then, he has declined steadily. Signs and Village were good movies, but with Lady in the Water and now The Happening, he has touched a level of incompetence that could never have been expected of him.",/review/rw1891576/?ref_=tt_urv
11 February 2019,cashbacher,9," An implausible but perhaps not impossible scenario
","This apocalyptic tale holds your attention and is based on an extreme extrapolation of what happens in nature. As people that follow medicine are well aware, most of the drugs, both good and bad, have their natural origin in plants. Specifically psychoactive drugs such as marijuana, cocaine and opium. It is also known that plants produce and release a variety of chemicals in response to environmental dangers.
The premise of this movie is that the plants in the United States are being subjected to a stressful environment due to human actions, so they respond by releasing a psychoactive chemical. When humans encounter the chemical, they experience an overwhelming compulsion to immediately kill themselves. Some of the suicides are horrific in nature, such as allowing themselves to be eaten by zoo lions.
The ""attack"" takes place in the New England states of the United States and the movie follows the adventures of Elliot Moore, his wife and the daughter of one of Elliot's friends as they flee the terror that is stalking them. Moore is a high school science teacher and he quickly learns that the attacks are triggered be specific circumstances.
The movie is at times very gross and explicit as people find very gory ways to kill themselves. There are moments that tensed me up and I am generally immune to screen fear. Human nature being what it is, you see the best and worst of what humans will do when in the grip of fear. There is also denial and the inevitable claim of government malfeasance before the movie ends on a pessimistic note.",/review/rw1891576/?ref_=tt_urv
13 June 2008,DICK STEEL,8," A Nutshell Review: The Happening
","To me, this is not a movie about finding out what the issue at hand is, or trying to crack the mystery behind the phenomenon, or even about figuring out what the twist, if any, would be. It's a story about communication, how we, in today's context, are so reliant on mass media delivering every bit of incident deemed newsworthy, and providing that amped up ""insights"" to send us to paranoia. If you notice of late, we have been bombarded with crisis after crisis, or could it really be instead, the flavour of the moment that the mass media drums up? Avian Flu? Food Crisis? Fuel Crisis? Business Continuity? Terrorism? The list goes on, with news editors determining what to drum up, and where to send everyone crying out that the sky is falling. The Happening does just that, as we see newsflash after newsflash providing speculation after speculation that everyone listens, and accedes to.",/review/rw1891576/?ref_=tt_urv
