Review_Date,Author,Rating,Review_Title,Review,Review_Url
2 February 2005,Smells_Like_Cheese,," Despite some very unrealistic situations, this is a very good show
","""Boy Meets World"", I grew up with this show. I will always admit without a doubt that this show made me laugh and cry. It dealt with real issues like sex, first days of high school and college, drugs, not fitting in, etc. Most of the problems that go into a normal teenager's life. As the show grew more and more, Erik's character changed drastically. He went from just a smooth talking womanizer to a retarded heart warmer. Mr. Feeny, it seemed like he followed these 3 students everywhere they went. Like in the last episode even Shawn says ""You haven't talked to another student in 7 years!"" Great line, because it was so true. But I would never turn down this show because it does have great laughs. Every season brings something special to it. I would recommend removing the flaws and you find a great show.",/review/rw2916816/?ref_=tt_urv
4 January 2005,The_Amazing_Spy_Rises,10," a very fun show
","Boy Meets World is a show that reminds me a lot of NBC's 'Friends,' except for teens and younger children. Ben Savage leads the show as the character Cory Matthews. BMW shows the hardships of life from a young kid, a teen, a young adult, and finally, an adult. The show does a great job of adding humor in a lot of aspects of the show. As Cory goes on, you can see that he is maturing with time. I grew up with Cory, and he shows how hard it can be. The show does a good job of developing Cory, giving him the girl of his dreams, a loyal friend, a caring family, and a teacher/principal who has always been at his side. The show has everything that makes a good sitcom, comedy, drama, romance, and the occasional deep trouble that every teen gets in. BMW ended 5 years ago, but it is still one of the most watched shows on TV on the Disney Channel and ABC Family.",/review/rw2916816/?ref_=tt_urv
26 August 2004,Ginger87,," TGIF At It's Best
","""Boy Meets World"" and ""Sabrina The Teenage Witch"" were the best TGIF shows. My friends and I used to get together every Friday night to watch these shows and they always gave us good laughs.",/review/rw2916816/?ref_=tt_urv
16 April 2001,Elysia,," Moving and inspirational tales of adolescence
","Sometimes the lessons we learn about life when we are growing up are forgotten when we become adults; this show helps to remind us of what we learned.  It is a bit campy, but that is half of the fun of the show.  The characters are people that we all knew at some point in our lives, but the bond that they share is not something that we can all say that we have.  If you are searching for 30 minutes of campy fun, and a chance to look back on your adolescence then this is the show for you.",/review/rw2916816/?ref_=tt_urv
15 April 2002,fourzan,," Hooked on Boy Meets World
","As a 43 year-old, English teacher, I must admit ""Boy Meets World"" has some of the most intricate scripts I have ever seen in teenage shows.  I sometimes ask my students to view the day's episode at home and come back ready to discuss theme, plot, character, etc.  Some students admit to liking the show after a few viewings.  Once they understand each character and the force that drives him/her, the show pretty much seems to flow and attract the students.",/review/rw2916816/?ref_=tt_urv
24 August 2004,wondercheese,," This show was for us all, and we loved it!
","This show was great! it was heartfelt and made us feel good about ourselves. This show took us back to our youth. When we were the boys meeting the world. When we were facing life and wondered how the world would put us in a situation that was ironically impossible. This show took the impossible situation and turned it into the fun we had if we had thought about the ""OH YEAH!"" factor before hand. This show was for us all. It made us feel good about ourselves and our remembrance of our youth. This show was for us all, and we loved it! This show is one that will live on after its cancellation. our children will watch it and our children will love it. Admit it, who didn't shed a tear when it was over?",/review/rw2916816/?ref_=tt_urv
25 August 2004,jag85dbsgrl,," A Comparison to Life
",I grew up watching Boy Meets World. It has always been my favorite show. They talked about everything from a child's perspective to a teenager's perspective to an adult's perspective. The relationships and problems,/review/rw2916816/?ref_=tt_urv
23 May 2014,jackbanister16,7," They didn't know when to call it quits.
","""Boy Meets World"" is a great show! Unfortunately they went the ""Saved by the Bell,"" route and detailed ""the college years."" The first couple seasons of ""BMW"" are lightning in a bottle. It's funny, charming, clever, AND you get your moral lesson of the day with each episode. The series was character driven and it was very entertaining! You had the relatable Cory Matthews, a class clown type who at the end of the day was a good kid. Sean Hunter, the ladies man kid with family problems, and Topanga Lawrence, who was just an oddball. Supporting cast included Cory's family, his brother Eric (a suave ladies man), and Mr. Feenie, a tough but fair teacher who also doubles as Cory's neighbor. The writing combined with these quirky characters really made for a funny show. The scenarios were hilarious and heartwarming without being overly ambitious. The show knew its shortcomings (some gaping plot holes and missing characters.) In my opinion, the show was good until the senior year of high school which is when the show shifted its paradigm from fun adventures and mishaps of high school kids to being a mushy show all about ""feelings."" Don't get me wrong, there were still plenty of mishaps and fun scenarios, but the show became way too dramatic.",/review/rw2916816/?ref_=tt_urv
19 February 2017,taylorhammons,10," The show that defined a generation
","Boy Meets World is unlike any children's show ever made, or any show for that matter. In an era where every show has to have an angle, Boy Meets World stands out as a story about flawed characters just trying to navigate life. It teaches us so many lessons and I will never forget it as long as I live. Shawn taught us that we can all overcome whatever life deals us, and that you can never judge a book by its cover. Topanga taught us that it's OK not to be perfect, but we can all try. Cory taught us that it's OK to ask questions, to not have all the answers. And Mr. Feeny, well, he taught us everything. He taught us that, above all, we should be good people. He taught us that there are lessons to be learned in all aspects of our lives. Boy Meets World was a great show because of the parents. Corys parents make just as many mistakes as he does, and they're not afraid to admit when they do. But that's not to say that their children don't respect them, don't come to them for advice, and don't always know what's best. Never has a show made me laugh and cry so much. Never has a show so effortlessly addressed the problems we all face. Never has a show been a better demonstration that you don't have to be blood to be family. Full of good values, lessons, and funny plots, Boy Meets World is the show that I keep coming back to. Because never has a show meant so much to me. Never has a show meant so much to us. We will never forget you, Boy Meets World. You made us all better people.",/review/rw2916816/?ref_=tt_urv
24 February 2005,avigayilklein,," The best show on Disney Channel!!!
","I don't know why, but for some reason, Disney is getting rid of their best shows and putting in new ones that are pointless to watch (ie: ""Brandy and Mr. Whiskers""). But ""Boy Meets World"" is one of the good ones, unfortunately being pushed off to a later and later time.",/review/rw2916816/?ref_=tt_urv
