Review_Date,Author,Rating,Review_Title,Review,Review_Url
23 January 2008,billion_mucks,9," A Breath of Fresh Air: Review from Sundance
","For those who might not know the name, director Martin McDonagh is an Irish playwright who won the Oscar last year for his short film ""Six Shooter"" about a chance encounter on a train, and that film's star Brendan Gleeson has returned as Ken, one of two hit men sent to the medieval city of Bruges in Belgium along with his partner Ray (Colin Farrell) to rest and lay low after a hit gone horribly wrong. Ray is a miserable bastard who makes it clear he's not happy about being in Bruges, but Ken convinces him that their boss Harry has a job for them there, as well as allowing them a chance for some sightseeing, none of which improves Ray's mood. Things look up when he meets the beautiful local woman Chloe, played by French actress Clémence Poésy--you may remember her as Fleur Delacore in Harry Potter and the Goblet of Fire--and scores himself a date, which also goes horribly wrong due to Ray shooting off his big mouth. From there things continue to go south as Ray and Ken get into all sorts of messes and meet strange characters, all of whom will play a part in the larger picture.",/review/rw1997213/?ref_=tt_urv
16 February 2008,WriterDave,9," ""They're Filming Midgets...""
","...in Bruges. Two Irish hit men (Brendan Gleeson and Colin Farrell) are sent into hiding by their British boss (Ralph Fiennes) in Bruges, Belgium after a botched job only to learn that the most damning job awaits one of them just around the corner. Bruges is a picturesque tourist trap built around the oldest and best maintained medieval city in Belgium. Director and screenwriter Martin McDonagh bleeds the setting and the material for all its worth and makes his feature film debut in superb style.",/review/rw1997213/?ref_=tt_urv
9 February 2008,ferguson-6,9," Plenty of Alcoves in Bruges
","Greetings again from the darkness. Award winning playwright Martin McDonagh brings his amazing writing talents to the big screen and scores with his first turn as a feature film director. The city of Bruges (yes, in Belgium) is the perfect setting for the multi-layered story. Its well preserved medieval architecture is like an character unto itself.",/review/rw1997213/?ref_=tt_urv
11 February 2018,TheLittleSongbird,8," Shooting and sight-seeing in Bruges
","What drove me to seeing 'In Bruges' in the first place was primarily great actors like Brendan Gleeson and Ralph Fiennes, and also for the concept and Bruges itself. ",/review/rw1997213/?ref_=tt_urv
23 February 2008,jaredmobarak,8," You got to stick with your principlesIn Bruges
","I think that I will shortly be purchasing the Oscar winning short film Six Shooter from 2004. I've got an iTunes gift card for just the job. The thought occurred to me after seeing the wonderful debut from director Martin McDonagh, In Bruges. After seeing the trailer, which really worked for me, many times and wondering at how it is from an Oscar winning director yet never hearing of the name, I did some research. While he already has more little gold men than Alfred Hitchcock, his actual feature premiere is what has opened this weekend. It is Irish, most definitely, and if you have trouble with the accent, maybe you should steer clear until in comes out on DVD, however, if you can cope, this is a smart pitch black comedy. When I say pitch black, I mean black hole expanse of darkness. The trailer leads you to believe it will be an uproarious time, and while it is very funny and very smart, there is a tragic event that is held over the proceedings, lending a somber shadow over all that occurs. In the end though, it is consistent with its wit and drama, telling an intriguing story and never relying on the laughs to hide any plot point that the creators may not have wanted to work out to completion.",/review/rw1997213/?ref_=tt_urv
10 February 2008,colinbarnard-1,8," Atonement and Existentialism In Bruges
","A European film through and through, showing its deep theatrical roots, ""In Bruges"" works on may levels, and is a fine night at the cinema.",/review/rw1997213/?ref_=tt_urv
17 January 2017,MrBlackAdder,10," Absolutely brilliant movie in every way!
","This movie is everything I love about movies. It's got great acting, great characters, great story, great dialogue. It's nothing short of amazing. ",/review/rw1997213/?ref_=tt_urv
8 February 2008,kasserine,8," Nice Blend Of Drama And Comedy
","One of the problems with seeing a trailer for a film is it creates an expectation. If it raises expectations, and the film delivers, great. However, if the film is less then expected, then the viewer feels cheated. The best case scenario is the one I found myself in before I saw In Bruges. Low expectations.",/review/rw1997213/?ref_=tt_urv
7 January 2010,Tweekums,10," Laughter and tears in Bruges
",The idea of a film about a couple of foul-mouthed Irish hit men laying low in Bruges after one of them has accidentally killed a child in a church doesn't sound like a barrel of laughs but there are plenty of laugh out loud moments in this black comedy.,/review/rw1997213/?ref_=tt_urv
31 December 2015,SnoopyStyle,8," funny black comedy
","London hit men Ray (Colin Farrell) and Ken (Brendan Gleeson) are sent to Bruges, Belgium to hid out by their boss Harry Waters (Ralph Fiennes). Ray had accidentally killed an innocent child. Ken takes in the sights but Ray would rather drink and go home. They encounter a film crew with a racist midget and Ray falls for Chloe Villette (Clémence Poésy). Ken is conflicted after Harry contacts him with the new orders.",/review/rw1997213/?ref_=tt_urv
