Review_Date,Author,Rating,Review_Title,Review,Review_Url
5 August 2016,Red_Identity,," Chilling and effective. A slow-motion nightmare.
","This is the kind of slow-burn horror film that really, truly gets under your skin. the type of horror film that America doesn't make (although the last two years that has been changing, with flicks like The Babadook, It Follows, and The Witch). This won't be for every horror fan, especially those that want more craziness or loud jump scares. Instead, what the film does is establish its characters very well and from then on it lurks and creeps you out until you become more and more terrified by what's happening on screen. It's exactly the type of film that really lingers on the mind and I really hope more people seek it out.",/review/rw3659778/?ref_=tt_urv
11 December 2016,cjs6547,7," The new and improved Rosemary's Baby
","A subtle horror film not without its moments of suspense and utter creepiness. We follow Elena (accountant turned housekeeper, for some reason) who gets close to her employers (a couple who live in an isolated house without modern amenities, for some reason). She wants to save money quickly to go back to her son and so agrees to be surrogate mother for their baby.",/review/rw3659778/?ref_=tt_urv
5 August 2016,gavin6942,5," Better Than Average... For What That's Worth
","Louise (Ellen Dorrit Petersen) and Kasper (Peter Christoffersen) want to become parents but Louise is unable to have children. She seals a pact with her Romanian maid, Elena (Cosmina Stratan), to bear Louise's child, but things don't turn out as they planned.",/review/rw3659778/?ref_=tt_urv
27 November 2016,Leofwine_draca,2," Slow burning Danish horror
","SHELLEY is a Danish 'evil baby' film so obtuse as to be a really frustrating viewing experience. It's a low budget and exceptionally long winded story, in which very little actually happens in the way of action or incident throughout the lengthy story. Instead this is a film all about mood and creepy notes on the soundtrack; it's all hints and shadows and very little of anything actually concrete.",/review/rw3659778/?ref_=tt_urv
9 August 2016,maryann_blair,7," Eerie, dark, and effective
","Granted this film is a slow burn but the cinematography, dark atmosphere, acting, and score was top notch. Should watch when you are more relaxed and patient cause when you get there you will found it was worth the wait. I am a huge horror fan and I am sick and tired of the basic 90 min horror films that throw all the things at you in the first frame but with this director you have to have patience to fully understand the movie. There was 3 scenes I had to rewind that I missed the first time of viewing this movie. I agree with the thought of Rosemary's Baby by the way of David Lynch and I think it deserves a view. This is a solid horror film.",/review/rw3659778/?ref_=tt_urv
7 August 2016,manuelasaez,3," DIsturbing, but incredibly slow paced.
","Like watching a Tarantula molt, this film is incredibly fascinating, disturbing and effective. But, man, is it slow! Everything happens at a snails pace, and regardless of how thought provoking the events are, it does not excuse the pace of this supposed ""horror"" film. I am all for a slow-burn, in fact, I prefer them to teenage jump scares and other sophomoric tactics. But this movie literally made me want to watch it at 2X the speed, just so that people would pick up the f-ing pace. You know how there are movies that would have been effective if the creative teams knew how to just get to the good parts and edit themselves accordingly? This is one of those films. Had they been more overt with the horror elements, and made things flow just a bit faster, this would have been a worthy addition to the ""baby horror"" sub-genre. As it stands, it plods along, thinking it is being suspenseful, but in reality, it's just not getting there fast enough. Not recommended, as I am unsure that even the most ardent ""slow-burn"" fan will appreciate the pace of this film. That being said, the acting is superb, and the cinematography is top-notch.",/review/rw3659778/?ref_=tt_urv
18 May 2017,kosmasp,5," Child-less
","So it's a Horror movie and someone gets another person to carry their child for them. There could never go anything wrong now could there? Apart from the obvious and what we would expect (suspense, questions and themes of terror or at least Horror), this has some awkward acting in it. And while it may enhance the viewing experience for some, it may also feel wrong for a lot of others.",/review/rw3659778/?ref_=tt_urv
18 December 2016,RussHog,7," Well made - not for everyone
",Look - I cannot imagine what it takes for a group of dedicated professionals to film a horror movie like Shelley. The countless time spent to get the shots right. The lights. Makeup. Actors. For all of the effort taken to make a movie look gorgeous and haunting - one might consider a script that takes less risks to alienate the audience with artistic decisions and instead uses a story with more clarity and a stronger reversal of expectation.,/review/rw3659778/?ref_=tt_urv
16 August 2016,begob,5," Unfathomable
","A barren wife engages a maid in her remote home, before propositioning the girl with money to become a surrogate mother. The plan works ... until the baby kicks in.",/review/rw3659778/?ref_=tt_urv
3 October 2016,payamcommunication,7," good suspense
",The plot of the movie is simple but it develops fairly astonishingly. The dark atmosphere starts to appear from the beginning of the movie and turns into a not releasing stress in the middle. The suspend builds up all the way close to the ending which is the strength of this movie.,/review/rw3659778/?ref_=tt_urv
