Review_Date,Author,Rating,Review_Title,Review,Review_Url
31 December 2016,claudio_carvalho,5," A Thriller with Great Potential and Cast, Wasted by a Poor Screenplay and Inadequate Direction
","The divorcée Rachel Watson (Emily Blunt) commutes every day to New York by train and watches the old house where she lived with her husband Tom Watson (Justin Theroux) through the window. Rachel is an alcoholic and sterile woman that frequently has blackouts and shares an apartment with her friend Cathy (Lura Prepon). Tom is married with Anna Boyd (Rebecca Ferguson) with the baby Evie. Their babysitter is Megan Hipwell that lives with her husband Scott (Luke Evans) in the same neighborhood in the suburb. Rachel admires Megan and Scott since she believes they are the perfect couple. However Megan is a promiscuous woman that has affairs with many men including her psychiatrist Dr. Kamal Abdic (Édgar Ramírez). When Rachel sees Megan kissing another man on the balcony of her house, she decides to have a conversation with Megan after drinking in a bar. However she has a blackout and awakens with bruises in her apartment. Soon she learns that Megan is missing and Detective Riley (Allison Janney) that is in charge of the investigation visits Rachel to interrogate her since the neighbors had seen an alcoholic woman wandering in the area. However Rachel does not recall what she did that night. Rachel decides to investigate the case and has dreadful discoveries about her life and Tom. Who might be the killer?",/review/rw3560337/?ref_=tt_urv
19 August 2019,sddavis63,6," It Overcomes A Slow and Confusing Start And Becomes A Solid Movie By The End
","To say the least, ""The Girl On The Train"" is a very dark movie. Unsettling. Confusing. Even baffling. There's an uneasy feel to this from the start. Something's off. Something's not right. Is this even reality, or is it a fantasy taking place inside the mind of a very disturbed woman? The disturbed woman in this case is Rachel (Emily Blunt.) She's an alcoholic and rides the same train every day, past the house where she used to live with her ex-husband. She sees their neighbours, and wonders about them and about their relationship. The female neighbour is the nanny to her ex-husband, his new wife and their baby. The movie mixes the story of all three (Rachel, Anna - the new wife, and Megan - the nanny) together. What drives it forward is that Megan has gone missing, and the question is what happened to her and who was responsible.",/review/rw3560337/?ref_=tt_urv
31 October 2016,TheLittleSongbird,3," Derails very quickly
","The book is a terrific and engrossing read, with a lot of tension and suspense, a clear timeline and while the characters are unpleasant you understand why they are.",/review/rw3560337/?ref_=tt_urv
16 May 2018,LaoagMikey,9," This is a real sleeper of a movie.
","I almost turned this movie off at 30 minutes. That's my cutoff time for bad ones. For some reason, I left it playing and kinda watched it. It was a very slow burn. The first 30 minutes were a snoozer. But then just after my cutoff time, the plot started moving forward. If you are going to watch this, plan on being bored for 30 minutes but the rest of the movie more than makes up for it. And you really have to watch it. There are so many entanglements that you won't know who is doing what to whom and why without really paying attention.",/review/rw3560337/?ref_=tt_urv
8 November 2016,bob-the-movie-man,7," You won't uncork a bottle of Malbec again without thinking of this film...
","""The Girl on a Train"" is the film adaptation of the best-seller by Paula Hawkins, transported from the London suburbs to New York's Hastings-on- Hudson.",/review/rw3560337/?ref_=tt_urv
4 January 2017,wayne-robb,9," Brilliant
","I have been on IMDb for a number of years and always rate the movies i watch. I have not written many reviews,however i think i needed to write this one. This film is brilliant. I haven't read the book but the story was excellent and having read reviews i am disappointed with the negative reviews of this masterclass in story and film making. Do not be put off folks, this was a real thriller mystery and deserves a big 9.the acting was superb,and having been in a drunken state myself for a time they couldn't have put it more realistic. Enjoy its really good, please check my review scores before taking my opinion,i don't like crap as you will see.",/review/rw3560337/?ref_=tt_urv
1 July 2018,Better_Sith_Than_Sorry,8," Kept Me Guessing
","This is an excellent mystery/thriller that had me 'grasping at straws' for a solid hour or so, trying to figure out who was 'good' and who was 'bad.' And...it's punctuated with a ""killer ending!"" (Yes, pun intended ~)",/review/rw3560337/?ref_=tt_urv
9 October 2016,bartonj2410,8," Thriller that serves up a real mystery
",We've all experienced the same monotonous train commute to work in our lives at some point. You go by the same places and see the same faces each and every day. None of us have quite had a commute that changes our lives quite like Rachel Watson in The Girl on the Train though.,/review/rw3560337/?ref_=tt_urv
21 January 2018,StorieLuver,10," How one person's selfishness can destroy multiple lives
","By titling the book and movie ""The GIRL on the Train"" and making Rachel the narrator/protagonist, the audience is fooled into thinking this is Rachel's story, when really it isn't. This is TOM's story, and how his selfishness and single-minded pursuit of his own wants and desires ruins other people's lives. So here's a summary of the story, when you retell it from Tom's perspective:
Tom wants the stereotypical perfect suburban life with the stay-at-home wife and 2.5 kids. He marries Rachel, but it turns out she can't give him children. So rather than adopt (because they wouldn't be ""his"" children, which I believe the book did point out), Tom starts cheating on Rachel and lets her become a raging alcoholic. Tom divorces Rachel, leaving her life a total shambles, and moves on to marry Anna, who promptly produces the baby he wants. When Anna then starts to focus on the baby rather than Tom, he starts ANOTHER affair with Megan (because of course, it's still all about Tom and what he wants). Unfortunately for Megan, who doesn't want children because of a trauma in her past, she becomes pregnant with Tom's child. Well, Tom can't have a pregnant mistress ruining his ""happy"" marriage with Anna, so he murders the inconvenient mistress. And that, in a nutshell, is the real plot line of this story. So what is the role of the girl on the train, other than to be the discarded, barren first wife who turns to alcoholism to deal with the loss of her husband and home? In an act of karma, she gets to witness (from her train) a piece of evidence which draws her into Megan's disappearance/murder and ultimately bring Tom to the justice he so richly deserves.",/review/rw3560337/?ref_=tt_urv
11 October 2016,danielharden,2," Trainwreck
","Based on a best selling novel and with a huge marketing campaign to back the film, The Girl On The Train oddly became one of the most anticipated films of the Autumn to Christmas period... But instead of being the Guardians of the Galaxy of this period the film fairs as well as this years Suicide Squad. The Girl On The Train is absolutely terrible and I feel rather sorry for Emily Blunt who I feel is left alone trying to salvage this wreckage.",/review/rw3560337/?ref_=tt_urv
6 October 2016,paulmcuomo,2," Read the book. No, seriously, read the book, it's so much better than this
","The Girl on the Train is a novel that kind of jumped up on the world, especially with the unbelievable success of the book and movie versions of Gone Girl. Since then, this sub-genre of Domestic Noir has exploded and it seems that every novel that can be compared to Gone Girl has been optioned for a film: this, and Renee Knight's Disclaimer had the film rights purchased before the novels were even released to the public! It's a bandwagon that needs to stop, because I cannot understand how this movie could've been so disappointing and poor as it is.",/review/rw3560337/?ref_=tt_urv
11 January 2017,liorreem,9," Emily Blunt worth an Oscar!
","I read some of the reviews here, and came with very low expectations to this movie, and WOW, what a pleasant surprise! Blunt gives here the show of her life, way above the level of acting in ""edge of tomorrow"". The story itself takes time to build but it all adds to the atmosphere, and finally you get a fair amounts of twists and turns. Bennett and Ferguson also acting very well, which all adds (to my opinion) to a great film. And to all the men that say it's a ""men hating"" film, I say that you really have a low self-confidence to come up with such a statement... I would risk to say it's one of my 2016 best films, and I will be surprised if Blunt will not be an Oscar nominee for this film.",/review/rw3560337/?ref_=tt_urv
28 March 2018,Tweekums,9," A gripping psychological thriller with plenty of twists
","This psychological thriller opens with Rachel, a commuter on a train into New York, looking out of the window. As they pass through the area where she used to live with her ex-husband, Tom, she looks at the house two doors away. She observes a woman, Megan, standing on the porch. She doesn't know anything about the woman but in her mind she imagines what her life might be like. In reality Megan was working as a nanny for Rachel's ex and his wife Anna until recently. Then one day Rachel sees Megan with a man who isn't her husband and is infuriated as it reminds her of how her marriage ended. She decides to get off the train at that station and as she does so she confronts a woman in a tunnel... the next thing she knows she is waking up at home covered in blood. It turns out Rachel is an alcoholic who is prone to blackouts and the day she got off the train was the last time anybody saw Megan. Rachel approaches Megan's husband Scott and, from photographs, identifies her psychiatrist as the man she saw Megan with. What follows is an investigation into what happened to Megan; there are many possibilities and Rachel is not the most reliable of witnesses; so much so that she doesn't even know if she was somehow involved in whatever happened.",/review/rw3560337/?ref_=tt_urv
15 October 2016,Sleepin_Dragon,9," Award for Emily? Should be....
","The first point I'm going to make is that this film is outstanding, prior to seeing it, people made the point that it's very similar to Gone Girl, I agree to z minor extent, but in my opinion this is the better film. The story is wonderfully clever, how many of us haven't sat on a train, looked out and people and wondered how different our lives would have been, had we made different choices. The way the story unfolds is loaded with intrigue, you keep asking questions in your mind, all the way through to the revelation at the end. I always knew Emily Blunt was a class act, I just had no idea she was THIS good, she produced an utterly incredible performance as the tormented Rachel, it will be an outrage if awards don't follow for her. Justin Theroux, Luke Evans, to name just a few are also brilliant.",/review/rw3560337/?ref_=tt_urv
13 October 2016,eddie_baggins,2," Bitterly disappointing
",Bitterly disappointing.,/review/rw3560337/?ref_=tt_urv
