Review_Date,Author,Rating,Review_Title,Review,Review_Url
19 July 2021,AvidWatcher101,3," My rating drops with season 3
","Is there a contest going on to see which character can be the most annoying? If there is, Mel wins, hands down. She was the brave plucky nurse, moving to the small town, opening her heart, making a difference.. now she creates problems, creates unnecessary drama in her relationship, constantly feels sorry for herself - for the same issues she spent season one overcoming - and showing us that yes, you can get up again and make a life and be happy - but no.. now we cry and wallow and OMG I am at ep 9 and I think I'll have to skip to the end of the finale because I can't take anymore. The lead character who could be admired is now just annoying.",/review/rw5348607/?ref_=tt_urv
11 December 2019,mahler-19840,9," Characters worth investing in.
",Not normally my kind of show.I always give them a shot though and this one pulled me in. Hope they make a second season.Me a 70 year old male who usually goes for the Fargo's and Breaking Bads of this world. A pleasant surprise.I do have a soft side.I did enjoy the Gilmore Girls.Had to keep that one quiet....,/review/rw5348607/?ref_=tt_urv
15 July 2021,khutton-47311,1," Doesn't make sense!
",It's been 3 seasons but it appears that only 3 months have past.,/review/rw5348607/?ref_=tt_urv
30 November 2020,apryla-58795,8," GET RID OF CHARMAINE!
",Love this show BUT they have to kill Charmaine off in childbirth. She is soooooo annoying! She has no claim to Jack yet she's acting like his wife or girlfriend. He needs to tell her to shut it! Her whining and complaining and neediness is majorly annoying and grating! It's not just that she's a problem for Jack and Mel it's that she's a problem for the show. She's just a major Beyotch!! She's complaining about him not being trustworthy when he does not owe her anything! He's showing up way more than he is obligated to and she's still being a major pain in the a@@! What a piece of work!,/review/rw5348607/?ref_=tt_urv
12 July 2021,tlutzy,5," Loved season1, tolerated season 2, season 3 is terrible
","We really enjoyed season 1 and became invested in the characters. We eagerly waited for season 2 and enjoyed it, for the most part, but some of the plot twists were starting to feel contrived and Charmaine's character was increasingly unbelievable (she has never looked pregnant) not to mention annoying. But we tuned in to season 3 right when it was available and were so turned off by the first episode that we are not going to continue. Again, the character of Charmaine is totally unbelievable -- engaged after three weeks? Still not showing? Come on. The sudden fire at Jack's house is also completely unbelievable in this day and age of mandatory smoke detectors (especially in California!) that would have gone off and warned them well before any fire could have developed as far as it did. We're disappointed in the decline in quality because we really wanted to like it. And the acting is pretty good, especially Alexandra Breckenridge, Martin Henderson, Colin Lawrence and Tim Matheson. But there are so many better shows out there now that we just aren't going to invest any more time in Virgin River.",/review/rw5348607/?ref_=tt_urv
10 December 2019,siesha,8," Enjoyed it more than I thought I would
","As a Hart of Dixie fan, I was a little worried based on some of the reviews. Turns out it was unfounded. The only similarities are that it happens to be based in a small town, the protagonist moves there to start over and the doctor is played by the same actor. It's a completely different story line, its dramatic and its darker. I'm happy I gave it a chance. You should too!",/review/rw5348607/?ref_=tt_urv
6 December 2019,egeferentino9,9," Cute Show to binge!
",This show reminds me of Heart of Dixie. Of course with a few changes. Just started watching it so far I like what I'm watching! Give this show a chance a cute little gem!,/review/rw5348607/?ref_=tt_urv
27 November 2020,cheerio-77065,9," Loving the Season 2 so far, but...
","I'm glad it's back, but why does Charmaine have to be this annoying? This is too much. Sometimes I even gotta take a break because she can be so annoying.",/review/rw5348607/?ref_=tt_urv
27 November 2020,mccoybrandi,," annoyed
",I love Virgin River but I am so annoyed with Charmaine in Season 2.,/review/rw5348607/?ref_=tt_urv
21 July 2021,rdmceagles,5," what happened???
","OK first 2 seasons were ok kind of sappy and silly plot lines but still likeable. The whole Charmaine being ""pregnant"" thing is getting on my last nerve. This magical twin pregnancy and by season 3 she doesn't even look pregnant at all??? Plus she conveniently meets some rich guy and bang she's engaged??? Anyway the addition of the idiotic Ricky story line with Lizzie is literally making me want to vomit. They didn't have enough story lines out there and had to throw in 2 young kids and their drama??? I'm tempted to go right to the last episode and just see what happens to put myself out of my misery.",/review/rw5348607/?ref_=tt_urv
