Review_Date,Author,Rating,Review_Title,Review,Review_Url
19 February 2022,TxMike,," Surprised my wife and me, how good and entertaining it is.
","Jennifer Lopez is a singing star, Owen Wilson is a high school math teacher. Quite by accident they get married at a concert. Well, it wasn't a legal wedding but it set a few balls in motion.",/review/rw7859106/?ref_=tt_urv
16 April 2022,Calicodreamin,7," Adorable rom com
",JLo and Wilson put together a surprisingly well made and adorable rom com. The storyline was perfect in its predictability. The acting was decent and the leads have chemistry.,/review/rw7859106/?ref_=tt_urv
24 February 2022,kevin_robbins,7," This is a fun, feel good date movie that is worth a viewing.
",Marry Me (2022) is a movie my wife and I saw in the movie theatre together. The storyline follows a famous pop singer about to get married when on the day of her public wedding she discovers her fiancé cheated on her. She decides to spontaneously marry a man in the audience instead. While seemingly improbable the pop star and every day school teacher to try to make their relationship work despite very different lifestyles.,/review/rw7859106/?ref_=tt_urv
11 February 2022,leftbanker-1,5," I Think I Just Saw The Entire Movie in the Trailer
","Seriously, talk abut not leaving anything to your imagination. IMDb policy always asks if your review has spoilers. What is there left to spoil? Let me guess. They live happily ever after?",/review/rw7859106/?ref_=tt_urv
11 February 2022,lisafordeay,7," A real surprise
","Marry Me is a 2022 romantic musical comedy starring Jennifer Lopez, Owen Wilson,John Bradley,Maluma and Sarah Silvermann. A pop star named Kat Valdez(J Lo) is getting married live on stage to her boyfriend singing sensation Bastain(Maluma) in front of a huge crowd. However when her fiance cheats on her,Kat is left devasted and spots Charlie Gilbert(Wilson) with his friend (Silvermann) and his daughter with a sign saying Marry Me to which Kat agrees on. But will romance blossom between Kat the singing sensation and maths teacher who also happens to be be dad of one Charlie?",/review/rw7859106/?ref_=tt_urv
12 February 2022,thekarmicnomad,3," The RomCom is a dead art
",The plot for this is silly but workable and takes a swipe at the manufactured state of modern life in the spotlight.,/review/rw7859106/?ref_=tt_urv
15 February 2022,thatgirlmyra-9946,2," Superficial Fluff
",The trailer made this look WAY better than it was. I wasn't expecting anything profound or even realistic. But this... what a letdown.,/review/rw7859106/?ref_=tt_urv
10 February 2022,martimusross,7," A Really Great Cheesy RomCom
",Marry Me,/review/rw7859106/?ref_=tt_urv
17 February 2022,cardsrock,4," Divorce Me
","Why watch TV when you can watch this and get the same amount of advertising from NBCUniversal. The amount of ads in this movie is blasphemous, either for J Lo and her career or for NBC's various products they're throwing in your face.",/review/rw7859106/?ref_=tt_urv
27 February 2022,cliftonofun,3," Parody commercial music video
","I'm pretty sure that this was a rom-com parody. From the ridiculous caricatures to the silly plot leaps to the bizarre dialogue, this movie takes every trope and dials it up to 11. It is closer to a Jimmy Fallon commercial or music video than actual movie. I looked up who wrote the screenplay out of morbid curiosity...and it was the guy from Catwoman. Enough said.",/review/rw7859106/?ref_=tt_urv
12 February 2022,fallyhag,3," Just a self indulgent music promo video
",This has to get a very low score just for the shameless sacrifice of content for self indulgent music promo. This is just no attempt to be a film here. It is just one JL vanity clip after another.,/review/rw7859106/?ref_=tt_urv
13 February 2022,rgkarim,8," I Say I Do To This Fun Comedy
",LIKES:,/review/rw7859106/?ref_=tt_urv
12 February 2022,benjaminskylerhill,6," Seen the trailer? You've seen most of the movie.
","But that doesn't mean that there's nothing worth checking out here. Far from it. Despite the fact that this is a thoroughly predictable rom-com with no plot points that haven't already been seen a million times, it has just enough of a fame-and-internet-culture twist to keep it interesting.",/review/rw7859106/?ref_=tt_urv
12 February 2022,Neon_Gold,6," Easy Fun
",I expected this to be terrible but I actually enjoyed it. It had a 2000's charm to it. It was completely insane but in the end I was just like ok sure.,/review/rw7859106/?ref_=tt_urv
24 February 2022,joiningjt,1," A 6, WTF were u people watching?? No chemistry TERRIBLE acting go rewatch harry met sally!! GARBAGE!!
",I have no idea why JLo still gets movie roles her movies are not good and her acting is abysmal at best. She lacks any charisma and she never has any chemistry with her actors. We gave this a shot cause my wife and I like owen but even he wasn't good in this film I have No idea how this is receiving a 6..mmmHUH??? Anyway we watched when harry met sally again and everything is right with the world again...lol pass on this one trust us. Go see death on the Nile excellent film especially in the theater.,/review/rw7859106/?ref_=tt_urv
