Review_Date,Author,Rating,Review_Title,Review,Review_Url
18 April 2014,HorrorFreak1997,9," A nasty 9/10 for oculus!
","No folks, I'm not jumping on the bandwagon here. This film really is that good. ",/review/rw3075090/?ref_=tt_urv
27 June 2016,SnoopyStyle,7," nice moody horror
","Tim Russell (Brenton Thwaites) gets released from a mental hospital. Eleven years earlier, his parents (Katee Sackhoff, Rory Cochrane) get a mysterious mirror. His father supposedly tortured and killed his mother. In the present, his sister Kaylie Russell (Karen Gillan) rediscovers the mirror. Tim has only fragmentary memories of the incident. Kaylie aims to prove the murderous supernatural nature of the mirror. Michael Dumont (James Lafferty) is Kaylie's boss at the auction house and her boyfriend.",/review/rw3075090/?ref_=tt_urv
11 April 2014,fritzlang,8," Please see this film!
",This is a classic ghost story.,/review/rw3075090/?ref_=tt_urv
11 September 2013,gregsrants,9," Upon Reflection - Simply Brilliant
","It was 2006 when director Mike Flanagan first caught our attention. We  obtained a copy of his short, Oculus: Chapter 3 and were one of the  first internet reviews of the short (a favourable review in case you  were wondering). We kept our eye on Flanagan through the years through  his follow up projects, Makebelieve (2000), Still Life (2001) and  Ghosts of Hamilton Street (2003). But it was Flanagan's 2011 film,  Absentia, that really put the budding director in the limelight.  Absentia was a small yet ambitious project that did its best on the  festival circuit before getting some attention on VOD and DVD and was  Killer Reviews' pick as the best horror film of 2011. Flanagan is back  behind the camera with Oculus, a picture that was picked as one of the  Elite 10 of the Toronto International Film Festival's Midnight Madness  Series.  Oculus tells the story of Tim and Kaylie Russell (Brenton Thwaites,  Karen Gillan). Tim has recently been released from a mental institution  where he spent most of his younger years after he and his sister  witnessed a deadly family tragedy that left Tim's psyche in a state of  fragility. Only hours removed from the hospital, Kaylie convinces Tim  that a mirror procured and displayed at the Russell household was the  cause of their violent childhood. Kaylie is convinced that the mirror  has a 300-year history of death and destruction and she solicits Tim's  help in an attempt to confront and destroy the evil that possesses the  antique mirror.  Kaylie and Tim's attempts to find answers and draw out the evil lead to  violent hallucinations and flashbacks that both siblings in danger and  challenge the sanity of the recuperating Tim. As their night alone with  the mirror draws long, Kaylie and Tim soon learn that the mirror is  still the dominant force and their attempts at closure soon become a  race for survival.  If Absentia was Flanagan's Star Wars, then Oculus is his Empire Strikes  Back. A better more polished film, Oculus was as eerie and involving as  it was particularly complex in its non-linear storytelling. Much like  Absentia, Oculus is intelligent in its unravelling and doesn't cater to  the microwave generation's want for a high body count while still  delivering the goods.  The acting was stellar with familiar faces Rory Cochrane (CSI: Miami)  and Katee Sackhoff (Battlestar Galactica) complementing the adult  Gillan and Thwaites). But is was the performance of the younger Kalie  (Annalise Basso) that steals the movie with a virtuoso performance that  demonstrates the young actor's range.  Horror fans that have longed for a good and clever thriller involving  ghosts and the paranormal will have their thirst quenched with the  smoothness of a 12-year-old Scotch. Oculus is everything we could have  hoped for from the no-longer-unknown Flanagan.  It is a superior thrill ride that will challenge audiences to keep up  with the fast moving plot developments while delivering upon an onion  layered type screenplay that will keep your guessing not only in what  happens next, but if what is happening is even real.",/review/rw3075090/?ref_=tt_urv
19 June 2014,samlynn12,9," Best horror film I have seen in a while
","This film was fantastic. I was creeped out the entire time, right from the introduction of the mirror. There has always been something slightly disconcerting about staring into a mirror at night, half expecting someone to jump out from over your shoulder. This film captured the essence of this perfectly. There was not a lot of action, not much blood or violence, but just enough to scare the audience. Just when you think that you have the mirror figured out, something else comes around to make you think otherwise. It makes you wonder if the characters are just crazy, that none of the film is actually real. You will never know exactly what is going on. That is what made it such a well done horror film, backed up by great acting performances from both adults and children. If you enjoy horror films as I do, go to see this film, you will not be disappointed!",/review/rw3075090/?ref_=tt_urv
16 April 2014,dunnypop,10," Refreshing
","When I first read a slew of positive reviews in 2013 about Oculus, I really wanted to check it out. I really enjoy the horror film genre however it's a real cynical bunch of viewers (""not scary enough"", ""not enough gore"", ""this has been done before""), and with the reviews coming down like ""never seen anything like this"", I was interested and skeptical.",/review/rw3075090/?ref_=tt_urv
1 May 2014,hugorocksmy,8," Twisted Story with Excellent Performances
","Even though it wasn't as scary or gory, as I wanted it to be. It still managed to creep me out and get on my nerves, with it's very creative and elaborate story and excellent performances from all it's cast. I really enjoyed the chemistry between the two younger actors played by Annalise Basso & Garrett Ryan, and the relationship they had as characters, which added a lot of heart and sentiment to the whole story. Moreover, this movie was more a drama with some horror, because it didn't played with the whole scare and gore factors, but instead it was more about the the story behind the mirror and the effect it had with the people that surrounded it. It would be a good idea to make this a franchise because of how extensive its universe could be, as well as how many different stories and characters it could incorporate and continue to haunt, even though it's ending was melodramatic to me, it felt conclusive and eerily heartbreaking. Overall, it was a very good little drama-horror film that goes more farther than you could imagine and think.",/review/rw3075090/?ref_=tt_urv
12 December 2014,chancellorpink,8," Family Fears: Childhood Memories of Mom & Dad Revisited
","Oculus is a creepy, stylish little modern horror film that borrows on some old fashioned notions of good horror. Namely, to tell an actual story, while messing with common held expectations for film narrative along the way. ",/review/rw3075090/?ref_=tt_urv
9 September 2013,mtrubic,9," The best midnight madness movie EVER!
",As good as the Shining was something I said to all around me as soon as the picture ended. ,/review/rw3075090/?ref_=tt_urv
3 April 2014,TheMovieVlog,7," Instant Horror Classic!
","This was really not that bad for a horror movie. The whole mirror monster sort of thing has been done before but what made this movie refreshing to me was the complete mind trip that was going on throughout the movie. I spent more than like 3/4ths of the movie utterly confused yet it made sense by the end. It was all over the place but slowly, I was able to piece things together. I personally thought it had the right amount of horror that it was actually able to make me jump at some parts without being too cringe worthy like most horror films are. Also, I was impressed with what was done despite the simplicity of the film. Tons of thrills, tons of fun. Needless to say, I thoroughly enjoyed watching this.",/review/rw3075090/?ref_=tt_urv
