Review_Date,Author,Rating,Review_Title,Review,Review_Url
19 November 2015,ferguson-6,5," Choose Argentina
","Greetings again from the darkness. Why, Billy Ray, why? It's not surprising that Hollywood green-lighted the Americanization of the 2010 Oscar winner for Best Foreign Language film, El secreto de sus ojos. That original from Argentina is exemplary filmmaking and a thoroughly entertaining and compelling mystery-thriller; a must-see for any true film lover. Even if an Oscar-studded cast is hired (2 Oscar winners, 8 nominations), the guiding inspiration for a remake should be more than losing the subtitles and filming Julia Roberts without make-up.",/review/rw6443200/?ref_=tt_urv
30 August 2018,Sleepin_Dragon,5," So disappointing.
","When I saw the cast list, which includes Julia Roberts, Nicole Kidman and the brilliant Chiwetel Ejiofor I thought I was in for ninety minutes of sheer quality, you can forgive me for thinking that, when you take into account the number of awards shared by the stars, the budget, and the pedigree of the original movie. Unfortunately, Hollywood strikes again, the curse of the poor remake, it was virtually impossible to mess this up, but mess up they did. The acting was fine, strong production values, a clever story, in theory. However, the execution is so bad, the film lacks any degree of suspense, it lacks any degree of subtlety needed to tell such a story, and the characters are such that I didn't care less what happened to any of them, as I have no connection with anybody. The film should have been gripping, exciting, at least moved you to empathise with the characters, but no, it was utterly bland, such a waste of so much talent. I'm stunned by some of the positive reviews I've read, what are they seeing that I couldn't, all I did was yawn, and I'm easy to please in terms of thrillers.",/review/rw6443200/?ref_=tt_urv
8 April 2019,claudio_carvalho,7," Dark Remake
","""Secret in Their Eyes"" is a dark remake of the excellent Oscar winner ""El secreto de sus ojos"" (2009). The story of the Argentinian-Spanish film is magnificent and the cast of ""Secret in Their Eyes"" is top-notch. Despite the confused screenplay, the result is a film not comparable to the original but worthwhile watching. My vote is seven.",/review/rw6443200/?ref_=tt_urv
12 November 2015,Giacomo_De_Bello,5," 5/10
","If you haven't seen ""El Segreto de sus ojos"" I beg you to stop reading and go check it out, it is, in my opinion, one of those rare and pure thrillers that keeps you glued to the screen for two hours. Yet, despite loving the original, I wasn't going into this one ready to bitch about it. I am someone who is very sniffy about remakes, but hey if you have an fascinating premise that can be explored through various styles and dynamics I am all for it. Especially in this case, I think that keeping some of the core material and turning other parts completely around could have made for a fascinating narrative, unfortunately the American remake, with the exception of maybe two or three ides, doesn't improve, explore or further the original in anyway and sometimes even edges the shot-by-shot remake treatment.",/review/rw6443200/?ref_=tt_urv
26 December 2016,MattyGibbs,8," Love the original and love the the remake
","This is a rare beast a remake that is actually pretty good. Although it it isn't as good as the original, lacking the slow burn nature of it, it's still a well made and entertaining film. ",/review/rw6443200/?ref_=tt_urv
4 June 2017,redproton88,8," Ignore the bad reviews comparing this to the original
","This film is far better than than 6.2 rating it has received which seems mostly to come from those wanting to compare it to the Argentinian original. I am rating this as a separate film and not comparing it to the original. The acting is top notch and believable. Ejiofor, Kidman and Roberts all do a great job. ",/review/rw6443200/?ref_=tt_urv
29 January 2021,Orhan_Akdeniz,5," I recommend the original
","I also watched the original version of the movie. It was a much better movie. The movie has an interesting revenge story. Preferably I recommend the original. If not, you can watch that too.",/review/rw6443200/?ref_=tt_urv
21 November 2015,jadepietro,5," Blind Justice
",(Rating: ☆☆ out of 4),/review/rw6443200/?ref_=tt_urv
22 October 2016,krocheav,," The Secret Should Have Been This Film
","From just after the opening this effort began to look like Television with pretensions. Maybe it's time Hollywood and audiences got over the misguided following of styles from the likes of Tarantino and Scorsese - both who seem to have joined other overrated movie makers of the era...Now Billy Ray joins their club with this over-everything mess of a movie. More ridiculous flash-back, flash-forward techniques to leave the viewer simply wanting to give up. It even looks like the movie makers were confused and perhaps forgot to change some of the wardrobe between some time-skip scenes. Why further complicate an already overly complex screenplay??",/review/rw6443200/?ref_=tt_urv
12 March 2016,davispittman,7," Pretty well made film
","Secret in their eyes (2015) is a pretty well made film, it's definitely well acted, great performances by all the cast including: Julie Roberts, Chiwetel, and Nicole Kidman, they all have very real powerful performances. The script is pretty good, not the best ever, but it works. The characters are well written too. The tense scenes and situations throughout really made this film, the mystery of not knowing certain things really keeps you interested too. I can without a doubt say that the actors performances were my favorite part of this film, they were just so amazing here! And the ending was my other favorite part, the ending is very clever and unexpected, or at least I didn't see it coming, which is awesome, because anyone who knows me knows how much I love a good surprise ending to a film. 7/10 for Secrets in their eyes.",/review/rw6443200/?ref_=tt_urv
