Review_Date,Author,Rating,Review_Title,Review,Review_Url
13 August 2020,BadgerStorm4345,10," Amazing World Building and Stellar Character Moments
","Made in Abyss is an anime that is severely underrated. This show can invoke so many different emotions out of you as it balances so many tones flawlessly. The characters drive the heart of this show and make us worried when they are put into dangerous situations. The danger is amplified by this beautiful world that never shies away from showing off it's true nature. The world never seems evil, it seems wild and untamed, balancing on a scale between chaos and beauty. The concept of the world itself is also executed better than I could have hoped for, constantly showing us functions to this incredibly interesting world that make sense. The Music in this show is also great and captures the beauty or horror of each and every moment our characters are put in. Made in Abyss is one of my favorite anime and deserves so much more praise.",/review/rw4927603/?ref_=tt_urv
11 August 2017,blackmamba99971,10," Beautiful series
","This is an incredible series I have ever watched. Riko a young girl explorer who is on a quest to find her mother deep within the chasms of the abyss which dwells beneath a village. Alongside her is a sophisticated robot named Reg. An automaton designed to protect Riko at all costs during their descent into another world that harbours strange creatures of such violence, and merciless fortitude that it takes Reg to fend them off using his ultra hyper weapon fist that can take out an entire mountain face with one blast. As they move deeper into the abyss's bowels the air quality starts to become more poisonous than the previous layer, but Riko's determination doesn't allow her to stop in attaining the truth about her mother.",/review/rw4927603/?ref_=tt_urv
12 October 2017,urthpainter,10," cross Studio Ghibli style art and the video game Dark Souls...
",Throw in some Etrian Odyssey and you get a rough idea of what Made in Abyss might be.,/review/rw4927603/?ref_=tt_urv
15 March 2020,dameon_green,8," A wonderfully strange mix of light and dark tones.
",The story in the dubbed first movie is a surprising combination of what should be conflicting light and airy tones with a dark and bleak story and quest but to my surprise they came together masterfully.,/review/rw4927603/?ref_=tt_urv
18 October 2017,cmawer-62752,9," Anime Of The Year So Far For Sure
",(Because this is my first review I literally went and binge watched a bunch of anime reviewers to try and sound professional. My life is so sad it's not even funny.),/review/rw4927603/?ref_=tt_urv
15 February 2019,hanentr,10," A Masterpiece
","Made in Abyss is going down as one of my favorite shows of all time. Not just one of my favorite animes, one of my favorite shows. The characters, world-building, plot progression, music, art style, animation, voice acting (sub and dub), everything is incredible.",/review/rw4927603/?ref_=tt_urv
13 July 2022,blackmamba99971,10," A leap beyond logic
","It has been four years since the movie came out to show us the next stage of Riko and her party's steep descent into the Abyss. And now, the new season that is aired so far has not once disappointed me. I have been an avid fan of Made in Abyss since 2017 and I must say the story just gets better and better. New creatures, new terror and pulse stopping shot scenes which leaves the viewer stunned.",/review/rw4927603/?ref_=tt_urv
18 October 2020,liban-30551,10," WAAAY better than expected!
","I am a 30 year old stoner dude, who usually watches action movies and so forth, but this was truly addictive, and gripped me from start. I don't usually comment like this, but this show deserves it. The story is a rollercoaster of emotions. And the music, OMG, what an amazing job they did on producing one of the most beautiful soundtracks I've heard on a show, just awed at how the music matches the atmosphere in every scene.
WOW!
I highly recommend this gem!",/review/rw4927603/?ref_=tt_urv
28 November 2017,MorDEk007,10," An absolutely fantastic anime with solid world-building, likable characters, and a gorgeous art style
","An absolutely fantastic anime with solid world-building, likable characters, and a gorgeous art style. The first episode immediately pulls you into the show and introduces you to the cast of characters and the beautiful world, and from there on it hooks the viewer with its fantastic lore and world-building, something which many shows are unable to do effectively. I'm telling you, go watch this anime right now; it's a unique gem that you absolutely will not regret watching.",/review/rw4927603/?ref_=tt_urv
2 December 2017,owenmayay,9," Stunning soundtrack and animation. Unique, surprisingly believable world.
","You can tell there was a ton of effort put into this series. As someone who doesn't like the current trends in anime these days, I found massive enjoyment watching Made in Abyss. This might not make sense, but it feels really pure and new. I highly recommend just diving straight into this series without knowing much about it.",/review/rw4927603/?ref_=tt_urv
7 June 2019,rookescanor,10," One of the best Adventure Anime in the years
","When I watched this anime for the first time, I knew that the author, Akihito Tsukushi, had put a lot of thought and love into the story and its development. I have watched a lot of adventure anime, and I have to admit the fact that this is the best one made in the past few years. I would even go on to say that it can be grouped within the mentions One Piece, Dragon Ball (referring to Part 1 of DB series) or Hunter x Hunter in terms of Story quality.",/review/rw4927603/?ref_=tt_urv
31 March 2022,TheGreatGreenBadger,10," Absolutely incredible!
","This show gives so much life to fantasy than never before. The world-building, visuals, and even the soundtrack is absolutely insane. Not to mention, the plot, specifically the last four episodes, is some of the best episodes of anime I have ever seen. Also, Nanachi cracks me up!",/review/rw4927603/?ref_=tt_urv
4 October 2020,k-71483-57606,9," Perfect
",Plot ✒ : 16/20,/review/rw4927603/?ref_=tt_urv
31 October 2018,patrickpayeur,10," Best anime of the year
",Still we're well into 2018 and no anime came close to Made in Abyss.,/review/rw4927603/?ref_=tt_urv
31 October 2018,austinlsweeney,9," What's that lurking in the shadows...?
",Made in Abyss looks childish. If you think it is for kids. You are Grosly mistaken! Stop that train of thought before it's too late.,/review/rw4927603/?ref_=tt_urv
29 September 2017,PennyReviews,8," Good enough
","At first glance, this anime seems childish and just cute, but it's far from it. From episode number one, it throws the viewer into a deep dive in a complex universe that has its mythology as well as many mysteries. The story has as many layers as the abyss, with the main characters fighting odd creatures and having major character developments in the process. And as they get deeper into the abyss, the darker the anime goes. And the more depressing as well. In the end, there were many questions answered, so hopefully there will be another season.",/review/rw4927603/?ref_=tt_urv
