Review_Date,Author,Rating,Review_Title,Review,Review_Url
14 April 2022,Sleepin_Dragon,8," A fine adaptation.
","I read the book prior to the release of this, and I have to say it isn't a favourite of mine, nor was the awful Marple adaptation some years ago.",/review/rw8537509/?ref_=tt_urv
17 April 2022,bosporan,7," Who is Evans?
","Hugh Laurie has done a fabulous job deftly infusing humour into this script. The cinematography is delightful, with gorgeous costumes, lovely architecture and rugged scenery brought to life. A strong cadre of actors with the wonderful character of Frankie (Lucy Boynton) pulling all the strings, Boynton is in her element with this persona.",/review/rw8537509/?ref_=tt_urv
24 April 2022,gridoon2023,7," Watchable but fatally overlong; Lucy Boynton by far the best thing in it
","This Agatha Christie story has a gripping, instant hook but a rather underwhelming resolution; by the time you finally learn who Evans is and why they didn't ask him, you may wish that you never wondered in the first place. Hugh Laurie aka Dr. House, who writes, directs and plays a supporting role, does not bring very much new to the table, apart from a flourish here and a photographic trick there, and Will Poulter is merely OK as Bobby Jones. But Lucy Boynton is magnetic as Frankie: beautiful, playful, witty (especially in the first of the three episodes), she really brings the character to life. On the basis of this performance, she totally deserves a regular spot in a possible future Agatha Christie series - one that, hopefully, will resolve its cases in fewer than 175 minutes. *** out of 4.",/review/rw8537509/?ref_=tt_urv
15 April 2022,bowieec,9," I loved it
","Compared to the initial reviews, it appears I'm in the minority. I thoroughly enjoyed the three episodes and binged them in one night. I found the whole thing fun, charming and a hoot. I loved all the performances as well as the lush locales and cinematography and the performances. Hugh Laurie's direction is smooth. Not everything adds up, but this isn't Agatha Christie's best story, and that's okay overall. There are always too many suspects and shoehorning for things to make sense in the plot. As long as you understand who did it and the basic why in the end, you're good. Just go along for the ride. Pay attention to the clues as they come and you can probably solve it before they do. Sure, there are tons of red herrings and subplots to nowhere that distract, but again, it's lesser Agatha Christie. What do people expect? It's only confusing if you let it overwhelm you. And it needn't. Enjoy!",/review/rw8537509/?ref_=tt_urv
17 April 2022,bjarias,8," ... simply-enjoyably-entertaining
","... with the look of someone could be ten years older & possibly even that much younger, Lucy Boynton really helps make thus short miniseries what it is... truly capturing the period, all actors fit in exceptionally well to the storyline... would it be turned into a running series it could easily go on for several years... anyway, now we've at least got three enjoyable episodes.",/review/rw8537509/?ref_=tt_urv
29 April 2022,nije-mala,8," Delightfully Entertaining
","What a delightful piece of television entertainment! Tip-of-the-hat to Mr. Laurie for this witty, at times silly (but in a good way) and suspenseful storytelling packed in the technically nicely executed and well acted three part series.",/review/rw8537509/?ref_=tt_urv
15 April 2022,luckyribka,9," I loved it!
","I salute you, Hugh Laurie.",/review/rw8537509/?ref_=tt_urv
14 May 2022,cherold,8," Solid Christie adaptation made so much better by Boynton
","This mystery kicks off when an earnest young man hears the dying words of someone who has fallen - or been pushed - off a cliff. Mysteries abound, corpses pile up. The earnest young man has a friend named Frankie, who is mercurial and flirtatious and they kind of like each other but won't quite say it. And it becomes clear that only these amateur sleuths can solve things.",/review/rw8537509/?ref_=tt_urv
16 April 2022,tmichaelny@aol.com,8," Thoroughly enjoyed it!
","This felt like an Agatha Christie story. It kept to the original story as I remember. This production was clever, witty and stylish. It wasn't dark and broody as is the current fashion....and spoiler alert...it has a happy ending! This was infinitely better than the one that part of the ""Marple"" series! I highly recommend this one for a pleasant, old fashioned Murder mystery.",/review/rw8537509/?ref_=tt_urv
14 April 2022,Ziggy1965,6," It started off really good and had great hopes for it ...
","... but by the 3rd episode it too fast, too confusing, just too convenient and silly and stupid.",/review/rw8537509/?ref_=tt_urv
