Review_Date,Author,Rating,Review_Title,Review,Review_Url
28 April 2004,MovieAddict2016,7," Maybe you have to be a movie buff to ""get it""?
","To some people, movies are more than a passion. They are a way of life. For me, movies are not only one of my favorite hobbies, but I feel that all films express a certain reflection of the individual watching them. They say that you can tell a lot from a person by the way they act, talk, walk. I believe you can also tell a lot about a person from the sort of movies they like. ",/review/rw0380223/?ref_=tt_urv
29 August 2000,darkjosh,8," One of Carrey's Best Performances
","When first released, Cable Guy was such an unusual departure for Jim Carrey and his usual slapstick, manic, goofy comedies that people just didn't understand it or like it.  When word of Carrey's enormous $20 million paycheck for this film spread, hopes were high that Cable Guy would be smothered in Carrey's slice of hilarious dementia to the extreme.",/review/rw0380223/?ref_=tt_urv
21 July 2020,UniqueParticle,10," Cult classic, definitely underrated and hilarious
","I love this movie so much! So cute how Leslie Mann and Judd Apatow fell in love during the filming. In the prime of Jim Carrey with quirkiness that is glorious throughout. Regardless of being a movie buff this should be enjoyable for most anyone, warms my heart and makes me smile. Perfectly wild entertainment that never ceases to amaze me!",/review/rw0380223/?ref_=tt_urv
30 June 2001,Infofreak,," Carrey's greatest!
","I divide movie fans into two types - those that love The Cable Guy, and those that don't. The latter I try and avoid.",/review/rw0380223/?ref_=tt_urv
6 July 2003,The-Gent,," Sorely underrated, and a personal favourite.
","This review is not coming from someone whose top ten films consist primarily of Farrelly Bros. films, nor do I have a particular liking for anyone involved in the film.",/review/rw0380223/?ref_=tt_urv
14 October 2004,Ben_Cheshire,7," Daring tragi-comedy which satirises the effect of TV on the modern world. Carrey's song in the famous karaoke scene is NOT TO BE MISSED!
",Matthew Broderick asked his girl to marry him and she asked him to move out. The eccentric guy who shows up to install cable in his new pad arrives just at the right time to become his friend. Only The Cable Guy (Jim Carrey) wants to be a little closer than Broderick is comfortable with...,/review/rw0380223/?ref_=tt_urv
25 July 2004,Stevieheuge,8," A Different Slant...
","The Cable Guy has now all but been forgotten by the movie world. It was released when Jim Carrey was on his way to being the new A list comedian, and thus, was considered only a slightly funny version of 'Ace Venture'. or The Mask' Or whatever. Personally, I don't consider The Cable Guy a comedy at all. Sure, there are some side splitting moments - Carrey is hilarious alongside Matthew Broderick's by the numbers 'average Joe', but id suggest that anyone who was not taken in by this film to look at it a little differently...",/review/rw0380223/?ref_=tt_urv
19 November 2004,baehr76,," Hidden Comedy
","Regardless of what people say, this movie has some very funny moments scattered throughout. When I first saw this movie, I will admit I didn't find it that funny. But it's one of those movies that grows on you with time. Even if you don't like it at first, give it some time. You have to accept this movie for what it is. A dark comedy aimed at poking fun of the lighter things in life. Jim Carrey obviously carries the movie with his infamous quirkiness, but Matthew Broderick holds his own as the anal retentive guy which he is great at playing. Whether you are talking about the Midevil Times restaurant scene or the karaoke scene, this movie is a gem. Highly recommended.",/review/rw0380223/?ref_=tt_urv
20 September 2020,view_and_review,7," Carrey Delivers in this Dark Comedy
","There's nothing like mid 90's Jim Carrey, even in this less popular flick.",/review/rw0380223/?ref_=tt_urv
14 May 2022,IonicBreezeMachine,8," A darker turn from Jim Carrey that was unfairly maligned in its day
","Following a failed marriage proposal to his girlfriend, Robin (Leslie Mann), architect Steven Kovacs (Matthew Broderick) moves into an apartment to reluctantly setup his single existence. Dealing with movers and waiting for The Cable Guy, he finally arrives in the form of eccentric Ernie ""Chip"" Douglas (Jim Carrey). On the advice of his best friend Rick (Jack Black), Steven asks Chip about a deal of slipping him $40 in exchange for full cable access which Chip agrees. Chip initiates friendship with Steven, who reluctantly accepts but as Chip ingrains himself more and more in Steven's life Steven gives him an ultimatum to leave him alone which doesn't go over well with Chip.",/review/rw0380223/?ref_=tt_urv
2 October 2004,mr_maximus-1,10," watch it again. highly underrated
","the most astonishing thing about the cable guy is that it simply wasn't liked by critics! however, this was to be expected given the way it was promoted. Not just another Jim Carrey ""stupid humour"" movie as it was unfortuanately promoted as, the cable guy was an entirely different genre; a comedy so dark it bordered on horror/thriller. and it is utterly brilliant.",/review/rw0380223/?ref_=tt_urv
24 March 2007,ametaphysicalshark,," Carrey's best comedic performance, and a terrific dark comedy
","Jim Carrey has only been better than this in two movies, ""Eternal Sunshine of the Spotless Mind"", and ""Man on the Moon"", but both were more or less dramatic roles. Aside from the classic ""Dumb and Dumber"", none of his comedy roles can even begin to compare to his superb, electric performance here. Most people I know don't really enjoy this, but that's because they can't really relate, or they don't want to. Carrey plays 'Chip Douglas' (which might be his real name, or it might not), a Cable Guy brought up on TV and movies. His performance works so well because he normally goes too far with his antics, making himself seem annoying on occasion, rather than funny. Here, he plays a lunatic, so there are no limits for him to adhere to, and where he would normally seem over the top (the Medieval Times sequence), he is genuinely hilarious.",/review/rw0380223/?ref_=tt_urv
15 December 2004,Guardia,9," The Future is Now...
","This movie is one of Jim Carrey most perfectly crafted. His subtle style slipped through the cracks after his horribly obnoxious endeavours in both Ace Ventura and The Mask (but they were funny too). He actually addressed this phenomena in a SNL sketch, where in his opening monologue a fat guy in the front row refuses to laugh at any of the jokes except his trade-mark lines i.e. ""Sssssssmokin'!"", or ""Alllllllrighty-then!"", or ""Le-hooo... -zeherr"", and so on. This sort of attitude continued onto the Truman Show set, where none of the crew were allowed to comment on any other of his ""meatball"" sort of films. Ahhh boy.",/review/rw0380223/?ref_=tt_urv
4 April 2018,benjaminweber,10," Carrey at his hilariously sinister best
","This is the perfect Jim Carrey film: a comedy, but also a horror film with a more serious message at its heart. ",/review/rw0380223/?ref_=tt_urv
