Review_Date,Author,Rating,Review_Title,Review,Review_Url
16 October 2018,SeanDTheFilmMaker,8," Diiiiiiiiistuuuuuurbbbbbiiiing
","They have you terrified at what was going to come out of someones mouth in just about every scene. I dont know if I liked it or hated it. I appreciated they made Me squirm for a couple hours. But now I think I need to wash it down with like, i dont know, a disney movie lol or something. The people, every last one of them are seriously messed up in the head. Brace yourself to be pushed in the incredibly uncomfortable zone. Should have a warning, ""written by some one with psycological issues""",/review/rw3862565/?ref_=tt_urv
8 November 2017,maurice_yacowar,10," The Killing of a Sacred Deer Review
",It takes a Greek director — Yorgos Lanthimos — to revive the elemental power of Greek tragedy in a modern setting. ,/review/rw3862565/?ref_=tt_urv
2 December 2018,Cineanalyst,5," Iphigenia in Aulis
","What a strange filmmaker Yorgos Lanthimos is. Had I not already seen ""The Lobster"" (2015) (and have since seen two of his earlier Greek productions), I probably would've been completely taken aback by this one, ""The Killing of a Sacred Deer."" Like its predecessor, its characters seem to occupy some alternate reality entirely dominated by egocentrism, deviant sex and magical retaliatory justice. Again, the acting is intentionally stilted, and there seem to be archaic literary references. I found the eye-for-an-eye pun of ""The Lobster"" amusing, but the source of Ancient-to-Classical Greek mythology here is quite a treat for me. At university, I took a class, not unlike the daughter in this movie, that included reading the play ""Iphigenia in Aulis"" by Euripides and, then, viewing the 1977 film adaptation ""Iphigenia"" directed by Mihalis Kakogiannis. Unfortunately, the result in ""The Killing of a Sacred Deer"" is rather muddled.",/review/rw3862565/?ref_=tt_urv
20 September 2020,TxMike,," Modern take on a Greek myth.
","I went into watching this with no background and it is strange from the start, the stilted dialog and unusual responses characters often give. The title threw me until I read later that one version of the Greek myth requires the killing of a sacred deer to get the gods to help.",/review/rw3862565/?ref_=tt_urv
15 December 2017,claudio_carvalho,3," Weird, Intriguing but Absolutely Disappointing and Overrated
","The renowned heart surgeon Steven Murphy (Colin Farrell) is married with Dr. Anna Murphy (Nicole Kidman) with two children, the young teenager Kim (Raffey Cassidy) and the boy Bob (Sunny Suljic) that are their pride and joy. He works with the anesthetist Matthew (Bill Camp) and recently he is dedicating attention to the teenager Martin (Barry Keoghan), whose father died in a surgery. Steven brings Martin to meet his family and the teenager invites him to have dinner at his home with his mother (Alicia Silverstone), who harasses Steven. He rejects and on the next day, Bob gets sick without walking. Steven and Anna bring Bob to the hospital and after a complete checkup, the doctors do not find any problem with the boy. Soon Martin meets Steven and tells that he killed his father; now he has to kill Anna or Kim or Bob; otherwise they will all get sick and die. Who is Martin?",/review/rw3862565/?ref_=tt_urv
3 March 2018,SnoopyStyle,6," artistic endearvor
",Surgeon Steven Murphy (Colin Farrell) and wife Anna (Nicole Kidman) have teen daughter Kim and young son Bob. He is befriended by Martin (Barry Keoghan) who is the son of his dead patient. Martin insinuates himself into Steven's family and Kim falls for him. Martin reveals his threatening predictions with a devastating solution.,/review/rw3862565/?ref_=tt_urv
11 December 2021,Her-Excellency,8," Misunderstood
","This is definitely not one for everyone and that's okay, sure, but to assign it a 1-star or 2-star rating as some have done, is just ridiculous, especially when the disconnect certainly is on the side of the viewer. In fact, those who deemed the acting 'bad' (one reviewer notes: ""I thought the characters were robots"") missed the entire point of the film.",/review/rw3862565/?ref_=tt_urv
4 November 2017,methodman-70252,8," much more than a psychological thriller
","Saying that the ""The Killing of a Sacred Deer"" is just a great psychological thriller is at least undermining... ",/review/rw3862565/?ref_=tt_urv
13 October 2019,Prismark10,3," The Killing of a Sacred Deer
","Greek director Yorgos Lanthimos makes a film based on a Greek tragedy, Iphigenia in Aulis by Euripides.",/review/rw3862565/?ref_=tt_urv
25 January 2018,PaxtonMalloy,2," Fed up with this kind of movies
","Here is simple truth. A film isn't good just because it breaks certain rules of storytelling or is just done different than ""mainstream movies"". I see critics falling for that again and again. This film is the perfect example.",/review/rw3862565/?ref_=tt_urv
