Review_Date,Author,Rating,Review_Title,Review,Review_Url
9 July 2018,bkoganbing,8," Not as easy as you think
","I have to applaud both the real Patch Adams and the late Robin Williams for
bringing his story to the screen for us. I really identified with the character, but
that kind of approach to your job has its pitfalls.",/review/rw1026489/?ref_=tt_urv
1 July 2019,UniqueParticle,8," Devastating and joyful all at the same time
","Robin Williams had so much joy in this, its so wonderful and heartwarming! Quite a few bleak characters and things that could have been avoided, otherwise I'd give it a 10. Excessive happiness should be fine, I don't understand why there's a boss that is a Debbie Downer, yeah ok he's serious about his job, but lacking sense of humor that is important for patients to enjoy. This is a powerful film and makes me bummed that Robin Williams is gone!",/review/rw1026489/?ref_=tt_urv
8 March 2005,SmileysWorld,7," Robin Williams:The Best Medicine
","In my opinion,Robin Williams is at his best when playing characters much like himself.This film is based on the life of the real Hunter ""Patch"" Adams,a man that Williams himself says that he closely relates to.In the medical profession,it is easy to become hard nosed and so wrapped up in treating the sickness that it is all too easy to forget that there are actual people behind the sickness.We are taught by Patch to treat the person first,because when you do so,treating the illness becomes somewhat easier.Sometimes people don't get better,but treating the soul to a laugh or two can lessen the pain and suffering.Sometimes people die,and while the people that loved them suffer and grieve,the suffering and grief are eased somewhat by the knowledge that their departed loved ones no longer suffer.This role was tailor made for Williams,and he is supported well,including another overlooked performance by the late Michael Jeter as a squirrel fearing mental patient.Thumbs up!",/review/rw1026489/?ref_=tt_urv
14 September 1999,Lindy-24,10," Very wonderful film!!
","My husband and I loved this film.  We laughed, cried and felt warm and fuzzy all over!  Very well made film.  Robin, as always did a great job with his part.  His co-actor/actress were very good too.  The movie made us a part of what was going on.  I want a doctor just like Patch.  To bad there aren't more doctors like that.",/review/rw1026489/?ref_=tt_urv
12 May 2021,kosmasp,9," Laughing and crying
","Robin Williams is gone ... and sometimes we forget how great someone was but are reminded when we see their work again. Like this movie (or the silly yet entertaining RV the other week) for example! Yes Williams was an amazing comedian ... but he was also a great dramatic actor! And this movie is a testament to that. I dare you not to cry ... there are so many moments that are touching the heart ... it's just incredible! The first one for me came with the question: ""What its her name?"" ... so simple yet so effective.",/review/rw1026489/?ref_=tt_urv
15 September 2001,famousgir1,," Laughter Is The Best Medicine.
","Patch Adams is the remarkable true story about a man determined to become a medical doctor because he enjoys helping people. The medical community though do not like his methods of healing the sick patients, even though everyone else appreciates and enjoys what he does as he is the only one who can do so. Robin Williams stars as Patch 'Hunter' Adams and he does a brilliant job as always. He's an amazing actor and *really* funny too. Other good performances, come from Philip Seymour Hoffman and Monica Potter. Patch Adams is a must-see and I give the movie a 10/10.",/review/rw1026489/?ref_=tt_urv
13 July 2018,sddavis63,9," Among Robin Williams' Best Performances
","This is the first time I've watched ""Patch Adams"" in a lot of years. Watching this film in the light of Robin Williams' suicide just a couple of years ago gives a different feel to it. In fact, knowing what would ultimately happen to Williams creates a couple of scenes that are literally gut-wrenching. The very opening of the movie when Hunter (not yet ""Patch"") Adams - played by Williams - checks himself into a mental hospital because he's suicidal, and a scene toward the end of the movie when - with both his professional and personal lives having seemingly fallen apart - he stands at the edge of a cliff, venting to God and obviously thinking about ... Well, it's a powerful and unsettling scene even without knowing Williams' fate; even more unsettling with that knowledge. ",/review/rw1026489/?ref_=tt_urv
9 November 2006,ccthemovieman-1,9," Not-That-Sugary Look At A Good-Hearted Man
","There are a lot of sugary clichés I use - in a nice way - to describe this story about a doctor with a good heart who truly believes in the healing power of laughter. Based on a real-life person (who looks a lot wackier than Robin Williams, who plays him in this movie), the story has its usual rebel fights-the- straight-laced-establishment cliché but is a warm, sentimental film that can't help but make you feel really good when it's all over. It's hardly all sugar, either, as there are not only frustrations but an immensely-shocking tragedy in here.",/review/rw1026489/?ref_=tt_urv
24 August 2009,thinker1691,8," "" Why is a doctor treated with such reverence, we often forget he is Human ""
","Robin Williams has so many films in his resume, it is very difficult to choose which one he believes is his best work. Like a true artist, he gives his talent to every role and each plays a part in his greatness. This movie for instance, I believe will become his crowning achievement. The film is called "" Patch Adams. "" It is based on the real doctor who offers to share a real love of medicine with anyone who chooses to become a doctor. His seeming ambivalence towards established rules and protocols and his unorthodox manner in treating patients is irritating to Dean Walcott (Bob Gunton) who tolerates Adams until he can summon enough evidence to expel the ""Excessively Happy"" medical student from the school. Although the role is a direct shadow of Williams's career as a comic, it is also a mirror image of his soul when he displays his sorrow and despair. It is during those touching moments we can see how much the master comic suffers for his character. When viewing this fine film, be prepared to journey with Williams through the happiness and tragedies his character experiences. An excellent example of an artist at work. Easilly recommended for all. ****",/review/rw1026489/?ref_=tt_urv
28 March 1999,Steve-176,," Middle Vintage Robin Williams
","No one is more evangelistic than the newly re born. Beware the ex smoker, the ex drinker, or the ex mental patient because he or she is likely to be painfully over enthusiastic, especially to the yet to be reformed.",/review/rw1026489/?ref_=tt_urv
4 February 2010,hitchcockthelegend,8," Laugh away your ills.
","Patch Adams is based around the true life story of Hunter Adams, a very interesting man, who, after becoming suicidal and committing himself to a mental hospital, found a new lease of life and wanted to help people. Enrolling at medical school to become a doctor, Hunter became a flag waver for the ""laughter is the best form of medicine"" train of thought. Something that simultaneously irked his superiors and garnered a lot of patient support. A fascinating tale is given the Hollywood treatment with Robin Williams slotting into the role of Hunter Adams.",/review/rw1026489/?ref_=tt_urv
22 January 2000,helpless_dancer,8," Yuri Zhivago he isn't
","Perhaps Williams finest effort to date. I laughed till my sides ached, and maybe even shed a tear or 2, but I won't admit to actually doing so. Liked that big shock the film produced a little over half way through - totally unexpected. If I had a problem at all with this picture, it would be that it is a tad pat, but I still thought it was excellent. Highly recommended.",/review/rw1026489/?ref_=tt_urv
15 November 1999,kmorgan70,," I liked Patch Adams, it is a heart warming and funny movie.
","I liked Patch Adams it is a funny movie. It is also heart warming which makes this movie not only a good movie, but it is my favorite movie. I feel that Robin Williams is an incredible actor. He makes this movie very realistic. I like movies that are based on a true story and this is one of them.",/review/rw1026489/?ref_=tt_urv
