Review_Date,Author,Rating,Review_Title,Review,Review_Url
2 January 2023,Sleepin_Dragon,6," It's watchable, I was a little disappointed.
","I watched this for the second time, having been a little disappointed first time around, and perhaps didn't have the best of days. My opinion, second time round, hasn't changed a great deal, the visuals and special effects are terrific, I just found the plot and storyline a little thin.",/review/rw3586173/?ref_=tt_urv
18 November 2016,heatsink98,4," What a letdown
","It's a letdown. The fun and charming bits of Harry Potter were left out of this film. I like J.K. Rowling's work immensely, so that's hard to say.",/review/rw3586173/?ref_=tt_urv
24 April 2017,paul_haakonsen,6," It was better the second time around...
","I watched the movie back in 2016, when it was just released, and believe you me I wasn't impressed. But then again, I never were heavily into the ""Harry Potter"" universe that Rowling has created.",/review/rw3586173/?ref_=tt_urv
22 November 2016,antoniokowatsch,4," No story & too much CGI
",I have to say that I am really disappointed of the movie as a whole. The Harry Potter movies are easily one of the best and most rewatchable movie franchises so far. And this movie is sadly nothing like the original HP movies. The only thing that is has in common are the special effects (for the apparitions). There was no real dialogue between the characters. Just silly one-liners and the occasional humorous remark. I am also very angered by the fact that they just introduced a new concept (obscurials) to the HP franchise that would literally change everything (if obscurials exist why hasn't Harry Potter become one? After all he fits the criteria).,/review/rw3586173/?ref_=tt_urv
1 May 2017,studioAT,3," Just average. Not fantastic
","J.K Rowling, not content with having milked 'Harry Potter' for all it was worth (quite a lot as it turned out) has now decided to expand her 'wizarding world' with this sort of spin-off series.",/review/rw3586173/?ref_=tt_urv
16 November 2016,hcarljohan,7," I liked it
","I really want to draw attention to the title of the review above. I'm sure many die-hard potterheads would want every review on this site to score this movie 10/10 and say it is a masterpiece. Well I can't do that, since that isn't my honest opinion. What I can say though is that Fantastic Beasts and Where to Find Them is a thoroughly entertaining affair that is well worth a watch, especially if you're a fan of J.K. Rowling's magical world. ",/review/rw3586173/?ref_=tt_urv
11 January 2019,Leofwine_draca,3," No charm, no character, no story...just CGI
","FANTASTIC BEASTS AND WHERE TO FIND THEM is the latest instalment in the cash cow HARRY POTTER franchise and a total disappointment as a movie. I didn't expect much when I saw that artificial director David Yates, responsible for the shallowest movies in the Harry Potter film series as well as the awful LEGEND OF TARZAN, was at the helm, but Rowling's first-ever script promised something; it turns out she's a far worse scriptwriter than she is a novelist.",/review/rw3586173/?ref_=tt_urv
16 July 2017,Horst_In_Translation,6," Mediocre Movies and How to Avoid Them
","""Fantastic Beasts and Where to Find Them"" is an American/British co-production from last year (2016) that runs for slightly over 2 hours plus roughly 10 minutes of credits. If you read the names of writer J.K. Rowling and director David Yates, you have possibly guessed correctly already that this movie takes place in the Harry Potter universe, namely roughly 70 years earlier, during the days between the two great wars of the 20th century. Fittingly, the visual style of the film reminded me of Boardwalk Empire on more than one occasion. So I guess they did a good job with making things look the way they were back then. But of course, in the center of it all is no gritty crime drama, but it is all about the fantasy. The world of magic is a taboo at that point and a secret society tries their best to keep it that way and to keep people away from finding out about the infinite supernatural possibilities that are out there waiting to be explored.",/review/rw3586173/?ref_=tt_urv
20 November 2016,TheLittleSongbird,8," Magical introduction to the new era wizarding world
","Having grown up with the Harry Potter books, and as someone who found a lot to like with all the films (though admittedly some were better than others), expectations were high for 'Fantastic Beasts and Where to Find Them'. Especially also with such good word of mouth.",/review/rw3586173/?ref_=tt_urv
17 November 2016,moviexclusive,8," As enchanting as the best 'Harry Potter' films, this beginning of a new chapter in J.K. Rowling's wizarding world is fun, edgy and ceaselessly fascinating
","How do you make a 'Harry Potter' movie without Harry Potter? Before the last of the eight films of J.K. Rowling's staggeringly popular universe five years ago, that must have been the conundrum facing Warner Brothers executives as they stared at the end of the line of their most lucrative franchise. And yet thanks to Rowling herself as well as series stalwart David Yates, there is once again new life to be found in the world of witchcraft and wizardry that she had dreamt up in the seven books of the boy wonder. The inspiration is one of Harry's textbooks at Hogwarts, an essential text which served as a guide to magical animals written by one Newt Scamander. Rowling had written it into a companion piece in 2001, but as those who had read the 128- page book will tell you, there is a lot more that Rowling must have had to add to her first movie script even as an adaptation of that earlier book.",/review/rw3586173/?ref_=tt_urv
19 December 2016,beany_kelly,6," SFX pretty good, characters & pacing lacking.
","It's OK, I suppose.",/review/rw3586173/?ref_=tt_urv
14 January 2017,TheOneThatYouWanted,6," Fantastic meh and where to yawn and meh
","Meh. Just meh. This film looks like a 50 dollar steak but tastes like a turkey sandwich you forgot about in the refrigerator for a day. It isn't bad but doesn't make you want anymore. And I think that is why they had to shoehorn Johnny Depp in at the end of this, because otherwise no one would care enough to watch a sequel. The dude playing the wizard looking for his pets is meh. The story felt like filler. I honestly have no idea why people consider this film anything other than mediocre. I guess die-hard Harry Potter fans are so desperate for more Harry Potter stuff on the big screen that they are willing to pretend this film is something special when it really isn't.",/review/rw3586173/?ref_=tt_urv
28 June 2018,paulclaassen,4," Visually great, but what was it about actually??
","Despite the big hype and the film's huge commercial success, I did not enjoy it one bit. It is cartoonish silly at times without an ounce of realism. Just like JK Rowling's Harry Potter series I couldn't be bothered with anything about this movie. It's just not convincing. The visual effects are indeed incredible, but that's just it; the film is all about effects...I still don't know what the film is really about. The story was just not interesting enough to justify me sitting through this for over two hours. It was like watching a documentary on what can be accomplished with effects. Nothing else.",/review/rw3586173/?ref_=tt_urv
27 November 2016,alvmanalm,1," Newt's Ark
","David Yates has done it again - what a terrible movie. Boring from beginning to end. J.K. Rowling just wasn't able to write a script that could live up to the Harry Potter books and universe. Fantastic? Not so much. Beasts? Sure, lots of them, but uninteresting. Where to find them? All inside a magical bag. There's absolutely no character development: we get to know very little about Newt Scamander, his personal quest, his thoughts or what drives him; Tina is just bland; and Kowalski is a comic relief that just wasn't necessary. Throughout the movie, you never understand why Newt has a ""Noah complex"" or why he was driven to build his own Ark of magical creatures; there's no tension, no drama involved - muggles don't know about those creatures, so they can't hate them or understand how dangerous they might be, and wizards just don't seem to care enough about them. Why exactly was Newt expelled from Hogwarts? What exactly was his relation to Leta Lestrange? We just don't know. Graves was an interesting character, but very poorly developed. Sure, he is revealed to be something more and we couldn't know too much, but we never get to understand the context in which he professes his ideology. For a movie that revolves around magic, there's actually not that much magic being used during the movie. Maybe next time they should try a movie with less special effects and a little bit more acting. The Harry Potter books were always about the narrative - well written, enticing, thrilling, focused on big existential issues, such as death, the quest for immortality, friendship. This movie was about the visual power of cinema, and that just isn't enough. Besides, a whole generation grew up with Harry Potter, a generation that actually ""grew up"", so a PG movie won't work.",/review/rw3586173/?ref_=tt_urv
20 November 2016,RodrigAndrisan,1," Huge, pathetic waste of time (I even fell asleep from time to time)
","When they have nothing to say and no message to deliver, but they still want to make a movie, they are resorting to special effects. Special effects over special effects. Nothing matters anymore, the story, the actors, the direction, nothing at all. The music in this kind of films is always the same, it seems to be a carbon copy. Poor Jon Voight, what a huge distance from ""Midnight Cowboy"", ""Coming Home"", and ""Runaway Train"" (all three absolute masterpieces), and his next films (culminating with this s..t). Poor Colin Farrell, also a very good actor himself (but not here, here everything is bad). Poor cinematographer Philippe Rousselot, what he came to do... (he's the one who signed in the past the cinematography to masterpieces like ""Diva"", ""The Moon in the Gutter"", ""The Emerald Forest"", ""The Bear"", ""Dangerous Liaisons"", ""Henry & June""). Mr. Director David Yates is an expert in stupidity, he's making only poop-movies. Only one thing I liked in this huge mess: the pastries in the shape of fantastic beasts offered by Kowalski (Dan Fogler) in his shop at the end of the film.",/review/rw3586173/?ref_=tt_urv
