Review_Date,Author,Rating,Review_Title,Review,Review_Url
24 March 2022,cochrandarin,10," Newsflash to the haters; This is a vampire movie, not a Discovery Channel documentary!
","My God in Heaven, another movie getting crucified by a bunch of pseudo-historians because it somehow mangles the real story of Vlad the Impaler...insert palm to the head slap here!",/review/rw3693161/?ref_=tt_urv
27 April 2022,titansdell,10," 6 of 10 are you people crazy?
","This was a phenomenal movie from start to finish!! The individuals who rated this movie low are CLEARLY Kens & Karens..
The storyline was fantastic! Graphics were great and the entire movie was easy to follow lol 6 out of 10??? You people are nuts.",/review/rw3693161/?ref_=tt_urv
10 October 2014,matej-trkanjec-133-920386,7," A title no one seems to understand
","Leaving the cinema last night I found myself arguing with half the audience about the movie. Half of them said the movie sucked, and the other half (myself included) loved it. Now, this is a type of movie that will divide the audience so much that there will not be a middle. One will either love it or hate it (which seems to be a pattern in recent Hollywood history). By just watching the trailer it was clear as day that this will not be a masterpiece or a rebirth of Stocker's fable. So I ask a very plausible question: What did you expect?",/review/rw3693161/?ref_=tt_urv
8 February 2015,claudio_carvalho,8," The Origin of Dracula
","In 1442, the Prince Vlad, the Impaler (Luke Evans) rules the Transylvania after serving the Turkish Sultan as a soldier since he was a child. Vlad is happily married with his beloved wife Mirena (Sarah Gadon) and their son, Ingeras (Art Parkinson), is their pride and joy. When Vlad and his soldiers find a Turkish helmet in the river, he goes with two men to a cave in the Broke Tooth Mountain expecting to find Turkish scouts. However they stumble upon a deadly creature (Charles Dance) that kills the two men, but Vlad succeeds to escape alive from the cave. He learns that the creature is a vampire.",/review/rw3693161/?ref_=tt_urv
10 December 2014,Theo Robertson,7," Good Enough As Long As You Don't Think Of It As A Horror Film
",I remember the 1992 version of Dracula by Francis Ford Coppola and thinking that the best part of that version was the anti-heroic Prince Vlad defending Europe against the Ottoman invasion . I do believe there is a market for a historical epic featuring the true life story of Vlad the impaler . This version from 2014 does come close to it in some ways but let's be honest and say no one is going to watch any movie with Dracula in the title unless it features a vampire in the title role and one wonders how many people might have been disappointed by the marketing if not the title alone ? ,/review/rw3693161/?ref_=tt_urv
4 September 2018,classicsoncall,8," ""My name is Dracula, Son of the Devil!""
","The name of Dracula has for many decades been known as the name of a fictional vampire, but prior to that and for many centuries, was considered the nickname of Vlad III, or Vlad the Impaler. His father was Vlad Dracul, 'the Dragon'; 'Dracula' was another form of the name used to describe the son of Dracul. In modern Romania, Dracul means 'the Devil', and went a long way to contribute to Vlad's reputation. This 'origin' story of Dracula actually did a pretty good job of explaining all that. ",/review/rw3693161/?ref_=tt_urv
4 February 2015,gavin6942,7," Excellent Telling of the Dracula Legend
","As his kingdom is being threatened by the Turks, young prince Vlad Tepes must become a monster feared by his own people in order to obtain the power needed to protect his own family, and the families of his kingdom.",/review/rw3693161/?ref_=tt_urv
30 July 2018,nogodnomasters,8," SOMETIMES THE WORLD NEEDS A MONSTER
","Luke Evans gives us a different type of Dracula, one I didn't expect. The childhood of Vlad is read to us. Vlad becomes the reluctant monster in order to have the strength to save his people from the Turks who are demanding 1,000 boys in addition to the tribute. Vlad enters into ""the immortal game of revenge"" to turn him into Uma Thurman on steroids.",/review/rw3693161/?ref_=tt_urv
4 May 2017,Rainey-Dawn,9," Entertaining - I Enjoy It!
",It's a Hollywood movie - entertainment - not a history lesson! The story borrows heavily from the real life Vlad Tepes and his real battles BUT it is not an accurate depiction of it - the film doesn't pretend to be either. The movie add lots of Fantasy and Fiction to the true story in order to entertain it's audiences - I for one am entertained by the film.,/review/rw3693161/?ref_=tt_urv
22 August 2015,SnoopyStyle,4," problematic origins story
","In 1442, the Turks enslaved 1000 boys from Transylvania and used as Janissary troops. Prince Vlad was one of those boys and his ruthless exploits would earn his nickname Vlad the Impaler (Luke Evans). He would eventually rule Transylvania peacefully as a vassal to the Ottoman empire. Mehmed II (Dominic Cooper) is marching on Venice and demands 1000 boys from Transylvania. Vlad keeps his vow to his wife Mirena (Sarah Gadon) and battles the Turks rather than send his son. Vlad goes to Broke Tooth Mountain to seek help from the Master Vampire (Charles Dance). After Vlad drinks the Vampire's blood, he gets his supernatural powers. If he resists drinking human blood for 3 days, he would return to be human. If he drinks, he would be a vampire forever and could be called upon to help his maker one day.",/review/rw3693161/?ref_=tt_urv
