Review_Date,Author,Rating,Review_Title,Review,Review_Url
12 December 2021,shelbythuylinh,7," Went Downhill After Crawford Left
",And how that it should had been Prima Donna Damon Wayans leaving and how that he sabotage his own show to have those under him cater to him. Sad that the show went down though no fault of Seann William Scott's in the last season.,/review/rw4160184/?ref_=tt_urv
9 May 2018,Akshay_Patel1985,10," If Clayne Goes we all Go..... Love the show. Each and Every part of it.
","Love the show and don't miss a single episode. Have taken an Amazon Prime subscription just to watch this show the day it releases. 
Riggs and Murtah are each 50% of the reason i love this show... And if rumours are true... I am soon gonna loose 50% of the reason to watch the show... And 50% is toooooooo less a reason to continue watching it. 
I know Riggs may have goofed up a lil too much for the producers/etc to have taken such a stern action.... But, from what i read....Clayne C. has apologized. I say, give him one more chance ""officially"" and if he continues make it public and remove him fron season 3....(Fans will understand) ....but until then.... He is an integral part of the show and anyone else will take time to (if only he may) do justice to the role.... A bet i dont wanna wait and see materialize.... So, if season 3 has no Clayne.. .. There is no reason to continue watch the show..... ",/review/rw4160184/?ref_=tt_urv
5 October 2022,DiCaprioFan13,8," Fun show that will hook you!
","Lethal Weapon really was a fun show that's definitely worth watching. It's obviously a reboot based of the movie franchise but set in the modern day. It was a lot better with Clayne Crawford but was still pretty good when Seann William Scott took his place. It has everything you would want from a show called Lethal Weapon...plenty of action, comedy, drama, twists, etc. It's a show that doesn't try to be anything it's not, it knows what kind of show it is and leans in to it. If you're looking for an action packed show with buddy comedy then you won't be disappointed in this. You'll be hooked before you know it.",/review/rw4160184/?ref_=tt_urv
13 May 2018,oatsart54,10," wrong
",He apologized and paid restitution for his behavior if he is not in the season 3 then you lost a viewer.He and Dayan make the show work to bring in a new Riggs is stupid and you lose tour fans of the show that I am sure of.He makes the show what it is and the character he plays is good acting so he is a little high strung and cares about the series do not condemn a man for trying to be all he can be. Even criminals pay their dept with jail time and want a new start in live so why can't you give him one,/review/rw4160184/?ref_=tt_urv
30 August 2018,weareone1111,10," Bring back Clayne
",Not watching Season 3; enjoy the plummet in ratings. We'd rather have Clayne with a replacement for Damon instead of no Clayne at all.,/review/rw4160184/?ref_=tt_urv
25 March 2017,dz1,9," Reminds me of the best of the 1980s
",This series really surprised me. It has been a long time since I looked forward to watching a show as much as this one every week. It reminds me of many good 80s cop or detective shows. No one has been able to equal the buddy cop or detective show formula of the 80s until now. Very well done indeed.,/review/rw4160184/?ref_=tt_urv
8 September 2018,pipedpiper,1," Just saw a preview of season 3
",What a joke this program is done with Riggs not in it show is over,/review/rw4160184/?ref_=tt_urv
14 May 2018,c_sims76,1," Season 3
",Could careless the reason why. You break up the main people in a franchise based on two characters and you get rid of one of those main characters. Dynamic is ruined. Screw Stiffler,/review/rw4160184/?ref_=tt_urv
9 May 2018,mojotre,4," Reported set issues and the apparent death of the guy that kept us coming back?
","Update: OK, made it through 3.25 episodes of Season 3. It is apparent Wayans' Murtaugh was never up to par with Glover but it was forgivable because Crawford's Riggs was very very good (Not going to say better than Gibson but really good). Sean Williams Scott is not bad but now the Murtaugh character is front, center and unwatchable.",/review/rw4160184/?ref_=tt_urv
14 May 2018,israeldjane,1," The end of a great show
","When i first heard of this show i was not excited. Ugh another remake. However, after watching the show i fell in love with the fabulous cast and especially the amazing Clayne Crawford. Unfortunately i will no longer be watching this show because of the firing of Clayne. One day i believe we will look back and realize the real reason he was let go was because diva Damon Wayne's couldn't handle being in Claynes shadow.",/review/rw4160184/?ref_=tt_urv
