Review_Date,Author,Rating,Review_Title,Review,Review_Url
25 October 2004,stargunner,10," Team America Checklist
",The one thing I noticed while attempting to breathe during this movie was that people were walking out in between bursts of hysterical laughter.,/review/rw2365469/?ref_=tt_urv
14 June 2019,pdmaynooth,10," Funniest movie ever
","This is the funniest movie I have ever seen . Gross , immature , ridiculous, silly , childish , disgusting , puerile.What more could a 42 year old man child want ? Brilliant on every level ! Genius ! Hilarious ! Great social commentary !",/review/rw2365469/?ref_=tt_urv
17 September 2021,DebraIonaVogel,10," My husband could have died watching this!
","Our adult son recommended this to my husband. Not me, just him.",/review/rw2365469/?ref_=tt_urv
7 July 2011,planktonrules,9," The folks from South Park bite the hand that fed them....cool.
","I wonder if anyone was offended by this film?! Well, like any production by the South Park team of Trey Parker and Matt Stone, the answer is yup... After all, ""Team America"" is loaded with tons of expletives, really dirty puppet sex (funny puppet sex, actually) and it attacks Hollywood's self-appointed elite in a way no other film has. Yes, it will offend...and make folks laugh as long as they don't take it all very seriously.",/review/rw2365469/?ref_=tt_urv
1 May 2019,andrewjdavis-home,10," Stupid, purile, offensive, I loved it
","I genuinely have no idea how someone could give this movie less than 10. I have watched it once every couple of years since it came out and I am still in awe of so many of the scenes after all this time. You just need to say ""Jean pierre"", ""terrorise this"",""Hans Brix"", ""the signal"",""suck my..."",""three types of people"" and I am mentally replaying each scene crying with laughter.
A true masterpiece, python for the 21st century",/review/rw2365469/?ref_=tt_urv
16 October 2004,dee.reid,10," Puppet Politics
","""Team America: World Police"" is a great sendoff to one of the most turbulent times in American history, and ""South Park"" creators Trey Parker and Matt Stone, both equal opportunity offenders, pull no strings (no pun intended) with this hilarious and blazingly satiric model of the United States and its supposed role in world affairs.",/review/rw2365469/?ref_=tt_urv
8 June 2019,tuckhead,10," The most accurate portrayal of the modern world
",The most realistic view of today's world and puppet sex. There are few movies that truly capture the essence of American in the post 9-11 world. Matt Damon is amazing as Matt Damon.,/review/rw2365469/?ref_=tt_urv
24 February 2005,DICK STEEL,," A Nutshell Review: Team America World Police
","This movie is crude, rude, politically incorrect, but hell yeah, a whole lot of fun! Well, what do you expect from the makers of South Park? ",/review/rw2365469/?ref_=tt_urv
15 June 2019,conmech,9," Thank You For Making This Film
","I was wondering why this movie never had a sequel because it looks like a no-brainer. Unfortunately I realized the makers of the movie hated making it because the puppets were hard to work with, the movie didn't make bring too much money, and there was a lot of critical backlash, even the liberal actors hated it.
I feel like the movie was made just for me. First of all, I never laughed at a movie this hard for years. Everything is great about this movie. How they worked on the animatronics, the references, easter eggs, THE SONGS. Trey Parker is just a natural talent. Plus, I appreciate it as a person living in the middle east, because it's still the best movie which pokes fun at USA claiming to bring peace to the middle east while invading it for its own benefit, and actually bringing more misery.
So once again, thank you guys for everything.",/review/rw2365469/?ref_=tt_urv
11 April 2007,claudio_carvalho,8," Hilarious Satire to the Contemporary World
","The North American anti-terrorist force Team America attacks a group of terrorist in Paris. Later, the leader of the organization, Spottswoode, invites the famous Broadway actor Gary Johnston to join his world police and work undercover in Cairo in a terrorist organization and disclose their plan of destroying the world. The Team America destroys the cell of terrorists, but then the Panama Canal is attacked by the criminals as a payback. Gary feels responsible for the death of many innocents and leaves the counter-terrorism organization. When the leader of North Korea, Kim Jong II, joins a group of pacifist actors and actresses with the intention of using weapons of massive destruction, the Team America tries to avoid the destruction of the world.",/review/rw2365469/?ref_=tt_urv
12 December 2004,the_insainiak,," Funny!
","As much as I hate to admit it, Trey Parker and Matt Stone are actually quite talented in a sick twisted, strange, little way. After laughing my butt off during South Park Bigger, Longer & Uncut, I couldn't wait to see this movie. I was not disappointed.",/review/rw2365469/?ref_=tt_urv
21 October 2004,caspian1978,7," Kim Jong Il on a string
","It's not Gone With the Wind, but it is a great movie! Parker & Stone push the envelope again and again in this off the wall comedy that would make Jim Henson stand up and cheer. Any comedy that portrays Kim Jong Il as a lonely, confused and mad dictator deserves an audience. The creators of South Park pock fun at politics, celebrities, terrorism, James Bond, and puppets, while also creating a funny and well done musical soundtrack that is better than the South Park Musical / Comedy. Off the wall for most of the movie, the puppets having sex only is worth accepting this movie into the cinematic hall of fame. The vomit scene, the death of Kim Jong Il, the musical score, the montage parody and the production value are all worth it. A movie for all South Park fans, this blows (literally) Base-ket Ball out of the theater.",/review/rw2365469/?ref_=tt_urv
9 October 2004,FilmFan777,8," Irreverently Hysterical. 'No One' is safe!
","Just came back from a pre-screening and I 'Loved It' No, it's not for kids in the least, total adult humor. Helps a bit if your politically savvy and know a bit about the Hollywood political types, yet either way, if you like South Park type of humor, your in for a load full of laughs.",/review/rw2365469/?ref_=tt_urv
2 June 2009,dunmore_ego,8," Be afraid. Be very afraid. Of the heroes.
",TEAM America WORLD POLICE: saving the world from terrorism... whether we like it or not. It's like THUNDERBIRDS for assholes.,/review/rw2365469/?ref_=tt_urv
2 January 2005,CTS-1,9," Well Worthwhile, But Not For The Squeamish
","Fans of Parker and Stone's prior efforts will both love this, and know what to expect from this. Politically, no group is left unsatirized: from the idiotic faux-country patriotic music, to know-it-all leftie actors being portrayed as goon puppets (the more self-important members of the Tim Robbins and Sean Penn fan clubs may want to skip this), no group escapes without being ridiculed.",/review/rw2365469/?ref_=tt_urv
14 June 2012,lesleyharris30,9," Shows Trey Parker and Matt Stone can and should Do More,
","Team America World Police is a hilarious movie from the same genius minds that brought us South Park, Trey Parker and Matt Stone. Since this film, the two haven't done anything outside of South Park because of the box office results of this film, but that shouldn't matter to them because Team America was well received. If they made a second one it would probably be successful. They should do more outside of the South Park series, such as another South Park movie, another Team America, or a completely different new series or movie, because they are hilarious and as much as I love South Park, I think they should do some more outside of the show.",/review/rw2365469/?ref_=tt_urv
24 April 2020,films-22537,10," Is this even a satire anymore?
","In 2004 this was just a satire. Today with Donald ""MAGA"" Trump on the verge of getting a second term as president, celebrity narcissism and worship at an all-time high and liberals cancelling everything and becoming parodies of themselves, this film feels all too real.",/review/rw2365469/?ref_=tt_urv
2 December 2004,starbase_74,8," The very funny highs make up for any of the lows...
","I went into Team America expecting to see something along the lines of South Park humor, and I wasn't disappointed.",/review/rw2365469/?ref_=tt_urv
20 September 2008,RainDogJr,10," Matt Damon
",18/09/08,/review/rw2365469/?ref_=tt_urv
