Review_Date,Author,Rating,Review_Title,Review,Review_Url
24 August 2004,FilmOtaku,9," There are few films that can make me laugh like this one can
","`Snatch', written and directed by Guy Ritchie is by far one of my favorite films of all time  it is easily in my personal Top Thirty.  In the film, about (what else?) several schemes that happen to go very wrong yet manage to intertwine and (for better or worse) resolve themselves in the end, Ritchie assembles one of the funniest cast of characters in recent memory. Let's see if we can keep this straight:",/review/rw2352849/?ref_=tt_urv
17 February 2003,LivingDog,10," Perfect
","This movie is perfect in all its categories: credits, sound track, production, casting, writing, photography, editing, acting, and direction. 10/10.",/review/rw2352849/?ref_=tt_urv
14 January 2001,Shiva-11,8," Lock, Stock, and Many Smoking Barrels
","The release of Tarantino's ""Pulp Fiction"" in 1994 prompted a schism in the staid gangster movie genre: the standard hallmarks - serious characters, gunfights, intrigue and damsels in distress - were enhanced with snappy dialogue, and gallows humour.  The biggest change however was the introduction of the mobius strip-style plot line, where the concept of time is no longer linear, instead constantly folding in upon itself, flitting between past, present and future that forces the viewer to pay close attention lest they miss some subtle detail.  Inevitably, numerous copycat films emerged that tried to capitalize on Tarantino's success, but it wasn't until 1998 when Guy Ritchie, an unknown British director, took on the challenge that a successor was found.  Now Ritchie is determined to prove that his first time out wasn't a fluke.",/review/rw2352849/?ref_=tt_urv
23 December 2016,Leofwine_draca,10," The pinnacle of Guy Ritchie's career
","This sleek, stylish and very effective black comedy-cum crime thriller is an excellent movie, and one of those rare 'perfect' films where it would be difficult to spot one flaw let alone a number. A follow-up to Guy Ritchie's powerhouse debut, LOCK, STOCK AND TWO SMOKING BARRELS, this sees the director in familiar territory with a haphazard plot involving a stolen diamond and an Irish gypsy boxer. It doesn't make much sense, there's no story, but what you do get are hundreds of twists and turns and confrontations, some absolutely hilarious scenes of comedy (anything with the dog in it is a classic) and tons of class acting and class actors.",/review/rw2352849/?ref_=tt_urv
6 February 2002,sllovejoy,," I liked it, is that so wrong?
","I am a 33 year old woman in a flowered dress who doesn't drink, rarely swears, sleeps with a teddy bear, and has never raised a hand to anyone in my life.  But I liked this movie a lot, and according to someone who wrote a review earlier, that makes me personally responsible for the violence in America.  I'm sorry - I never intended to hurt anyone.",/review/rw2352849/?ref_=tt_urv
7 March 2006,ccthemovieman-1,9," Subtitles A Must To Really Enjoy This
","I would imagine viewers would either really love this movie or be totally turned off. It is presented in a different format for its time (since copied), has very odd and profane characters, accents that are difficult to understand, and tells an unpleasant story with some disgusting scenes. So, why do I enjoy this film, being an old-fashioned so-and-so?",/review/rw2352849/?ref_=tt_urv
21 January 2001,Keyser Soze-12,9," Just as much fun as Lock, Stock. Snatch is a great and entertaining movie.
","Imagine what would happen if you took 8 or 10 criminals of various professions, threw them into a maze, gave one of the criminals a diamond the size of a fist, and yelled out load, ""SOMEONE IN THIS MAZE HAS A HUGE DIAMOND!  WHOEVER FINDS IT AND IS THE LAST MAN STANDING, WINS!"" What do you think would happen?  Snatch is what happens.",/review/rw2352849/?ref_=tt_urv
3 September 2000,SpudMons,10," A Comedy Masterpiece
","""Snatch"" is fantastic; and not least because it demonstrates emphatically that the British movie industry is capable of rivaling even the best of what Hollywood can offer.",/review/rw2352849/?ref_=tt_urv
26 August 2004,marty_666,10," Do You Know What Nemesis Means?
","I was never really too keen on ""Lock, Stock And Two Smoking Barrels"".  All my friends constantly quoted it, raved and ranted, and then when ""Snatch"" came out, everyone made an even bigger deal of that.  I watched Lock Stock, and though I did like it, it didn't really tickle my fancy.  But Snatch, that's a completely different story all together.",/review/rw2352849/?ref_=tt_urv
14 March 2004,ratpac03,," The way movies -should- be made.
","Read this review carefully, please.",/review/rw2352849/?ref_=tt_urv
